index	epoch	batch	loss
0-0	0	0	35.13532257080078
0-1	0	1	40.20833206176758
0-2	0	2	60.32622528076172
0-3	0	3	48.85626983642578
0-4	0	4	41.66654968261719
0-5	0	5	61.7945442199707
0-6	0	6	65.63862609863281
0-7	0	7	34.429256439208984
0-8	0	8	44.52037048339844
0-9	0	9	39.26401901245117
0-10	0	10	22.30585479736328
0-11	0	11	21.401411056518555
0-12	0	12	32.92106628417969
0-13	0	13	27.160053253173828
0-14	0	14	22.044315338134766
0-15	0	15	24.83637809753418
0-16	0	16	28.129858016967773
0-17	0	17	18.2064266204834
0-18	0	18	27.24500274658203
0-19	0	19	11.053133010864258
0-20	0	20	15.53070068359375
0-21	0	21	20.200584411621094
0-22	0	22	14.414146423339844
0-23	0	23	10.375972747802734
0-24	0	24	21.58509635925293
0-25	0	25	12.614068031311035
0-26	0	26	18.997997283935547
0-27	0	27	15.669698715209961
0-28	0	28	16.64383316040039
0-29	0	29	26.81882667541504
0-30	0	30	5.613903045654297
1-0	1	0	16.405563354492188
1-1	1	1	14.070331573486328
1-2	1	2	7.327211380004883
1-3	1	3	9.043947219848633
1-4	1	4	5.267690658569336
1-5	1	5	13.046930313110352
1-6	1	6	14.929388046264648
1-7	1	7	8.186119079589844
1-8	1	8	8.648053169250488
1-9	1	9	11.59317398071289
1-10	1	10	11.52055549621582
1-11	1	11	14.43148422241211
1-12	1	12	10.203629493713379
1-13	1	13	9.833868026733398
1-14	1	14	6.356368541717529
1-15	1	15	7.627110004425049
1-16	1	16	10.239635467529297
1-17	1	17	9.752806663513184
1-18	1	18	7.685510635375977
1-19	1	19	6.6759514808654785
1-20	1	20	3.65220046043396
1-21	1	21	11.177977561950684
1-22	1	22	17.575756072998047
1-23	1	23	9.680307388305664
1-24	1	24	7.050314903259277
1-25	1	25	6.773022651672363
1-26	1	26	9.734349250793457
1-27	1	27	11.548260688781738
1-28	1	28	7.13441276550293
1-29	1	29	7.137388706207275
1-30	1	30	10.421026229858398
2-0	2	0	7.4057087898254395
2-1	2	1	8.055451393127441
2-2	2	2	12.659701347351074
2-3	2	3	4.396847724914551
2-4	2	4	8.615303993225098
2-5	2	5	5.138716220855713
2-6	2	6	3.612971067428589
2-7	2	7	9.236032485961914
2-8	2	8	4.7327375411987305
2-9	2	9	5.36867094039917
2-10	2	10	7.193452835083008
2-11	2	11	10.07166576385498
2-12	2	12	5.6530961990356445
2-13	2	13	5.011880874633789
2-14	2	14	8.836871147155762
2-15	2	15	5.790557384490967
2-16	2	16	7.568060874938965
2-17	2	17	7.735209941864014
2-18	2	18	4.7213945388793945
2-19	2	19	6.901826858520508
2-20	2	20	5.580628395080566
2-21	2	21	7.286718368530273
2-22	2	22	4.820069313049316
2-23	2	23	4.05873966217041
2-24	2	24	7.689815998077393
2-25	2	25	3.8704967498779297
2-26	2	26	4.344623565673828
2-27	2	27	7.564106464385986
2-28	2	28	10.119139671325684
2-29	2	29	4.175209045410156
2-30	2	30	9.441699028015137
3-0	3	0	6.575631618499756
3-1	3	1	6.2999773025512695
3-2	3	2	5.4126296043396
3-3	3	3	7.718746185302734
3-4	3	4	6.078704833984375
3-5	3	5	4.481758117675781
3-6	3	6	5.148514747619629
3-7	3	7	8.43231201171875
3-8	3	8	5.267430305480957
3-9	3	9	6.628210067749023
3-10	3	10	5.3440656661987305
3-11	3	11	5.069792747497559
3-12	3	12	7.74595308303833
3-13	3	13	2.731369733810425
3-14	3	14	6.550516605377197
3-15	3	15	6.967430114746094
3-16	3	16	4.229376316070557
3-17	3	17	5.337457656860352
3-18	3	18	5.623814582824707
3-19	3	19	5.696822166442871
3-20	3	20	5.249608039855957
3-21	3	21	5.264634609222412
3-22	3	22	4.713698863983154
3-23	3	23	5.949306488037109
3-24	3	24	4.285312175750732
3-25	3	25	4.976476192474365
3-26	3	26	4.6810994148254395
3-27	3	27	6.3657636642456055
3-28	3	28	2.6573808193206787
3-29	3	29	4.1562628746032715
3-30	3	30	3.349447727203369
4-0	4	0	6.159286975860596
4-1	4	1	5.499764442443848
4-2	4	2	4.852580547332764
4-3	4	3	5.919607639312744
4-4	4	4	6.309115886688232
4-5	4	5	4.3265461921691895
4-6	4	6	4.55192756652832
4-7	4	7	5.421634197235107
4-8	4	8	5.501615524291992
4-9	4	9	3.6471052169799805
4-10	4	10	4.389195919036865
4-11	4	11	3.9196319580078125
4-12	4	12	4.668341159820557
4-13	4	13	3.6901259422302246
4-14	4	14	6.185247421264648
4-15	4	15	4.63285493850708
4-16	4	16	3.190134048461914
4-17	4	17	7.185084819793701
4-18	4	18	3.7254488468170166
4-19	4	19	3.3374669551849365
4-20	4	20	4.749936580657959
4-21	4	21	7.969947338104248
