index	epoch	batch	loss
0-0	0	0	8.482250213623047
0-1	0	1	16.082374572753906
0-2	0	2	28.04798126220703
0-3	0	3	10.6671724319458
0-4	0	4	4.285878658294678
0-5	0	5	20.587871551513672
0-6	0	6	9.666367530822754
0-7	0	7	15.615811347961426
0-8	0	8	16.559844970703125
0-9	0	9	6.301145553588867
0-10	0	10	10.549958229064941
0-11	0	11	4.515921592712402
0-12	0	12	6.53142786026001
0-13	0	13	7.288005828857422
0-14	0	14	6.344096660614014
0-15	0	15	4.503623008728027
0-16	0	16	6.5456767082214355
0-17	0	17	9.367401123046875
0-18	0	18	6.095799922943115
0-19	0	19	6.882311820983887
0-20	0	20	6.312406063079834
0-21	0	21	6.547685623168945
0-22	0	22	10.024840354919434
0-23	0	23	5.168269157409668
0-24	0	24	9.378211975097656
0-25	0	25	12.72319221496582
0-26	0	26	6.185546875
0-27	0	27	7.266334056854248
0-28	0	28	8.427841186523438
0-29	0	29	7.196676254272461
0-30	0	30	5.411864757537842
1-0	1	0	7.334539413452148
1-1	1	1	3.824939012527466
1-2	1	2	6.823015213012695
1-3	1	3	3.27482533454895
1-4	1	4	4.681435585021973
1-5	1	5	6.230364799499512
1-6	1	6	4.999076843261719
1-7	1	7	5.741430282592773
1-8	1	8	3.882298469543457
1-9	1	9	4.46101713180542
1-10	1	10	4.967365264892578
1-11	1	11	4.522126197814941
1-12	1	12	5.313296794891357
1-13	1	13	3.32840633392334
1-14	1	14	4.903197288513184
1-15	1	15	11.783917427062988
1-16	1	16	8.342028617858887
1-17	1	17	7.94317626953125
1-18	1	18	4.505826950073242
1-19	1	19	3.8184282779693604
1-20	1	20	7.031383991241455
1-21	1	21	4.87664270401001
1-22	1	22	5.703714847564697
1-23	1	23	10.509614944458008
1-24	1	24	3.188419818878174
1-25	1	25	6.331487655639648
1-26	1	26	4.346524238586426
1-27	1	27	5.358860015869141
1-28	1	28	4.554129123687744
1-29	1	29	8.742673873901367
1-30	1	30	8.308856964111328
2-0	2	0	8.555489540100098
2-1	2	1	4.362164497375488
2-2	2	2	4.160495758056641
2-3	2	3	4.409956932067871
2-4	2	4	5.564727306365967
2-5	2	5	6.130437850952148
