index	epoch	batch	loss
0-0	0	0	9.15354061126709
0-1	0	1	10.952486038208008
0-2	0	2	21.605724334716797
0-3	0	3	12.74591064453125
0-4	0	4	14.041534423828125
0-5	0	5	6.467053413391113
0-6	0	6	9.668440818786621
0-7	0	7	9.935221672058105
0-8	0	8	16.901296615600586
0-9	0	9	13.253107070922852
0-10	0	10	12.64745044708252
0-11	0	11	10.544590950012207
0-12	0	12	7.422952651977539
0-13	0	13	15.22111701965332
0-14	0	14	3.7176077365875244
0-15	0	15	7.2193379402160645
0-16	0	16	14.376617431640625
0-17	0	17	9.972639083862305
0-18	0	18	6.796390533447266
0-19	0	19	7.207497596740723
0-20	0	20	8.446704864501953
0-21	0	21	12.419671058654785
0-22	0	22	7.683300495147705
0-23	0	23	4.01845121383667
0-24	0	24	5.351015567779541
0-25	0	25	9.199604988098145
0-26	0	26	5.476938247680664
0-27	0	27	6.496016502380371
0-28	0	28	5.406235218048096
0-29	0	29	3.625610113143921
0-30	0	30	6.706108570098877
1-0	1	0	11.43821907043457
1-1	1	1	4.279006481170654
1-2	1	2	4.150710105895996
1-3	1	3	4.268919467926025
1-4	1	4	8.496886253356934
1-5	1	5	6.13470983505249
1-6	1	6	3.8436694145202637
1-7	1	7	6.948999404907227
1-8	1	8	4.844631195068359
1-9	1	9	4.409938812255859
1-10	1	10	8.071258544921875
1-11	1	11	5.78861665725708
1-12	1	12	3.3348498344421387
1-13	1	13	5.9709906578063965
1-14	1	14	4.469895839691162
1-15	1	15	5.532526016235352
1-16	1	16	7.113387107849121
1-17	1	17	4.894881725311279
1-18	1	18	4.15966796875
1-19	1	19	4.240528106689453
1-20	1	20	4.091062068939209
1-21	1	21	4.205650806427002
1-22	1	22	3.9585580825805664
1-23	1	23	3.925128698348999
1-24	1	24	8.474130630493164
1-25	1	25	5.157101154327393
1-26	1	26	4.618505477905273
1-27	1	27	4.478588581085205
1-28	1	28	3.9496259689331055
1-29	1	29	6.270176410675049
1-30	1	30	4.338371753692627
2-0	2	0	5.0366010665893555
2-1	2	1	6.192739486694336
2-2	2	2	4.556519508361816
2-3	2	3	6.597888946533203
2-4	2	4	5.379345893859863
2-5	2	5	4.4364800453186035
2-6	2	6	4.1510210037231445
2-7	2	7	4.919126987457275
2-8	2	8	3.5210506916046143
2-9	2	9	2.989445209503174
2-10	2	10	5.684811592102051
2-11	2	11	4.532493591308594
2-12	2	12	4.5697855949401855
2-13	2	13	4.078728675842285
2-14	2	14	2.591095209121704
2-15	2	15	4.0913567543029785
2-16	2	16	5.201319217681885
2-17	2	17	4.762784481048584
2-18	2	18	3.9101390838623047
2-19	2	19	4.384353160858154
2-20	2	20	4.564241409301758
2-21	2	21	4.469996452331543
2-22	2	22	4.028433799743652
2-23	2	23	5.4085211753845215
2-24	2	24	5.28341817855835
2-25	2	25	3.4809458255767822
2-26	2	26	3.419351100921631
2-27	2	27	3.9085779190063477
2-28	2	28	3.7377147674560547
2-29	2	29	6.61563777923584
2-30	2	30	2.254312753677368
3-0	3	0	3.7222237586975098
3-1	3	1	4.650589466094971
3-2	3	2	5.12894868850708
3-3	3	3	4.882177352905273
3-4	3	4	4.792109966278076
3-5	3	5	5.086920261383057
3-6	3	6	3.367497682571411
3-7	3	7	4.729976654052734
3-8	3	8	6.1363139152526855
3-9	3	9	4.34460973739624
3-10	3	10	4.273355960845947
3-11	3	11	3.000383138656616
3-12	3	12	4.223255157470703
3-13	3	13	3.1716325283050537
3-14	3	14	4.549787521362305
3-15	3	15	4.303925514221191
3-16	3	16	3.184924602508545
3-17	3	17	4.420070648193359
3-18	3	18	3.3206114768981934
3-19	3	19	5.026449203491211
3-20	3	20	3.7517611980438232
3-21	3	21	3.623674154281616
3-22	3	22	3.354759693145752
3-23	3	23	4.623778343200684
3-24	3	24	2.8555355072021484
3-25	3	25	5.393245697021484
3-26	3	26	3.3640968799591064
3-27	3	27	2.4175970554351807
3-28	3	28	5.196028709411621
3-29	3	29	3.8412954807281494
3-30	3	30	2.9502203464508057
4-0	4	0	5.8404107093811035
4-1	4	1	4.958341598510742
4-2	4	2	3.1981844902038574
4-3	4	3	3.8845067024230957
4-4	4	4	4.515275955200195
4-5	4	5	4.074765682220459
4-6	4	6	3.3265507221221924
4-7	4	7	4.220943450927734
4-8	4	8	4.267632961273193
4-9	4	9	6.111783504486084
4-10	4	10	4.358549118041992
4-11	4	11	3.0931382179260254
4-12	4	12	3.957566976547241
4-13	4	13	2.524505376815796
4-14	4	14	4.028215408325195
4-15	4	15	3.463165044784546
4-16	4	16	4.930675983428955
4-17	4	17	4.862093925476074
4-18	4	18	2.571356773376465
4-19	4	19	2.5916385650634766
4-20	4	20	3.8742473125457764
4-21	4	21	4.085577011108398
4-22	4	22	4.229571342468262
4-23	4	23	2.830876111984253
4-24	4	24	3.1076059341430664
4-25	4	25	3.146318197250366
4-26	4	26	2.4468705654144287
4-27	4	27	3.766279697418213
4-28	4	28	2.5561485290527344
4-29	4	29	5.090116500854492
4-30	4	30	5.009397506713867
5-0	5	0	3.8609843254089355
5-1	5	1	3.960097074508667
5-2	5	2	3.320672035217285
5-3	5	3	4.883903980255127
5-4	5	4	4.846426010131836
5-5	5	5	3.490200996398926
5-6	5	6	3.8029794692993164
5-7	5	7	4.076223373413086
5-8	5	8	3.60835337638855
5-9	5	9	3.289608955383301
5-10	5	10	3.2523651123046875
5-11	5	11	3.7340331077575684
5-12	5	12	3.457213878631592
5-13	5	13	2.954472064971924
5-14	5	14	2.679962635040283
5-15	5	15	4.352511882781982
5-16	5	16	3.555446147918701
5-17	5	17	4.362849235534668
5-18	5	18	3.486989736557007
5-19	5	19	3.4216959476470947
5-20	5	20	3.663975477218628
5-21	5	21	2.608419179916382
5-22	5	22	5.685075283050537
5-23	5	23	4.403681755065918
5-24	5	24	3.2488601207733154
5-25	5	25	3.26802921295166
5-26	5	26	3.6393706798553467
5-27	5	27	3.6461172103881836
5-28	5	28	3.839170455932617
5-29	5	29	3.43542742729187
5-30	5	30	3.758833408355713
6-0	6	0	3.2050890922546387
6-1	6	1	3.160644292831421
6-2	6	2	2.8482398986816406
6-3	6	3	5.086180686950684
6-4	6	4	4.033849239349365
6-5	6	5	2.9888997077941895
6-6	6	6	4.523275375366211
6-7	6	7	3.993386745452881
6-8	6	8	4.540959358215332
6-9	6	9	3.0684847831726074
6-10	6	10	2.9758658409118652
6-11	6	11	2.9432289600372314
6-12	6	12	4.347531318664551
6-13	6	13	4.333897113800049
6-14	6	14	3.32206392288208
6-15	6	15	2.9420650005340576
6-16	6	16	3.5786709785461426
6-17	6	17	4.427135467529297
6-18	6	18	3.7052900791168213
6-19	6	19	4.250058174133301
6-20	6	20	4.5465593338012695
6-21	6	21	2.8315322399139404
6-22	6	22	4.274183750152588
6-23	6	23	2.923985004425049
6-24	6	24	2.944705009460449
6-25	6	25	2.788142204284668
6-26	6	26	3.2736220359802246
6-27	6	27	4.732381820678711
6-28	6	28	2.836599349975586
6-29	6	29	3.494810104370117
6-30	6	30	3.0152032375335693
7-0	7	0	3.2228684425354004
7-1	7	1	3.569517135620117
7-2	7	2	3.7597806453704834
7-3	7	3	2.7426202297210693
7-4	7	4	4.259612083435059
7-5	7	5	3.2248666286468506
7-6	7	6	4.203477382659912
7-7	7	7	3.3619894981384277
7-8	7	8	2.835874319076538
7-9	7	9	3.6427924633026123
7-10	7	10	3.2890145778656006
7-11	7	11	4.418800354003906
7-12	7	12	3.248680591583252
7-13	7	13	3.135918617248535
7-14	7	14	3.2071523666381836
7-15	7	15	2.904038429260254
7-16	7	16	3.5451722145080566
7-17	7	17	3.585090398788452
7-18	7	18	3.3098747730255127
7-19	7	19	3.494588613510132
7-20	7	20	3.394442081451416
7-21	7	21	3.7296290397644043
7-22	7	22	4.339540481567383
7-23	7	23	3.0472819805145264
7-24	7	24	4.174788475036621
7-25	7	25	3.8933157920837402
7-26	7	26	3.4051172733306885
7-27	7	27	2.900916814804077
7-28	7	28	3.288761615753174
7-29	7	29	4.301009654998779
7-30	7	30	3.828141927719116
8-0	8	0	2.2746024131774902
8-1	8	1	3.440944194793701
8-2	8	2	4.254568576812744
8-3	8	3	4.028290748596191
8-4	8	4	3.203678607940674
8-5	8	5	3.891770839691162
8-6	8	6	3.065957546234131
8-7	8	7	3.972459316253662
8-8	8	8	3.143120288848877
8-9	8	9	3.7689599990844727
8-10	8	10	2.882657051086426
8-11	8	11	3.1600685119628906
8-12	8	12	1.9127787351608276
8-13	8	13	3.723461389541626
8-14	8	14	3.149768829345703
8-15	8	15	3.6603291034698486
8-16	8	16	2.779522657394409
8-17	8	17	3.43919038772583
8-18	8	18	1.9211921691894531
8-19	8	19	3.8969497680664062
8-20	8	20	3.0457892417907715
8-21	8	21	3.0940327644348145
8-22	8	22	3.080000400543213
8-23	8	23	3.107573986053467
8-24	8	24	4.151797771453857
8-25	8	25	3.2981855869293213
8-26	8	26	4.461818695068359
8-27	8	27	4.317049026489258
8-28	8	28	4.029671669006348
8-29	8	29	4.956249237060547
8-30	8	30	3.432766914367676
9-0	9	0	3.509157657623291
9-1	9	1	3.11179780960083
9-2	9	2	3.3026535511016846
9-3	9	3	3.7889256477355957
9-4	9	4	3.6055870056152344
9-5	9	5	3.3505494594573975
9-6	9	6	3.402104377746582
9-7	9	7	2.7741663455963135
9-8	9	8	3.249207019805908
9-9	9	9	2.2349681854248047
9-10	9	10	3.5269112586975098
9-11	9	11	3.185396909713745
9-12	9	12	3.3173296451568604
9-13	9	13	3.2690811157226562
9-14	9	14	3.038811206817627
9-15	9	15	3.5867300033569336
9-16	9	16	4.305731773376465
9-17	9	17	4.434126377105713
9-18	9	18	3.3461480140686035
9-19	9	19	2.7790942192077637
9-20	9	20	3.895045518875122
9-21	9	21	3.1557345390319824
9-22	9	22	2.227198362350464
9-23	9	23	3.8422226905822754
9-24	9	24	3.1696672439575195
9-25	9	25	3.202111005783081
9-26	9	26	3.3760461807250977
9-27	9	27	3.399688482284546
9-28	9	28	3.081829309463501
9-29	9	29	4.015579700469971
9-30	9	30	3.435992956161499
10-0	10	0	3.03155517578125
10-1	10	1	3.1662309169769287
10-2	10	2	3.698754072189331
10-3	10	3	4.146002292633057
10-4	10	4	2.7905054092407227
10-5	10	5	3.35624623298645
10-6	10	6	4.038087368011475
10-7	10	7	2.6457505226135254
10-8	10	8	3.142796754837036
10-9	10	9	3.6228628158569336
10-10	10	10	2.821711540222168
10-11	10	11	2.8626608848571777
10-12	10	12	3.641496419906616
10-13	10	13	3.0668859481811523
10-14	10	14	3.48164701461792
10-15	10	15	4.092086315155029
10-16	10	16	3.8771743774414062
10-17	10	17	1.9633222818374634
10-18	10	18	3.603510856628418
10-19	10	19	3.093367576599121
10-20	10	20	3.6422531604766846
10-21	10	21	2.853017568588257
10-22	10	22	3.7095718383789062
10-23	10	23	3.0929336547851562
10-24	10	24	3.76556658744812
10-25	10	25	3.88643741607666
10-26	10	26	2.8690760135650635
10-27	10	27	3.072230339050293
10-28	10	28	3.2626123428344727
10-29	10	29	2.85737943649292
10-30	10	30	2.2925193309783936
11-0	11	0	2.4858384132385254
11-1	11	1	2.3575568199157715
11-2	11	2	3.1724414825439453
11-3	11	3	4.018270969390869
11-4	11	4	3.968384265899658
11-5	11	5	3.6471128463745117
11-6	11	6	3.740835428237915
11-7	11	7	3.079298257827759
11-8	11	8	2.4240541458129883
11-9	11	9	3.689958095550537
11-10	11	10	3.1907260417938232
11-11	11	11	4.07125997543335
11-12	11	12	2.950333595275879
11-13	11	13	2.978624105453491
11-14	11	14	2.5818469524383545
11-15	11	15	3.7884204387664795
11-16	11	16	2.955340623855591
11-17	11	17	2.786783218383789
11-18	11	18	3.326064348220825
11-19	11	19	3.4284918308258057
11-20	11	20	2.4667277336120605
11-21	11	21	2.650343418121338
11-22	11	22	3.307304620742798
11-23	11	23	3.2789390087127686
11-24	11	24	3.1497554779052734
11-25	11	25	3.103327751159668
11-26	11	26	3.0751612186431885
11-27	11	27	3.441342353820801
11-28	11	28	3.591165781021118
11-29	11	29	2.905651330947876
11-30	11	30	4.513270854949951
12-0	12	0	2.7865004539489746
12-1	12	1	3.8091721534729004
12-2	12	2	3.553438901901245
12-3	12	3	3.049180030822754
12-4	12	4	2.850160837173462
12-5	12	5	3.1233911514282227
12-6	12	6	3.5672829151153564
12-7	12	7	3.3856360912323
12-8	12	8	3.17820405960083
12-9	12	9	4.2590765953063965
12-10	12	10	3.1803476810455322
12-11	12	11	3.079669952392578
12-12	12	12	3.267982244491577
12-13	12	13	3.250018358230591
12-14	12	14	3.06754994392395
12-15	12	15	2.38153076171875
12-16	12	16	3.146334171295166
12-17	12	17	2.8660435676574707
12-18	12	18	3.4892663955688477
12-19	12	19	3.6739261150360107
12-20	12	20	2.3699655532836914
12-21	12	21	2.72064471244812
12-22	12	22	2.6814515590667725
12-23	12	23	2.1888747215270996
12-24	12	24	4.558781623840332
12-25	12	25	2.908327579498291
12-26	12	26	3.2869818210601807
12-27	12	27	3.555056095123291
12-28	12	28	3.115654706954956
12-29	12	29	2.2955539226531982
12-30	12	30	3.53733229637146
13-0	13	0	2.5108895301818848
13-1	13	1	3.238473892211914
13-2	13	2	3.4322338104248047
13-3	13	3	3.0073256492614746
13-4	13	4	2.8185925483703613
13-5	13	5	2.6070923805236816
13-6	13	6	3.3860161304473877
13-7	13	7	3.17488694190979
13-8	13	8	3.015180826187134
13-9	13	9	3.998917818069458
13-10	13	10	3.069082498550415
13-11	13	11	2.600313901901245
13-12	13	12	3.0721068382263184
13-13	13	13	3.542388439178467
13-14	13	14	2.530787706375122
13-15	13	15	2.8174240589141846
13-16	13	16	3.423982620239258
13-17	13	17	3.1917197704315186
13-18	13	18	3.090160369873047
13-19	13	19	2.7498817443847656
13-20	13	20	2.9964182376861572
13-21	13	21	3.9446964263916016
13-22	13	22	3.071904420852661
13-23	13	23	2.615962266921997
13-24	13	24	2.3340158462524414
13-25	13	25	3.6391568183898926
13-26	13	26	2.770486354827881
13-27	13	27	3.6900064945220947
13-28	13	28	3.3899269104003906
13-29	13	29	2.897768497467041
13-30	13	30	3.7186615467071533
14-0	14	0	3.0434303283691406
14-1	14	1	2.8610386848449707
14-2	14	2	3.4911646842956543
14-3	14	3	3.4252207279205322
14-4	14	4	3.0102310180664062
14-5	14	5	3.021094799041748
14-6	14	6	3.486154079437256
14-7	14	7	3.6955857276916504
14-8	14	8	3.5170280933380127
14-9	14	9	3.085907220840454
14-10	14	10	3.1072635650634766
14-11	14	11	3.129169225692749
14-12	14	12	3.3498129844665527
14-13	14	13	3.176201820373535
14-14	14	14	2.7804508209228516
14-15	14	15	3.2082316875457764
14-16	14	16	3.3928685188293457
14-17	14	17	2.0578653812408447
14-18	14	18	2.900723457336426
14-19	14	19	2.9371674060821533
14-20	14	20	2.5227835178375244
14-21	14	21	2.9496262073516846
14-22	14	22	3.0182747840881348
14-23	14	23	2.3234140872955322
14-24	14	24	3.135810613632202
14-25	14	25	1.9342303276062012
14-26	14	26	2.9648518562316895
14-27	14	27	3.449108123779297
14-28	14	28	3.041599750518799
14-29	14	29	3.652981758117676
14-30	14	30	3.006683588027954
15-0	15	0	2.544934034347534
15-1	15	1	2.692355155944824
15-2	15	2	3.7304158210754395
15-3	15	3	3.6790406703948975
15-4	15	4	3.0635573863983154
15-5	15	5	2.9319610595703125
15-6	15	6	2.5692813396453857
15-7	15	7	2.9364356994628906
15-8	15	8	2.1660540103912354
15-9	15	9	2.7872533798217773
15-10	15	10	2.446208953857422
15-11	15	11	3.0603578090667725
15-12	15	12	2.9006779193878174
15-13	15	13	3.333979368209839
15-14	15	14	3.3010377883911133
15-15	15	15	2.330565929412842
15-16	15	16	2.928370952606201
15-17	15	17	3.339301109313965
15-18	15	18	2.8891546726226807
15-19	15	19	3.021014928817749
15-20	15	20	3.623243808746338
15-21	15	21	3.6480624675750732
15-22	15	22	3.683621406555176
15-23	15	23	3.619370460510254
15-24	15	24	3.2989604473114014
15-25	15	25	2.5821733474731445
15-26	15	26	3.180663585662842
15-27	15	27	3.3847427368164062
15-28	15	28	2.706559419631958
15-29	15	29	2.092656135559082
15-30	15	30	3.0476737022399902
16-0	16	0	3.3094444274902344
16-1	16	1	2.2455592155456543
16-2	16	2	2.784660577774048
16-3	16	3	2.452925205230713
16-4	16	4	3.1925387382507324
16-5	16	5	3.3428001403808594
16-6	16	6	2.8796486854553223
16-7	16	7	2.2948954105377197
16-8	16	8	2.329346179962158
16-9	16	9	3.1289608478546143
16-10	16	10	2.7170379161834717
16-11	16	11	3.265122652053833
16-12	16	12	2.877199649810791
16-13	16	13	2.4804351329803467
16-14	16	14	4.152443885803223
16-15	16	15	3.0111660957336426
16-16	16	16	2.6702513694763184
16-17	16	17	3.573352813720703
16-18	16	18	3.346693515777588
16-19	16	19	3.337608575820923
16-20	16	20	2.1787190437316895
16-21	16	21	3.400982618331909
16-22	16	22	2.5441150665283203
16-23	16	23	2.7753913402557373
16-24	16	24	3.2200989723205566
16-25	16	25	3.6494944095611572
16-26	16	26	3.141263723373413
16-27	16	27	2.965421676635742
16-28	16	28	3.471895694732666
16-29	16	29	2.7668638229370117
16-30	16	30	2.6571662425994873
17-0	17	0	3.532141923904419
17-1	17	1	3.5361483097076416
17-2	17	2	2.2869582176208496
17-3	17	3	3.6727755069732666
17-4	17	4	3.0497782230377197
17-5	17	5	2.932006597518921
17-6	17	6	2.646965503692627
17-7	17	7	2.720463275909424
17-8	17	8	4.375004768371582
17-9	17	9	2.9414801597595215
17-10	17	10	2.7907187938690186
17-11	17	11	3.2524092197418213
17-12	17	12	2.319243907928467
17-13	17	13	2.4836809635162354
17-14	17	14	2.2683212757110596
17-15	17	15	2.7870748043060303
17-16	17	16	2.1365983486175537
17-17	17	17	2.3603787422180176
17-18	17	18	3.349442481994629
17-19	17	19	3.425448179244995
17-20	17	20	3.0023562908172607
17-21	17	21	2.5936319828033447
17-22	17	22	3.224548578262329
17-23	17	23	3.124326229095459
17-24	17	24	2.0926671028137207
17-25	17	25	2.66738224029541
17-26	17	26	3.262415885925293
17-27	17	27	2.9500086307525635
17-28	17	28	3.1369130611419678
17-29	17	29	2.6299428939819336
17-30	17	30	3.61356520652771
18-0	18	0	2.8074378967285156
18-1	18	1	3.3710834980010986
18-2	18	2	2.954760789871216
18-3	18	3	2.8672091960906982
18-4	18	4	3.5082404613494873
18-5	18	5	2.8810267448425293
18-6	18	6	3.3336448669433594
18-7	18	7	3.115206480026245
18-8	18	8	2.8599133491516113
18-9	18	9	3.1666975021362305
18-10	18	10	3.54551362991333
18-11	18	11	2.3767342567443848
18-12	18	12	3.2950849533081055
18-13	18	13	2.1789934635162354
18-14	18	14	3.3845551013946533
18-15	18	15	3.654629945755005
18-16	18	16	2.171644687652588
18-17	18	17	3.3170313835144043
18-18	18	18	3.0211234092712402
18-19	18	19	3.1774327754974365
18-20	18	20	2.7961087226867676
18-21	18	21	2.0742781162261963
18-22	18	22	3.0215344429016113
18-23	18	23	2.8954460620880127
18-24	18	24	2.516141414642334
18-25	18	25	2.894399404525757
18-26	18	26	2.3588099479675293
18-27	18	27	1.9967026710510254
18-28	18	28	2.8407397270202637
18-29	18	29	2.512749671936035
18-30	18	30	2.930288553237915
19-0	19	0	2.9614574909210205
19-1	19	1	3.2134716510772705
19-2	19	2	3.724083662033081
19-3	19	3	2.2240822315216064
19-4	19	4	2.7236828804016113
19-5	19	5	3.1724557876586914
19-6	19	6	2.800569772720337
19-7	19	7	3.5474603176116943
19-8	19	8	2.9029784202575684
19-9	19	9	2.303697109222412
19-10	19	10	3.4360768795013428
19-11	19	11	2.6901042461395264
19-12	19	12	2.545257568359375
19-13	19	13	3.023392677307129
19-14	19	14	2.481450080871582
19-15	19	15	2.501725196838379
19-16	19	16	2.430368185043335
19-17	19	17	2.9269626140594482
19-18	19	18	2.6535515785217285
19-19	19	19	2.6454169750213623
19-20	19	20	2.6865227222442627
19-21	19	21	2.900956630706787
19-22	19	22	1.9997140169143677
19-23	19	23	3.1746256351470947
19-24	19	24	3.434288740158081
19-25	19	25	3.0131447315216064
19-26	19	26	2.837888479232788
19-27	19	27	2.8901607990264893
19-28	19	28	2.5096206665039062
19-29	19	29	2.667837619781494
19-30	19	30	3.647318124771118
20-0	20	0	2.138793468475342
20-1	20	1	3.036682605743408
20-2	20	2	3.197225570678711
20-3	20	3	3.028228282928467
20-4	20	4	2.8687167167663574
20-5	20	5	2.496631145477295
20-6	20	6	2.476238489151001
20-7	20	7	2.433220863342285
20-8	20	8	3.0950632095336914
20-9	20	9	3.2677104473114014
20-10	20	10	2.5125532150268555
20-11	20	11	2.6236813068389893
20-12	20	12	2.916621208190918
20-13	20	13	3.3046624660491943
20-14	20	14	3.8974571228027344
20-15	20	15	2.6849606037139893
20-16	20	16	2.786943197250366
20-17	20	17	3.0210659503936768
20-18	20	18	2.7930428981781006
20-19	20	19	2.349580764770508
20-20	20	20	2.538836717605591
20-21	20	21	2.6824395656585693
20-22	20	22	2.309727430343628
20-23	20	23	2.4377591609954834
20-24	20	24	2.238506317138672
20-25	20	25	3.0201289653778076
20-26	20	26	2.369446277618408
20-27	20	27	3.1788551807403564
20-28	20	28	2.612396717071533
20-29	20	29	3.105191230773926
20-30	20	30	4.176581859588623
21-0	21	0	3.050060272216797
21-1	21	1	3.2296290397644043
21-2	21	2	2.270219326019287
21-3	21	3	2.5452322959899902
21-4	21	4	3.0963151454925537
21-5	21	5	3.183454990386963
21-6	21	6	1.999305248260498
21-7	21	7	1.826796293258667
21-8	21	8	2.910135269165039
21-9	21	9	2.7278473377227783
21-10	21	10	2.8803343772888184
21-11	21	11	3.275449514389038
21-12	21	12	2.7111403942108154
21-13	21	13	2.320936441421509
21-14	21	14	2.7352232933044434
21-15	21	15	2.0450758934020996
21-16	21	16	2.652919292449951
21-17	21	17	2.582247257232666
21-18	21	18	2.2567219734191895
21-19	21	19	3.584963321685791
21-20	21	20	3.2404136657714844
21-21	21	21	3.120309352874756
21-22	21	22	3.286947011947632
21-23	21	23	2.6647520065307617
21-24	21	24	2.869480609893799
21-25	21	25	2.6811158657073975
21-26	21	26	2.8427579402923584
21-27	21	27	2.546109676361084
21-28	21	28	2.7227783203125
21-29	21	29	2.884998321533203
21-30	21	30	3.1975488662719727
22-0	22	0	2.6668362617492676
22-1	22	1	2.2722911834716797
22-2	22	2	3.0500810146331787
22-3	22	3	3.1011791229248047
22-4	22	4	2.768420934677124
22-5	22	5	2.654891014099121
22-6	22	6	2.360826015472412
22-7	22	7	2.355452299118042
22-8	22	8	2.094590902328491
22-9	22	9	3.683340311050415
22-10	22	10	2.43965220451355
22-11	22	11	2.4275453090667725
22-12	22	12	2.6390209197998047
22-13	22	13	2.3392038345336914
22-14	22	14	2.4284441471099854
22-15	22	15	2.227849245071411
22-16	22	16	3.052077293395996
22-17	22	17	3.124962329864502
22-18	22	18	2.9614744186401367
22-19	22	19	3.1327552795410156
22-20	22	20	2.3330605030059814
22-21	22	21	3.302091121673584
22-22	22	22	3.1604807376861572
22-23	22	23	2.577643632888794
22-24	22	24	2.5038228034973145
22-25	22	25	2.4740419387817383
22-26	22	26	2.9319546222686768
22-27	22	27	3.192645311355591
22-28	22	28	2.3778157234191895
22-29	22	29	2.7642464637756348
22-30	22	30	2.927391290664673
23-0	23	0	2.8078675270080566
23-1	23	1	2.759016990661621
23-2	23	2	2.2611639499664307
23-3	23	3	2.2643141746520996
23-4	23	4	2.756197452545166
23-5	23	5	2.5851659774780273
23-6	23	6	2.6397488117218018
23-7	23	7	2.3257617950439453
23-8	23	8	3.4552769660949707
23-9	23	9	2.6150472164154053
23-10	23	10	2.314452648162842
23-11	23	11	2.53749942779541
23-12	23	12	2.2662911415100098
23-13	23	13	2.779693603515625
23-14	23	14	1.7631206512451172
23-15	23	15	3.150796890258789
23-16	23	16	2.384948253631592
23-17	23	17	2.9720640182495117
23-18	23	18	2.7875757217407227
23-19	23	19	2.57214093208313
23-20	23	20	2.8879919052124023
23-21	23	21	2.6402225494384766
23-22	23	22	2.698087453842163
