index	epoch	batch	loss
0-0	0	0	42.157596588134766
0-1	0	1	84.70133972167969
0-2	0	2	51.31948471069336
0-3	0	3	49.96652603149414
0-4	0	4	72.83869934082031
0-5	0	5	33.05168914794922
0-6	0	6	26.43656349182129
0-7	0	7	27.044918060302734
0-8	0	8	44.39122772216797
0-9	0	9	29.712730407714844
0-10	0	10	45.23838424682617
0-11	0	11	48.32381057739258
0-12	0	12	27.08802032470703
0-13	0	13	34.575965881347656
0-14	0	14	31.54200553894043
0-15	0	15	34.89585494995117
0-16	0	16	52.13202667236328
0-17	0	17	23.18363380432129
0-18	0	18	26.2546443939209
0-19	0	19	23.904762268066406
0-20	0	20	21.96834945678711
0-21	0	21	13.308659553527832
0-22	0	22	9.551892280578613
0-23	0	23	14.921516418457031
0-24	0	24	24.744335174560547
0-25	0	25	12.91398811340332
0-26	0	26	16.59970474243164
0-27	0	27	18.3419132232666
0-28	0	28	9.532315254211426
0-29	0	29	13.75005054473877
0-30	0	30	9.513660430908203
1-0	1	0	13.421124458312988
1-1	1	1	21.73184585571289
1-2	1	2	19.39174461364746
1-3	1	3	11.893105506896973
1-4	1	4	15.042318344116211
1-5	1	5	9.507615089416504
1-6	1	6	8.144817352294922
1-7	1	7	5.03837776184082
1-8	1	8	9.172493934631348
1-9	1	9	6.973325252532959
1-10	1	10	7.236291885375977
1-11	1	11	9.479167938232422
1-12	1	12	8.120246887207031
1-13	1	13	5.641520977020264
1-14	1	14	4.896832466125488
1-15	1	15	3.5279901027679443
1-16	1	16	9.094419479370117
1-17	1	17	3.768897771835327
1-18	1	18	6.440956115722656
1-19	1	19	6.076013088226318
1-20	1	20	6.740025997161865
1-21	1	21	6.361985206604004
1-22	1	22	6.174201011657715
1-23	1	23	6.011098861694336
1-24	1	24	7.8170366287231445
1-25	1	25	8.600079536437988
1-26	1	26	3.473907232284546
1-27	1	27	7.004343032836914
1-28	1	28	4.2370710372924805
1-29	1	29	5.269475936889648
1-30	1	30	5.042725086212158
2-0	2	0	4.825074672698975
2-1	2	1	4.998478889465332
2-2	2	2	5.637955665588379
2-3	2	3	4.921771049499512
2-4	2	4	6.465956211090088
2-5	2	5	4.446136951446533
2-6	2	6	4.684292793273926
2-7	2	7	5.047270774841309
2-8	2	8	4.996742248535156
2-9	2	9	3.5748095512390137
2-10	2	10	6.1789870262146
2-11	2	11	3.5773239135742188
2-12	2	12	3.5569913387298584
2-13	2	13	4.063117504119873
2-14	2	14	4.2808637619018555
2-15	2	15	4.469969272613525
2-16	2	16	4.204840660095215
2-17	2	17	6.093599796295166
2-18	2	18	7.693886756896973
2-19	2	19	5.3338942527771
2-20	2	20	4.63959264755249
2-21	2	21	3.217273473739624
2-22	2	22	4.340691566467285
2-23	2	23	4.622692108154297
2-24	2	24	3.596902370452881
2-25	2	25	3.9764528274536133
2-26	2	26	2.8715150356292725
2-27	2	27	5.104259014129639
2-28	2	28	4.606081008911133
2-29	2	29	2.6866323947906494
2-30	2	30	5.991534233093262
3-0	3	0	2.9991846084594727
3-1	3	1	4.306760787963867
3-2	3	2	5.089035511016846
3-3	3	3	6.74330997467041
3-4	3	4	3.561918020248413
3-5	3	5	3.419436454772949
3-6	3	6	5.075438976287842
3-7	3	7	4.7347259521484375
3-8	3	8	3.245187282562256
3-9	3	9	3.392237901687622
3-10	3	10	6.3225274085998535
3-11	3	11	4.714361667633057
3-12	3	12	4.598557472229004
