index	epoch	batch	loss
0-0	0	0	60.54548645019531
0-1	0	1	61.11506652832031
0-2	0	2	65.31407165527344
0-3	0	3	39.10595703125
0-4	0	4	67.19037628173828
0-5	0	5	47.04088592529297
0-6	0	6	48.46094512939453
0-7	0	7	36.76426696777344
0-8	0	8	44.047996520996094
0-9	0	9	29.453388214111328
0-10	0	10	37.93231964111328
0-11	0	11	18.14645004272461
0-12	0	12	18.419708251953125
0-13	0	13	20.360803604125977
0-14	0	14	11.835521697998047
0-15	0	15	26.601604461669922
0-16	0	16	16.380769729614258
0-17	0	17	21.619226455688477
0-18	0	18	13.35031795501709
0-19	0	19	19.684452056884766
0-20	0	20	22.491336822509766
0-21	0	21	22.571590423583984
0-22	0	22	12.44425106048584
0-23	0	23	25.38594627380371
0-24	0	24	17.5986270904541
0-25	0	25	5.941695690155029
0-26	0	26	16.899620056152344
0-27	0	27	23.86409568786621
0-28	0	28	13.075465202331543
0-29	0	29	8.497239112854004
0-30	0	30	13.719959259033203
1-0	1	0	17.165550231933594
1-1	1	1	6.236125469207764
1-2	1	2	9.452553749084473
1-3	1	3	7.458788871765137
1-4	1	4	8.090529441833496
1-5	1	5	9.360128402709961
1-6	1	6	11.426924705505371
1-7	1	7	9.468024253845215
1-8	1	8	8.797555923461914
1-9	1	9	7.578796863555908
1-10	1	10	6.370427131652832
1-11	1	11	7.081675052642822
1-12	1	12	2.88958740234375
1-13	1	13	6.611530303955078
1-14	1	14	5.5123515129089355
1-15	1	15	4.01786994934082
1-16	1	16	6.293624401092529
1-17	1	17	5.954448223114014
1-18	1	18	7.9326653480529785
1-19	1	19	9.262349128723145
1-20	1	20	5.231812477111816
1-21	1	21	6.587586402893066
1-22	1	22	5.0268449783325195
1-23	1	23	5.230563640594482
1-24	1	24	6.499670028686523
1-25	1	25	12.157708168029785
1-26	1	26	4.132362365722656
1-27	1	27	5.800757884979248
1-28	1	28	5.596127510070801
1-29	1	29	5.732390403747559
1-30	1	30	3.549412488937378
2-0	2	0	4.037968635559082
2-1	2	1	4.008054733276367
2-2	2	2	6.425415992736816
2-3	2	3	4.091394901275635
2-4	2	4	12.50053596496582
2-5	2	5	4.681822776794434
2-6	2	6	3.337357997894287
2-7	2	7	3.8031246662139893
2-8	2	8	3.4992361068725586
2-9	2	9	7.43107795715332
2-10	2	10	4.676093101501465
2-11	2	11	5.32663106918335
2-12	2	12	5.380026817321777
2-13	2	13	5.2790398597717285
2-14	2	14	5.762216567993164
2-15	2	15	2.9113025665283203
2-16	2	16	3.175015687942505
2-17	2	17	4.29842472076416
2-18	2	18	5.231438636779785
2-19	2	19	3.527299165725708
2-20	2	20	5.781954765319824
2-21	2	21	5.130664825439453
2-22	2	22	4.817692279815674
2-23	2	23	5.074009895324707
2-24	2	24	5.724941253662109
2-25	2	25	5.995373725891113
2-26	2	26	3.568539619445801
2-27	2	27	4.6551618576049805
2-28	2	28	3.803739070892334
2-29	2	29	4.654323577880859
2-30	2	30	6.484854221343994
3-0	3	0	4.319794654846191
3-1	3	1	4.417738914489746
3-2	3	2	4.250706195831299
3-3	3	3	2.817479133605957
3-4	3	4	6.0569167137146
3-5	3	5	2.928920269012451
3-6	3	6	4.684324264526367
3-7	3	7	5.006657600402832
3-8	3	8	4.432287216186523
3-9	3	9	4.181538105010986
3-10	3	10	4.143970489501953
3-11	3	11	5.108078479766846
3-12	3	12	3.765573263168335
3-13	3	13	4.000832557678223
3-14	3	14	4.185523986816406
3-15	3	15	4.71317195892334
3-16	3	16	3.443145751953125
3-17	3	17	3.1622560024261475
3-18	3	18	4.761098861694336
3-19	3	19	4.576793193817139
3-20	3	20	5.239672660827637
3-21	3	21	4.224087715148926
3-22	3	22	4.973297119140625
3-23	3	23	2.435971736907959
3-24	3	24	4.126542568206787
3-25	3	25	8.70018196105957
3-26	3	26	5.876314640045166
3-27	3	27	4.156890392303467
3-28	3	28	4.586273670196533
3-29	3	29	4.189146041870117
3-30	3	30	4.200468063354492
4-0	4	0	2.7188973426818848
4-1	4	1	4.103981971740723
4-2	4	2	3.1443991661071777
4-3	4	3	3.184966802597046
4-4	4	4	4.063211441040039
4-5	4	5	4.994012355804443
4-6	4	6	3.6548290252685547
4-7	4	7	7.432380676269531
4-8	4	8	3.2551417350769043
4-9	4	9	3.8455610275268555
4-10	4	10	3.652470350265503
4-11	4	11	5.17923641204834
4-12	4	12	4.72934627532959
4-13	4	13	3.6728343963623047
4-14	4	14	4.382485389709473
4-15	4	15	3.1330699920654297
4-16	4	16	4.319634914398193
4-17	4	17	3.0438320636749268
4-18	4	18	4.4211015701293945
4-19	4	19	4.068092346191406
4-20	4	20	4.440447807312012
4-21	4	21	3.8938519954681396
4-22	4	22	3.5291130542755127
4-23	4	23	3.8749115467071533
4-24	4	24	3.6917974948883057
4-25	4	25	3.739279270172119
