index	epoch	batch	loss
0-0	0	0	391.8964538574219
0-1	0	1	234.7311553955078
0-2	0	2	341.23699951171875
0-3	0	3	104.93798828125
0-4	0	4	136.25198364257812
0-5	0	5	257.0789489746094
0-6	0	6	105.47219848632812
0-7	0	7	134.19715881347656
0-8	0	8	107.68981170654297
0-9	0	9	106.99266052246094
0-10	0	10	151.0208740234375
0-11	0	11	68.77413940429688
0-12	0	12	74.00151062011719
0-13	0	13	99.27155303955078
0-14	0	14	80.44108581542969
0-15	0	15	70.133056640625
0-16	0	16	82.15077209472656
0-17	0	17	110.71488952636719
0-18	0	18	20.015674591064453
0-19	0	19	72.2516860961914
0-20	0	20	26.758642196655273
0-21	0	21	89.4167709350586
0-22	0	22	53.67051315307617
0-23	0	23	31.493942260742188
0-24	0	24	62.3256721496582
0-25	0	25	68.9490737915039
0-26	0	26	52.680110931396484
0-27	0	27	35.74306106567383
0-28	0	28	46.775238037109375
0-29	0	29	40.35841751098633
0-30	0	30	61.38079833984375
1-0	1	0	46.04106521606445
1-1	1	1	23.821306228637695
1-2	1	2	35.41223907470703
1-3	1	3	41.018829345703125
1-4	1	4	48.568092346191406
1-5	1	5	23.18817901611328
1-6	1	6	14.470478057861328
1-7	1	7	41.549861907958984
1-8	1	8	29.78610610961914
1-9	1	9	37.94310760498047
1-10	1	10	27.4407958984375
1-11	1	11	19.23922348022461
1-12	1	12	18.37442398071289
1-13	1	13	25.655790328979492
1-14	1	14	25.00213623046875
1-15	1	15	20.284881591796875
1-16	1	16	42.79957962036133
1-17	1	17	35.20209503173828
1-18	1	18	17.99359703063965
1-19	1	19	19.076282501220703
1-20	1	20	6.7224884033203125
1-21	1	21	42.80412673950195
1-22	1	22	25.041091918945312
1-23	1	23	14.45351791381836
1-24	1	24	34.29515838623047
1-25	1	25	22.0017032623291
1-26	1	26	28.88534164428711
1-27	1	27	31.10734748840332
1-28	1	28	17.512056350708008
1-29	1	29	28.087003707885742
1-30	1	30	31.68810272216797
2-0	2	0	15.049736022949219
2-1	2	1	24.410491943359375
2-2	2	2	13.891240119934082
2-3	2	3	21.024843215942383
2-4	2	4	23.98141098022461
2-5	2	5	28.564910888671875
2-6	2	6	8.814786911010742
2-7	2	7	23.32842254638672
2-8	2	8	8.094756126403809
2-9	2	9	14.115911483764648
2-10	2	10	31.057140350341797
2-11	2	11	15.829537391662598
2-12	2	12	15.594503402709961
2-13	2	13	10.740625381469727
2-14	2	14	16.94413185119629
2-15	2	15	7.659018516540527
2-16	2	16	12.597429275512695
2-17	2	17	12.921247482299805
2-18	2	18	10.238805770874023
2-19	2	19	11.898764610290527
2-20	2	20	11.691716194152832
2-21	2	21	24.889984130859375
2-22	2	22	10.391340255737305
2-23	2	23	21.198162078857422
2-24	2	24	9.969756126403809
2-25	2	25	11.321646690368652
2-26	2	26	20.597043991088867
2-27	2	27	11.35232162475586
2-28	2	28	17.15149688720703
2-29	2	29	19.3920955657959
2-30	2	30	6.331332206726074
3-0	3	0	8.658321380615234
3-1	3	1	13.286041259765625
3-2	3	2	30.740116119384766
3-3	3	3	8.956114768981934
3-4	3	4	8.90880298614502
3-5	3	5	9.484490394592285
3-6	3	6	11.590593338012695
3-7	3	7	8.450386047363281
3-8	3	8	18.907346725463867
3-9	3	9	10.606919288635254
3-10	3	10	5.650902271270752
3-11	3	11	9.65428638458252
3-12	3	12	11.057308197021484
3-13	3	13	18.473485946655273
3-14	3	14	5.874530792236328
3-15	3	15	11.766599655151367
3-16	3	16	9.691417694091797
3-17	3	17	9.934478759765625
3-18	3	18	12.691977500915527
3-19	3	19	5.874692440032959
3-20	3	20	11.810667037963867
3-21	3	21	4.795327186584473
3-22	3	22	10.43290901184082
3-23	3	23	16.714500427246094
3-24	3	24	5.001832962036133
3-25	3	25	6.5691094398498535
3-26	3	26	14.318645477294922
3-27	3	27	5.424932479858398
3-28	3	28	9.698232650756836
3-29	3	29	8.93566608428955
3-30	3	30	12.434825897216797
4-0	4	0	5.185644626617432
4-1	4	1	5.852953910827637
4-2	4	2	8.820460319519043
4-3	4	3	6.273487567901611
4-4	4	4	7.3739471435546875
4-5	4	5	5.0297651290893555
4-6	4	6	9.28563117980957
4-7	4	7	9.331661224365234
4-8	4	8	8.213362693786621
4-9	4	9	5.502427101135254
4-10	4	10	4.073944091796875
4-11	4	11	5.665450572967529
4-12	4	12	17.412721633911133
4-13	4	13	4.845179557800293
4-14	4	14	8.349467277526855
4-15	4	15	17.33869743347168
4-16	4	16	4.611556529998779
4-17	4	17	15.294904708862305
4-18	4	18	13.407318115234375
4-19	4	19	9.395930290222168
4-20	4	20	3.5053911209106445
4-21	4	21	4.31203031539917
4-22	4	22	13.09611701965332
4-23	4	23	6.467901229858398
4-24	4	24	4.6604180335998535
4-25	4	25	9.420312881469727
4-26	4	26	14.219318389892578
4-27	4	27	7.362181186676025
4-28	4	28	6.838842391967773
4-29	4	29	7.412552356719971
4-30	4	30	10.5825777053833
5-0	5	0	8.517936706542969
5-1	5	1	5.113811492919922
5-2	5	2	5.970914363861084
5-3	5	3	7.193938732147217
5-4	5	4	4.388205528259277
5-5	5	5	2.7567873001098633
5-6	5	6	4.433019638061523
5-7	5	7	7.683464050292969
5-8	5	8	10.987245559692383
5-9	5	9	7.405797481536865
5-10	5	10	3.81046199798584
5-11	5	11	8.197368621826172
5-12	5	12	7.701333522796631
5-13	5	13	7.442058563232422
5-14	5	14	6.884028434753418
5-15	5	15	9.054250717163086
5-16	5	16	4.18791389465332
5-17	5	17	12.946319580078125
5-18	5	18	4.660043716430664
5-19	5	19	3.553999185562134
5-20	5	20	8.52916431427002
5-21	5	21	10.702488899230957
5-22	5	22	7.067789554595947
5-23	5	23	13.976405143737793
5-24	5	24	6.589601516723633
5-25	5	25	5.60835599899292
5-26	5	26	5.573843479156494
5-27	5	27	7.872469425201416
5-28	5	28	9.696088790893555
5-29	5	29	4.0947160720825195
5-30	5	30	3.5756735801696777
6-0	6	0	8.554580688476562
6-1	6	1	9.15815544128418
6-2	6	2	4.2719550132751465
6-3	6	3	6.028212547302246
6-4	6	4	7.153717517852783
6-5	6	5	7.493240833282471
6-6	6	6	4.2290754318237305
6-7	6	7	5.072442054748535
6-8	6	8	6.233400344848633
6-9	6	9	7.360955238342285
6-10	6	10	7.486138343811035
6-11	6	11	5.2171244621276855
6-12	6	12	2.9420104026794434
6-13	6	13	6.054429054260254
6-14	6	14	3.5252978801727295
6-15	6	15	4.978037357330322
6-16	6	16	3.763951063156128
6-17	6	17	3.691986560821533
6-18	6	18	7.919318675994873
6-19	6	19	4.279574394226074
6-20	6	20	9.97540283203125
6-21	6	21	6.201587200164795
6-22	6	22	3.998694896697998
6-23	6	23	3.8032779693603516
6-24	6	24	4.626796245574951
6-25	6	25	6.434847831726074
6-26	6	26	9.326606750488281
6-27	6	27	10.297479629516602
6-28	6	28	6.314352989196777
6-29	6	29	6.042911529541016
6-30	6	30	4.619989395141602
7-0	7	0	3.5535364151000977
7-1	7	1	6.1868791580200195
7-2	7	2	6.461741924285889
7-3	7	3	6.19101619720459
7-4	7	4	5.117300033569336
7-5	7	5	7.018475532531738
7-6	7	6	3.9165854454040527
7-7	7	7	5.0206298828125
7-8	7	8	6.768209457397461
7-9	7	9	4.404322624206543
7-10	7	10	5.376259803771973
7-11	7	11	8.425911903381348
7-12	7	12	4.289545059204102
7-13	7	13	3.2275962829589844
7-14	7	14	9.611553192138672
7-15	7	15	4.851325035095215
7-16	7	16	3.3084564208984375
7-17	7	17	5.459234714508057
7-18	7	18	4.626669883728027
7-19	7	19	5.820278644561768
7-20	7	20	9.858776092529297
7-21	7	21	4.484641075134277
7-22	7	22	4.8580322265625
7-23	7	23	4.197881698608398
7-24	7	24	3.900662422180176
7-25	7	25	4.443309783935547
7-26	7	26	4.184966087341309
7-27	7	27	4.625995635986328
7-28	7	28	7.883058071136475
7-29	7	29	7.269135475158691
7-30	7	30	2.8311760425567627
8-0	8	0	3.4286866188049316
8-1	8	1	8.684011459350586
8-2	8	2	2.9125890731811523
8-3	8	3	3.8765718936920166
8-4	8	4	4.5152587890625
8-5	8	5	3.397618055343628
8-6	8	6	7.392913818359375
8-7	8	7	3.4315810203552246
8-8	8	8	5.800055027008057
8-9	8	9	3.8208484649658203
8-10	8	10	4.849834442138672
8-11	8	11	5.436938285827637
8-12	8	12	5.110223770141602
8-13	8	13	5.423015594482422
8-14	8	14	8.535429954528809
8-15	8	15	3.282729387283325
8-16	8	16	7.039811134338379
8-17	8	17	5.322057723999023
8-18	8	18	3.502298355102539
8-19	8	19	3.447793960571289
8-20	8	20	4.742997646331787
8-21	8	21	3.677558183670044
8-22	8	22	5.142287254333496
8-23	8	23	4.307210445404053
8-24	8	24	6.839484691619873
8-25	8	25	3.5026066303253174
8-26	8	26	5.000631809234619
8-27	8	27	3.5439465045928955
8-28	8	28	6.058121681213379
8-29	8	29	6.648194789886475
8-30	8	30	9.370369911193848
9-0	9	0	5.78324556350708
9-1	9	1	4.504945755004883
9-2	9	2	5.122611045837402
9-3	9	3	3.404276132583618
9-4	9	4	3.9224483966827393
9-5	9	5	4.964754581451416
9-6	9	6	4.889326095581055
9-7	9	7	4.495631217956543
9-8	9	8	5.916982173919678
9-9	9	9	3.680685043334961
9-10	9	10	2.5231544971466064
9-11	9	11	5.039203643798828
9-12	9	12	8.654642105102539
9-13	9	13	5.319835186004639
9-14	9	14	5.406408309936523
9-15	9	15	3.2786788940429688
9-16	9	16	2.759138584136963
9-17	9	17	4.051492214202881
9-18	9	18	3.590439558029175
9-19	9	19	4.98039436340332
9-20	9	20	3.7086610794067383
9-21	9	21	9.844273567199707
9-22	9	22	4.133856773376465
9-23	9	23	7.431405544281006
9-24	9	24	4.334374904632568
9-25	9	25	4.1531877517700195
9-26	9	26	5.20913028717041
9-27	9	27	4.740051746368408
9-28	9	28	3.722543716430664
9-29	9	29	4.786895275115967
9-30	9	30	2.8716511726379395
10-0	10	0	5.44237756729126
10-1	10	1	4.127642631530762
10-2	10	2	4.427757263183594
10-3	10	3	7.434850215911865
10-4	10	4	3.974000930786133
10-5	10	5	4.305946350097656
10-6	10	6	6.176379680633545
10-7	10	7	4.439977645874023
10-8	10	8	5.3792500495910645
10-9	10	9	5.421436786651611
10-10	10	10	3.299701690673828
10-11	10	11	4.496680736541748
10-12	10	12	2.567708969116211
10-13	10	13	4.222195148468018
10-14	10	14	4.170554161071777
10-15	10	15	3.431560516357422
10-16	10	16	2.183150053024292
10-17	10	17	4.133847236633301
10-18	10	18	8.150714874267578
10-19	10	19	5.50784158706665
10-20	10	20	3.7846944332122803
10-21	10	21	4.861896991729736
10-22	10	22	3.6959080696105957
10-23	10	23	4.638514518737793
10-24	10	24	3.905093193054199
10-25	10	25	6.205985069274902
10-26	10	26	6.758059024810791
10-27	10	27	4.200431823730469
10-28	10	28	3.3230772018432617
10-29	10	29	2.5158958435058594
10-30	10	30	4.029134750366211
11-0	11	0	5.704378128051758
11-1	11	1	4.327156066894531
11-2	11	2	2.960599660873413
11-3	11	3	3.41152024269104
11-4	11	4	3.3679041862487793
11-5	11	5	5.113559246063232
11-6	11	6	4.066351890563965
11-7	11	7	3.629910469055176
11-8	11	8	3.4287941455841064
11-9	11	9	5.71580696105957
11-10	11	10	6.609735012054443
11-11	11	11	4.793173789978027
11-12	11	12	5.556036949157715
11-13	11	13	3.701981544494629
11-14	11	14	6.396395683288574
11-15	11	15	4.304213523864746
11-16	11	16	2.5320496559143066
11-17	11	17	4.841972827911377
11-18	11	18	2.7034735679626465
11-19	11	19	5.851828575134277
11-20	11	20	5.213623523712158
11-21	11	21	3.910975456237793
11-22	11	22	3.3477420806884766
11-23	11	23	4.452393054962158
11-24	11	24	4.336716651916504
11-25	11	25	4.098254203796387
11-26	11	26	3.6077284812927246
11-27	11	27	5.378944396972656
11-28	11	28	4.547743797302246
11-29	11	29	4.957465171813965
11-30	11	30	3.3524482250213623
12-0	12	0	4.6085710525512695
12-1	12	1	2.9807517528533936
12-2	12	2	3.149620771408081
12-3	12	3	6.514649391174316
12-4	12	4	3.0783796310424805
12-5	12	5	4.9418230056762695
12-6	12	6	3.667832136154175
12-7	12	7	6.745859622955322
12-8	12	8	4.404537200927734
12-9	12	9	3.2972826957702637
12-10	12	10	3.6567986011505127
12-11	12	11	3.877985954284668
12-12	12	12	4.498187065124512
12-13	12	13	6.5320587158203125
12-14	12	14	6.231910228729248
12-15	12	15	2.8203518390655518
12-16	12	16	5.142026901245117
12-17	12	17	4.0183844566345215
12-18	12	18	5.129247665405273
12-19	12	19	3.092189073562622
12-20	12	20	3.839534282684326
12-21	12	21	4.792977809906006
12-22	12	22	2.458439588546753
12-23	12	23	3.332430839538574
12-24	12	24	4.9928202629089355
12-25	12	25	4.345228672027588
12-26	12	26	4.587801456451416
12-27	12	27	5.519382476806641
12-28	12	28	3.0256869792938232
12-29	12	29	3.4241855144500732
12-30	12	30	3.559551239013672
13-0	13	0	4.968660354614258
13-1	13	1	4.00236177444458
13-2	13	2	3.360825538635254
13-3	13	3	3.526341676712036
13-4	13	4	4.216605186462402
13-5	13	5	4.165624618530273
13-6	13	6	3.85742449760437
13-7	13	7	3.2849912643432617
13-8	13	8	4.351774215698242
13-9	13	9	3.622293472290039
13-10	13	10	6.041960716247559
13-11	13	11	3.9177560806274414
13-12	13	12	4.416654586791992
13-13	13	13	3.9775516986846924
13-14	13	14	2.473695993423462
13-15	13	15	3.461988925933838
13-16	13	16	6.459640026092529
13-17	13	17	5.11264181137085
13-18	13	18	3.344771146774292
13-19	13	19	4.246205806732178
13-20	13	20	4.46323823928833
13-21	13	21	4.942281723022461
13-22	13	22	4.850118637084961
13-23	13	23	3.582353115081787
13-24	13	24	4.202854156494141
13-25	13	25	3.0060622692108154
13-26	13	26	4.94384765625
13-27	13	27	3.815873384475708
13-28	13	28	3.4497106075286865
13-29	13	29	5.760608196258545
13-30	13	30	2.7952005863189697
14-0	14	0	3.1268093585968018
14-1	14	1	3.9157958030700684
14-2	14	2	4.585169315338135
14-3	14	3	3.9849138259887695
14-4	14	4	4.24105167388916
14-5	14	5	4.866215705871582
14-6	14	6	3.37453031539917
14-7	14	7	2.861464023590088
14-8	14	8	6.644347190856934
14-9	14	9	3.809084415435791
14-10	14	10	3.9560470581054688
14-11	14	11	3.398484230041504
14-12	14	12	4.478203773498535
14-13	14	13	4.124546051025391
14-14	14	14	4.991584777832031
14-15	14	15	4.21653938293457
14-16	14	16	2.737215042114258
14-17	14	17	3.515188455581665
14-18	14	18	6.334824562072754
14-19	14	19	4.468419075012207
14-20	14	20	3.4330947399139404
14-21	14	21	3.7130579948425293
14-22	14	22	3.8794989585876465
14-23	14	23	3.513685464859009
14-24	14	24	4.589486598968506
14-25	14	25	3.036879062652588
14-26	14	26	4.435927867889404
14-27	14	27	4.962054252624512
14-28	14	28	3.5580971240997314
14-29	14	29	2.9008421897888184
14-30	14	30	4.840700149536133
15-0	15	0	3.1304290294647217
15-1	15	1	2.5430853366851807
15-2	15	2	4.501143932342529
15-3	15	3	3.2295339107513428
15-4	15	4	3.335736036300659
15-5	15	5	3.1835875511169434
15-6	15	6	3.8445608615875244
15-7	15	7	3.8164494037628174
15-8	15	8	4.639196395874023
15-9	15	9	2.4596874713897705
15-10	15	10	3.6226537227630615
15-11	15	11	2.7466790676116943
15-12	15	12	3.273695468902588
15-13	15	13	5.84443998336792
15-14	15	14	4.391524791717529
15-15	15	15	3.26705002784729
15-16	15	16	2.6229329109191895
15-17	15	17	4.652171611785889
15-18	15	18	5.382927894592285
15-19	15	19	3.3557345867156982
15-20	15	20	6.601088523864746
15-21	15	21	5.01515007019043
15-22	15	22	2.766415596008301
15-23	15	23	5.280282497406006
15-24	15	24	7.224864959716797
15-25	15	25	3.9090497493743896
15-26	15	26	5.983016490936279
15-27	15	27	3.157517194747925
15-28	15	28	3.424755573272705
15-29	15	29	3.3556931018829346
15-30	15	30	2.8178603649139404
16-0	16	0	3.797722101211548
16-1	16	1	5.271955966949463
16-2	16	2	4.572351455688477
16-3	16	3	3.5300731658935547
16-4	16	4	4.825202465057373
16-5	16	5	3.707653045654297
16-6	16	6	3.60959792137146
16-7	16	7	3.9220144748687744
16-8	16	8	3.2611403465270996
16-9	16	9	2.5008838176727295
16-10	16	10	3.913638114929199
16-11	16	11	4.103376388549805
16-12	16	12	3.3108139038085938
16-13	16	13	3.569915771484375
16-14	16	14	3.2868540287017822
16-15	16	15	4.6471686363220215
16-16	16	16	2.847411870956421
16-17	16	17	3.004037857055664
16-18	16	18	4.737176895141602
16-19	16	19	3.6803627014160156
16-20	16	20	2.4260413646698
16-21	16	21	4.180657386779785
16-22	16	22	3.9027740955352783
16-23	16	23	4.754451274871826
16-24	16	24	4.557455062866211
16-25	16	25	4.340855121612549
16-26	16	26	5.127279281616211
16-27	16	27	4.563078880310059
16-28	16	28	3.956406593322754
16-29	16	29	2.7444839477539062
16-30	16	30	5.390396595001221
17-0	17	0	5.395717620849609
17-1	17	1	5.371357440948486
17-2	17	2	4.220181465148926
17-3	17	3	3.761719226837158
17-4	17	4	3.6012911796569824
17-5	17	5	2.804086923599243
17-6	17	6	4.199089527130127
17-7	17	7	3.7768731117248535
17-8	17	8	3.861103057861328
17-9	17	9	3.4597387313842773
17-10	17	10	4.27462911605835
17-11	17	11	3.1006367206573486
17-12	17	12	3.0873286724090576
17-13	17	13	4.315459728240967
17-14	17	14	3.343048095703125
17-15	17	15	5.028392314910889
17-16	17	16	4.202178001403809
17-17	17	17	1.884297251701355
17-18	17	18	2.94588041305542
17-19	17	19	5.309329032897949
17-20	17	20	3.1728873252868652
17-21	17	21	4.097095489501953
17-22	17	22	5.838061809539795
17-23	17	23	3.267699718475342
17-24	17	24	3.1341781616210938
17-25	17	25	3.3004112243652344
17-26	17	26	5.197831630706787
17-27	17	27	3.4587695598602295
17-28	17	28	2.4134793281555176
17-29	17	29	3.7137908935546875
17-30	17	30	4.192044734954834
18-0	18	0	4.996151447296143
18-1	18	1	4.5395402908325195
18-2	18	2	5.833185195922852
18-3	18	3	4.338513374328613
18-4	18	4	3.954080104827881
18-5	18	5	4.2203850746154785
18-6	18	6	4.110753059387207
18-7	18	7	4.534330368041992
18-8	18	8	3.5259835720062256
18-9	18	9	4.095422744750977
18-10	18	10	2.9022858142852783
18-11	18	11	3.169591188430786
18-12	18	12	4.349325180053711
18-13	18	13	3.2799923419952393
18-14	18	14	2.691664695739746
18-15	18	15	3.0044562816619873
18-16	18	16	3.3518271446228027
18-17	18	17	3.3461756706237793
18-18	18	18	3.368394374847412
18-19	18	19	4.755920886993408
18-20	18	20	5.098958969116211
18-21	18	21	4.354960918426514
18-22	18	22	2.4100375175476074
18-23	18	23	2.673661947250366
18-24	18	24	4.969472408294678
18-25	18	25	3.675168514251709
18-26	18	26	2.3538689613342285
18-27	18	27	3.507974863052368
18-28	18	28	3.8085732460021973
18-29	18	29	2.8387558460235596
18-30	18	30	3.938133955001831
19-0	19	0	3.59130597114563
19-1	19	1	2.8905205726623535
19-2	19	2	4.200531482696533
19-3	19	3	3.7418744564056396
19-4	19	4	4.2727251052856445
19-5	19	5	3.9476447105407715
19-6	19	6	3.540421962738037
19-7	19	7	3.644357681274414
19-8	19	8	4.044576644897461
19-9	19	9	4.446915626525879
19-10	19	10	5.556969165802002
19-11	19	11	2.66229248046875
19-12	19	12	3.713623046875
19-13	19	13	3.8080551624298096
19-14	19	14	4.050455093383789
19-15	19	15	3.886183738708496
19-16	19	16	3.4360625743865967
19-17	19	17	4.154592514038086
19-18	19	18	2.635364055633545
19-19	19	19	3.4329867362976074
19-20	19	20	3.243370532989502
19-21	19	21	4.9601030349731445
19-22	19	22	3.427107334136963
19-23	19	23	4.227684020996094
19-24	19	24	3.4420883655548096
19-25	19	25	3.842214584350586
19-26	19	26	3.0505497455596924
19-27	19	27	3.363941192626953
19-28	19	28	4.251194477081299
19-29	19	29	3.492640733718872
19-30	19	30	3.2618112564086914
20-0	20	0	3.1498818397521973
20-1	20	1	5.169930458068848
20-2	20	2	3.553682327270508
20-3	20	3	3.4414706230163574
20-4	20	4	3.1929807662963867
20-5	20	5	3.9937188625335693
