index	epoch	batch	loss
0-0	0	0	0.4036039412021637
0-1	0	1	0.711163341999054
0-2	0	2	0.6621420979499817
0-3	0	3	0.41217881441116333
0-4	0	4	0.2075936198234558
0-5	0	5	0.551791787147522
0-6	0	6	0.42185530066490173
0-7	0	7	0.5801222920417786
0-8	0	8	0.5871623754501343
0-9	0	9	0.3699207007884979
0-10	0	10	0.6042962074279785
0-11	0	11	0.4984232783317566
0-12	0	12	0.6479138731956482
0-13	0	13	0.49371337890625
0-14	0	14	0.47748467326164246
0-15	0	15	0.3474466800689697
0-16	0	16	0.5183114409446716
0-17	0	17	0.7487515211105347
0-18	0	18	0.45348411798477173
0-19	0	19	0.7816470861434937
0-20	0	20	0.5213607549667358
0-21	0	21	0.7114790081977844
0-22	0	22	0.4994046986103058
0-23	0	23	0.6178590059280396
0-24	0	24	0.559614360332489
0-25	0	25	0.20431944727897644
0-26	0	26	0.4152415096759796
0-27	0	27	0.5516050457954407
0-28	0	28	0.45958465337753296
0-29	0	29	0.6742887496948242
0-30	0	30	0.38342568278312683
1-0	1	0	0.8495968580245972
1-1	1	1	0.6557486057281494
1-2	1	2	0.5708739757537842
1-3	1	3	0.4418076276779175
1-4	1	4	0.4017151892185211
1-5	1	5	0.5808895230293274
1-6	1	6	0.5915106534957886
1-7	1	7	0.44812291860580444
1-8	1	8	0.39309361577033997
1-9	1	9	0.4508359432220459
1-10	1	10	0.592100977897644
1-11	1	11	0.550528347492218
1-12	1	12	0.42392703890800476
1-13	1	13	0.6758043766021729
1-14	1	14	0.30135026574134827
1-15	1	15	0.7120833992958069
1-16	1	16	0.6298584342002869
1-17	1	17	0.6776638031005859
1-18	1	18	0.40343204140663147
1-19	1	19	0.54273521900177
1-20	1	20	0.3120238184928894
1-21	1	21	0.6972296237945557
1-22	1	22	0.4402671456336975
1-23	1	23	0.44385695457458496
1-24	1	24	0.2502964437007904
1-25	1	25	0.6041067242622375
1-26	1	26	0.2655447721481323
1-27	1	27	0.29009029269218445
1-28	1	28	0.4948224127292633
1-29	1	29	0.8333295583724976
1-30	1	30	0.5893558859825134
2-0	2	0	0.6521326303482056
2-1	2	1	0.6067891120910645
2-2	2	2	0.756096601486206
2-3	2	3	0.6269037127494812
2-4	2	4	0.6067280769348145
2-5	2	5	0.38851508498191833
2-6	2	6	0.4007897973060608
2-7	2	7	0.688094973564148
2-8	2	8	0.7213072180747986
2-9	2	9	0.4582536220550537
2-10	2	10	0.8557751178741455
2-11	2	11	0.3553425371646881
2-12	2	12	0.31067490577697754
2-13	2	13	0.48960283398628235
2-14	2	14	0.47000497579574585
2-15	2	15	0.43430110812187195
2-16	2	16	0.3769915997982025
2-17	2	17	0.4176313579082489
2-18	2	18	0.2676194906234741
2-19	2	19	0.32696041464805603
2-20	2	20	0.44077417254447937
2-21	2	21	0.3390902876853943
2-22	2	22	0.5562080144882202
2-23	2	23	0.7614219784736633
2-24	2	24	0.36381691694259644
2-25	2	25	0.3813556432723999
2-26	2	26	0.3423987627029419
2-27	2	27	0.47878897190093994
2-28	2	28	0.735230565071106
2-29	2	29	0.6925655603408813
2-30	2	30	0.8730318546295166
3-0	3	0	0.4965067505836487
3-1	3	1	0.6785526275634766
3-2	3	2	0.6602110862731934
3-3	3	3	0.5316193699836731
3-4	3	4	0.3304957151412964
3-5	3	5	0.7682471871376038
3-6	3	6	0.7887090444564819
3-7	3	7	0.31693729758262634
3-8	3	8	0.5093486905097961
3-9	3	9	0.4096487760543823
3-10	3	10	0.4873577356338501
3-11	3	11	0.3841368854045868
3-12	3	12	0.4511859118938446
3-13	3	13	0.6524211764335632
3-14	3	14	0.27373233437538147
3-15	3	15	0.6405150890350342
3-16	3	16	0.5681703686714172
3-17	3	17	0.3999972343444824
3-18	3	18	0.2490270733833313
3-19	3	19	0.5692504644393921
3-20	3	20	0.4829346537590027
3-21	3	21	0.45605233311653137
3-22	3	22	0.45587143301963806
3-23	3	23	0.6536238193511963
3-24	3	24	0.6790040135383606
3-25	3	25	0.7497211694717407
3-26	3	26	0.4672827422618866
3-27	3	27	0.5445977449417114
3-28	3	28	0.283525675535202
3-29	3	29	0.4079604744911194
3-30	3	30	0.7697082757949829
4-0	4	0	0.49986863136291504
4-1	4	1	0.6167201995849609
4-2	4	2	0.3907459080219269
4-3	4	3	0.6698490977287292
4-4	4	4	0.4010290801525116
4-5	4	5	0.8177461624145508
4-6	4	6	0.2477567344903946
4-7	4	7	0.6819650530815125
4-8	4	8	0.6025339365005493
4-9	4	9	0.5633783340454102
4-10	4	10	0.37174564599990845
4-11	4	11	0.5410631895065308
4-12	4	12	0.5205552577972412
4-13	4	13	0.3316965699195862
4-14	4	14	0.7189984321594238
4-15	4	15	0.38616546988487244
4-16	4	16	0.5216270685195923
4-17	4	17	0.3734787404537201
4-18	4	18	0.5630545616149902
4-19	4	19	0.5693453550338745
4-20	4	20	0.5055298805236816
4-21	4	21	0.6000016331672668
4-22	4	22	0.4634495675563812
4-23	4	23	0.6622793078422546
4-24	4	24	0.5025814175605774
4-25	4	25	0.5905181169509888
4-26	4	26	0.5020140409469604
4-27	4	27	0.5609104037284851
4-28	4	28	0.3949465751647949
4-29	4	29	0.3615679442882538
4-30	4	30	0.4562758207321167
5-0	5	0	0.49321070313453674
5-1	5	1	0.18805335462093353
5-2	5	2	0.3981226682662964
5-3	5	3	0.6944090723991394
5-4	5	4	0.59807950258255
5-5	5	5	0.6406908631324768
