index	epoch	batch	loss
0-0	0	0	0.2097601741552353
0-1	0	1	0.19671422243118286
0-2	0	2	0.37668389081954956
0-3	0	3	0.3177054524421692
0-4	0	4	0.41143661737442017
0-5	0	5	0.48774582147598267
0-6	0	6	0.25818994641304016
0-7	0	7	0.37202808260917664
0-8	0	8	0.2917991876602173
0-9	0	9	0.39483025670051575
0-10	0	10	0.3273167610168457
0-11	0	11	0.2566966414451599
0-12	0	12	0.2536659240722656
0-13	0	13	0.5124548673629761
0-14	0	14	0.5018326640129089
0-15	0	15	0.6206086874008179
0-16	0	16	0.4463624656200409
0-17	0	17	0.3993312120437622
0-18	0	18	0.19162051379680634
0-19	0	19	0.4045608937740326
0-20	0	20	0.1950216293334961
0-21	0	21	0.22847667336463928
0-22	0	22	0.4316539764404297
0-23	0	23	0.1879284381866455
0-24	0	24	0.42982661724090576
0-25	0	25	0.48755738139152527
0-26	0	26	0.559951901435852
0-27	0	27	0.31229168176651
0-28	0	28	0.062104832381010056
0-29	0	29	0.39011234045028687
0-30	0	30	0.39746174216270447
0-31	0	31	0.32631728053092957
0-32	0	32	0.2931961417198181
0-33	0	33	0.28465715050697327
0-34	0	34	0.2860278785228729
0-35	0	35	0.3271198272705078
0-36	0	36	0.24336394667625427
0-37	0	37	0.24503067135810852
0-38	0	38	0.1287170648574829
0-39	0	39	0.28988757729530334
0-40	0	40	0.30673497915267944
0-41	0	41	0.5006229877471924
0-42	0	42	0.20092900097370148
0-43	0	43	0.43101194500923157
0-44	0	44	0.5722578763961792
0-45	0	45	0.19766485691070557
0-46	0	46	0.5125908255577087
0-47	0	47	0.3200460970401764
0-48	0	48	0.3526219129562378
0-49	0	49	0.5497297644615173
0-50	0	50	0.32368505001068115
0-51	0	51	0.2717445492744446
0-52	0	52	0.5100728869438171
0-53	0	53	0.25601908564567566
0-54	0	54	0.1345122903585434
0-55	0	55	0.31202420592308044
0-56	0	56	0.3354313373565674
0-57	0	57	0.0699930414557457
0-58	0	58	0.19474691152572632
0-59	0	59	0.27815595269203186
0-60	0	60	0.27504050731658936
0-61	0	61	0.0045708524994552135
1-0	1	0	0.4421810507774353
1-1	1	1	0.1759890466928482
1-2	1	2	0.3691438138484955
1-3	1	3	0.21788369119167328
1-4	1	4	0.1715969443321228
1-5	1	5	0.3606985807418823
1-6	1	6	0.34746235609054565
1-7	1	7	0.21751323342323303
1-8	1	8	0.27968963980674744
1-9	1	9	0.37275058031082153
1-10	1	10	0.45191895961761475
1-11	1	11	0.37884217500686646
1-12	1	12	0.6409761905670166
1-13	1	13	0.3574422299861908
1-14	1	14	0.16135504841804504
1-15	1	15	0.4975338578224182
1-16	1	16	0.43376848101615906
1-17	1	17	0.21033146977424622
1-18	1	18	0.3600850999355316
1-19	1	19	0.09060484915971756
1-20	1	20	0.23725813627243042
1-21	1	21	0.13617843389511108
1-22	1	22	0.501467227935791
1-23	1	23	0.537225604057312
1-24	1	24	0.3440920114517212
1-25	1	25	0.18672673404216766
1-26	1	26	0.2973727285861969
1-27	1	27	0.3876231610774994
1-28	1	28	0.20306463539600372
1-29	1	29	0.31253159046173096
1-30	1	30	0.621906578540802
1-31	1	31	0.24037867784500122
1-32	1	32	0.20999880135059357
1-33	1	33	0.4147692620754242
1-34	1	34	0.3509373366832733
1-35	1	35	0.26782363653182983
1-36	1	36	0.27113908529281616
1-37	1	37	0.12993879616260529
1-38	1	38	0.3087179660797119
1-39	1	39	0.43153059482574463
1-40	1	40	0.0845615565776825
1-41	1	41	0.1967589557170868
1-42	1	42	0.23198261857032776
1-43	1	43	0.3175992965698242
1-44	1	44	0.47899946570396423
1-45	1	45	0.2501494884490967
1-46	1	46	0.3315402865409851
1-47	1	47	0.2210521697998047
1-48	1	48	0.41057902574539185
1-49	1	49	0.26123517751693726
1-50	1	50	0.49555832147598267
1-51	1	51	0.293326735496521
1-52	1	52	0.5773752331733704
1-53	1	53	0.24064959585666656
1-54	1	54	0.34500283002853394
1-55	1	55	0.15526534616947174
1-56	1	56	0.5662080645561218
1-57	1	57	0.31399646401405334
1-58	1	58	0.5205973386764526
1-59	1	59	0.4949803948402405
1-60	1	60	0.19611458480358124
1-61	1	61	0.11589311808347702
2-0	2	0	0.4375801682472229
2-1	2	1	0.19308510422706604
2-2	2	2	0.24585790932178497
2-3	2	3	0.19229377806186676
2-4	2	4	0.08298884332180023
2-5	2	5	0.2586018741130829
2-6	2	6	0.3744375705718994
2-7	2	7	0.23811280727386475
2-8	2	8	0.4584157466888428
2-9	2	9	0.2916399836540222
2-10	2	10	0.3076438009738922
2-11	2	11	0.2123381495475769
2-12	2	12	0.2049834132194519
2-13	2	13	0.4195583462715149
2-14	2	14	0.4399431645870209
2-15	2	15	0.3777620196342468
2-16	2	16	0.19092285633087158
2-17	2	17	0.41674408316612244
2-18	2	18	0.3301565945148468
2-19	2	19	0.26921963691711426
2-20	2	20	0.5041229128837585
2-21	2	21	0.4765957295894623
2-22	2	22	0.45641791820526123
2-23	2	23	0.43436989188194275
2-24	2	24	0.19675147533416748
2-25	2	25	0.2504889667034149
2-26	2	26	0.28765666484832764
2-27	2	27	0.3493899703025818
2-28	2	28	0.3856908977031708
2-29	2	29	0.42542991042137146
2-30	2	30	0.40327703952789307
2-31	2	31	0.20900525152683258
2-32	2	32	0.32976698875427246
2-33	2	33	0.3150029182434082
2-34	2	34	0.2510465681552887
2-35	2	35	0.48196810483932495
2-36	2	36	0.38052719831466675
2-37	2	37	0.42021700739860535
2-38	2	38	0.3643205761909485
2-39	2	39	0.48440036177635193
2-40	2	40	0.3347284197807312
2-41	2	41	0.38642364740371704
2-42	2	42	0.1859351396560669
2-43	2	43	0.36801308393478394
2-44	2	44	0.23050113022327423
2-45	2	45	0.24872452020645142
2-46	2	46	0.5253745913505554
2-47	2	47	0.43095430731773376
2-48	2	48	0.23044675588607788
2-49	2	49	0.25990965962409973
2-50	2	50	0.24939538538455963
2-51	2	51	0.39482957124710083
2-52	2	52	0.4422283172607422
2-53	2	53	0.19144964218139648
2-54	2	54	0.2551807165145874
2-55	2	55	0.41618531942367554
2-56	2	56	0.09550553560256958
2-57	2	57	0.33881500363349915
2-58	2	58	0.2499588131904602
2-59	2	59	0.16305123269557953
2-60	2	60	0.12547846138477325
2-61	2	61	0.4498421549797058
3-0	3	0	0.23873980343341827
3-1	3	1	0.501185417175293
3-2	3	2	0.19620005786418915
3-3	3	3	0.36539024114608765
3-4	3	4	0.5506254434585571
3-5	3	5	0.023974869400262833
3-6	3	6	0.2562921345233917
3-7	3	7	0.25666913390159607
3-8	3	8	0.2667832672595978
3-9	3	9	0.5738505125045776
3-10	3	10	0.16977070271968842
3-11	3	11	0.26454612612724304
3-12	3	12	0.18924598395824432
3-13	3	13	0.6725943088531494
3-14	3	14	0.13045215606689453
3-15	3	15	0.28258267045021057
3-16	3	16	0.24099014699459076
3-17	3	17	0.2111072540283203
3-18	3	18	0.2363959550857544
3-19	3	19	0.36174967885017395
3-20	3	20	0.20802664756774902
3-21	3	21	0.42113617062568665
3-22	3	22	0.2566941976547241
3-23	3	23	0.294328510761261
3-24	3	24	0.5133838057518005
3-25	3	25	0.13302555680274963
3-26	3	26	0.27633020281791687
3-27	3	27	0.17669200897216797
3-28	3	28	0.29672884941101074
3-29	3	29	0.6864044070243835
3-30	3	30	0.1944548636674881
3-31	3	31	0.5953992009162903
3-32	3	32	0.22724591195583344
3-33	3	33	0.383100688457489
3-34	3	34	0.3465707302093506
3-35	3	35	0.4157213568687439
3-36	3	36	0.3175560235977173
3-37	3	37	0.19144074618816376
3-38	3	38	0.5445523262023926
3-39	3	39	0.1354493647813797
3-40	3	40	0.24079632759094238
3-41	3	41	0.3909808397293091
3-42	3	42	0.2027393877506256
3-43	3	43	0.31958848237991333
3-44	3	44	0.41807088255882263
3-45	3	45	0.2380136102437973
3-46	3	46	0.37258195877075195
3-47	3	47	0.5067123770713806
3-48	3	48	0.4692341685295105
3-49	3	49	0.6150097846984863
3-50	3	50	0.29083940386772156
3-51	3	51	0.3563404381275177
3-52	3	52	0.06818459182977676
3-53	3	53	0.2354559600353241
3-54	3	54	0.4380151927471161
3-55	3	55	0.152568519115448
3-56	3	56	0.30929747223854065
3-57	3	57	0.13777761161327362
3-58	3	58	0.100853830575943
3-59	3	59	0.5033438801765442
3-60	3	60	0.3022650480270386
3-61	3	61	0.16275164484977722
4-0	4	0	0.1442147195339203
4-1	4	1	0.2298509180545807
4-2	4	2	0.28167515993118286
4-3	4	3	0.36917638778686523
4-4	4	4	0.30298078060150146
4-5	4	5	0.4339108467102051
4-6	4	6	0.24009445309638977
4-7	4	7	0.19392485916614532
4-8	4	8	0.38588014245033264
4-9	4	9	0.2511308193206787
4-10	4	10	0.25716230273246765
4-11	4	11	0.3415423631668091
4-12	4	12	0.22918453812599182
4-13	4	13	0.5043010711669922
4-14	4	14	0.6846606731414795
4-15	4	15	0.4401611089706421
4-16	4	16	0.3149729371070862
4-17	4	17	0.2768155336380005
4-18	4	18	0.3000141382217407
4-19	4	19	0.2833068370819092
4-20	4	20	0.307921439409256
4-21	4	21	0.43421727418899536
4-22	4	22	0.3626544773578644
4-23	4	23	0.4806063771247864
4-24	4	24	0.09190733730792999
4-25	4	25	0.3222939372062683
4-26	4	26	0.1948678195476532
4-27	4	27	0.3466336727142334
4-28	4	28	0.31626096367836
4-29	4	29	0.30825433135032654
4-30	4	30	0.25505051016807556
4-31	4	31	0.4208877682685852
4-32	4	32	0.32411810755729675
4-33	4	33	0.5070903897285461
4-34	4	34	0.40000420808792114
4-35	4	35	0.228726327419281
4-36	4	36	0.3109596371650696
4-37	4	37	0.34523725509643555
4-38	4	38	0.23290897905826569
4-39	4	39	0.4474385976791382
4-40	4	40	0.3478003740310669
4-41	4	41	0.3144368529319763
4-42	4	42	0.3305026590824127
4-43	4	43	0.10178489238023758
4-44	4	44	0.29576748609542847
4-45	4	45	0.19670361280441284
4-46	4	46	0.13208045065402985
4-47	4	47	0.2845996618270874
4-48	4	48	0.13795115053653717
4-49	4	49	0.3930467367172241
4-50	4	50	0.4670424163341522
4-51	4	51	0.30489906668663025
4-52	4	52	0.38025620579719543
4-53	4	53	0.08844812959432602
4-54	4	54	0.16288292407989502
4-55	4	55	0.25594669580459595
4-56	4	56	0.29890528321266174
4-57	4	57	0.22139103710651398
4-58	4	58	0.1918676197528839
4-59	4	59	0.47252157330513
4-60	4	60	0.3826817274093628
4-61	4	61	0.3805423378944397
5-0	5	0	0.44709649682044983
5-1	5	1	0.193794384598732
5-2	5	2	0.42856913805007935
5-3	5	3	0.5172510147094727
5-4	5	4	0.29654258489608765
5-5	5	5	0.07189600169658661
5-6	5	6	0.25785085558891296
5-7	5	7	0.5017932653427124
5-8	5	8	0.059115875512361526
5-9	5	9	0.15837082266807556
5-10	5	10	0.4028638005256653
5-11	5	11	0.444904625415802
5-12	5	12	0.1960330307483673
5-13	5	13	0.34109026193618774
5-14	5	14	0.3620398938655853
5-15	5	15	0.23347389698028564
5-16	5	16	0.43735331296920776
5-17	5	17	0.24819397926330566
5-18	5	18	0.5201960206031799
5-19	5	19	0.37285301089286804
5-20	5	20	0.25531259179115295
5-21	5	21	0.528139054775238
5-22	5	22	0.40802091360092163
5-23	5	23	0.17212805151939392
5-24	5	24	0.16919323801994324
5-25	5	25	0.3844453692436218
5-26	5	26	0.25299304723739624
5-27	5	27	0.25890052318573
5-28	5	28	0.5676928162574768
5-29	5	29	0.2502191662788391
5-30	5	30	0.25207751989364624
5-31	5	31	0.3347714841365814
5-32	5	32	0.20183411240577698
5-33	5	33	0.5539554953575134
5-34	5	34	0.3974596858024597
5-35	5	35	0.22238977253437042
5-36	5	36	0.4231138825416565
5-37	5	37	0.22909942269325256
5-38	5	38	0.2842109501361847
5-39	5	39	0.18396450579166412
5-40	5	40	0.5705901980400085
5-41	5	41	0.2963256537914276
5-42	5	42	0.13902460038661957
5-43	5	43	0.19130221009254456
5-44	5	44	0.31700241565704346
5-45	5	45	0.20114634931087494
5-46	5	46	0.4111907184123993
5-47	5	47	0.3551308214664459
5-48	5	48	0.24600452184677124
5-49	5	49	0.26960593461990356
5-50	5	50	0.3852556347846985
5-51	5	51	0.17865541577339172
5-52	5	52	0.16561517119407654
5-53	5	53	0.3499941825866699
5-54	5	54	0.20399807393550873
5-55	5	55	0.19565771520137787
5-56	5	56	0.0758885070681572
5-57	5	57	0.2257920801639557
5-58	5	58	0.47308778762817383
5-59	5	59	0.37110450863838196
5-60	5	60	0.16954034566879272
5-61	5	61	0.21747559309005737
6-0	6	0	0.30427616834640503
6-1	6	1	0.18515685200691223
6-2	6	2	0.2559109628200531
6-3	6	3	0.10110689699649811
6-4	6	4	0.520878255367279
6-5	6	5	0.3854421377182007
6-6	6	6	0.47846660017967224
6-7	6	7	0.41216346621513367
6-8	6	8	0.2515830993652344
6-9	6	9	0.36743101477622986
6-10	6	10	0.42836740612983704
6-11	6	11	0.37573426961898804
6-12	6	12	0.40621593594551086
6-13	6	13	0.1740378439426422
6-14	6	14	0.616759181022644
6-15	6	15	0.1874803602695465
6-16	6	16	0.4547732174396515
