index	epoch	batch	loss
0-0	0	0	51.86503219604492
0-1	0	1	43.46109390258789
0-2	0	2	55.74455642700195
0-3	0	3	26.912155151367188
0-4	0	4	15.520769119262695
0-5	0	5	28.44926643371582
0-6	0	6	34.146949768066406
0-7	0	7	18.84966468811035
0-8	0	8	30.21319580078125
0-9	0	9	20.058292388916016
0-10	0	10	18.2797794342041
0-11	0	11	17.338733673095703
0-12	0	12	17.02541160583496
0-13	0	13	15.017692565917969
0-14	0	14	10.681880950927734
0-15	0	15	18.651975631713867
0-16	0	16	14.745672225952148
0-17	0	17	13.00236701965332
0-18	0	18	8.090337753295898
0-19	0	19	11.440826416015625
0-20	0	20	13.31539535522461
0-21	0	21	11.08798599243164
0-22	0	22	11.015966415405273
0-23	0	23	14.081050872802734
0-24	0	24	6.990428447723389
0-25	0	25	2.9624879360198975
0-26	0	26	21.613801956176758
0-27	0	27	10.594009399414062
0-28	0	28	4.561429977416992
0-29	0	29	9.031527519226074
0-30	0	30	5.291027545928955
1-0	1	0	9.133209228515625
1-1	1	1	8.682563781738281
1-2	1	2	8.548023223876953
1-3	1	3	12.24703598022461
1-4	1	4	9.213325500488281
1-5	1	5	6.857736587524414
1-6	1	6	9.824333190917969
1-7	1	7	6.126757621765137
1-8	1	8	5.67802619934082
1-9	1	9	9.018795013427734
1-10	1	10	5.626711845397949
1-11	1	11	8.846269607543945
1-12	1	12	4.980343818664551
1-13	1	13	6.568030834197998
1-14	1	14	4.019303321838379
1-15	1	15	8.52402114868164
1-16	1	16	5.417657852172852
1-17	1	17	5.345307350158691
1-18	1	18	3.2072718143463135
1-19	1	19	5.193481922149658
1-20	1	20	5.84462833404541
1-21	1	21	9.710440635681152
1-22	1	22	4.926412105560303
1-23	1	23	8.009090423583984
1-24	1	24	7.937261581420898
1-25	1	25	6.151280403137207
1-26	1	26	11.729180335998535
1-27	1	27	6.085803985595703
1-28	1	28	4.025619029998779
1-29	1	29	9.049083709716797
1-30	1	30	3.751908779144287
2-0	2	0	6.689424514770508
2-1	2	1	5.924581050872803
2-2	2	2	4.232678413391113
2-3	2	3	5.6883463859558105
2-4	2	4	5.425995349884033
2-5	2	5	7.567566871643066
2-6	2	6	3.901170015335083
2-7	2	7	3.921998977661133
2-8	2	8	7.173957824707031
2-9	2	9	4.993051052093506
2-10	2	10	5.287252902984619
2-11	2	11	5.1559600830078125
2-12	2	12	7.2872114181518555
2-13	2	13	3.9664065837860107
2-14	2	14	5.638631343841553
2-15	2	15	4.831856727600098
2-16	2	16	3.8456809520721436
2-17	2	17	4.563724517822266
2-18	2	18	5.271213531494141
2-19	2	19	4.774111747741699
2-20	2	20	3.9529032707214355
2-21	2	21	4.463534832000732
2-22	2	22	3.434068202972412
2-23	2	23	5.520131587982178
2-24	2	24	4.998885631561279
2-25	2	25	4.983693599700928
2-26	2	26	6.300112724304199
2-27	2	27	4.464332103729248
2-28	2	28	4.885201454162598
2-29	2	29	5.057808876037598
2-30	2	30	4.068519115447998
3-0	3	0	5.492688179016113
3-1	3	1	4.037286758422852
3-2	3	2	3.7589738368988037
3-3	3	3	3.820561170578003
3-4	3	4	3.618407726287842
3-5	3	5	4.447426795959473
3-6	3	6	5.1510796546936035
3-7	3	7	4.265699863433838
3-8	3	8	5.989019870758057
3-9	3	9	4.284934997558594
3-10	3	10	4.459226131439209
3-11	3	11	5.295410633087158
3-12	3	12	4.196268558502197
3-13	3	13	3.3941195011138916
3-14	3	14	4.5762763023376465
3-15	3	15	3.1368536949157715
3-16	3	16	4.929218292236328
3-17	3	17	3.766774892807007
3-18	3	18	5.992371082305908
3-19	3	19	4.7396321296691895
3-20	3	20	4.057833671569824
3-21	3	21	3.697648525238037
3-22	3	22	3.9243345260620117
3-23	3	23	4.225983142852783
3-24	3	24	5.525296211242676
3-25	3	25	5.280819892883301
3-26	3	26	4.964622497558594
3-27	3	27	3.717926263809204
3-28	3	28	4.3584885597229
3-29	3	29	4.731446266174316
3-30	3	30	4.068461894989014
4-0	4	0	5.069873809814453
4-1	4	1	3.677757740020752
4-2	4	2	3.374238967895508
4-3	4	3	4.106638431549072
4-4	4	4	3.9483132362365723
4-5	4	5	5.230830669403076
4-6	4	6	4.430310249328613
4-7	4	7	4.170079231262207
4-8	4	8	4.032133102416992
4-9	4	9	4.535097599029541
4-10	4	10	3.527024745941162
4-11	4	11	3.4550986289978027
4-12	4	12	4.001481533050537
4-13	4	13	3.103412628173828
4-14	4	14	3.8094534873962402
4-15	4	15	3.1817615032196045
4-16	4	16	2.7409133911132812
4-17	4	17	3.611673355102539
4-18	4	18	4.039254188537598
4-19	4	19	3.2567358016967773
4-20	4	20	4.424200057983398
4-21	4	21	4.117854595184326
4-22	4	22	5.476044654846191
4-23	4	23	3.4948368072509766
4-24	4	24	3.93241810798645
4-25	4	25	5.100104331970215
4-26	4	26	5.30010461807251
4-27	4	27	5.0296807289123535
4-28	4	28	4.189834117889404
4-29	4	29	4.956820964813232
4-30	4	30	4.627399921417236
5-0	5	0	3.6378726959228516
5-1	5	1	4.049761772155762
5-2	5	2	4.902528762817383
5-3	5	3	3.8587279319763184
5-4	5	4	4.774148941040039
5-5	5	5	4.751986980438232
5-6	5	6	4.191521644592285
5-7	5	7	4.4183149337768555
5-8	5	8	4.343623638153076
5-9	5	9	4.0964179039001465
5-10	5	10	4.318622589111328
5-11	5	11	4.198644638061523
5-12	5	12	4.750594615936279
5-13	5	13	4.0465850830078125
5-14	5	14	3.8339452743530273
5-15	5	15	2.54428768157959
5-16	5	16	3.7689871788024902
5-17	5	17	2.8186919689178467
5-18	5	18	3.9939379692077637
5-19	5	19	4.072513580322266
5-20	5	20	3.693516254425049
5-21	5	21	4.172744274139404
5-22	5	22	4.2951340675354
5-23	5	23	3.053922653198242
5-24	5	24	3.252023220062256
5-25	5	25	3.7464375495910645
5-26	5	26	2.841492176055908
5-27	5	27	4.728614330291748
5-28	5	28	3.6028249263763428
5-29	5	29	4.151744842529297
5-30	5	30	3.010943651199341
6-0	6	0	3.7570133209228516
6-1	6	1	3.857247829437256
6-2	6	2	3.5495598316192627
6-3	6	3	5.232439041137695
6-4	6	4	3.069765329360962
6-5	6	5	4.63236141204834
6-6	6	6	4.313971042633057
6-7	6	7	5.171194553375244
6-8	6	8	3.593862771987915
6-9	6	9	3.9853153228759766
6-10	6	10	2.9983394145965576
6-11	6	11	3.972285509109497
6-12	6	12	2.000281572341919
6-13	6	13	3.465634346008301
6-14	6	14	3.005204200744629
6-15	6	15	3.9607017040252686
6-16	6	16	3.0375423431396484
6-17	6	17	5.388404846191406
6-18	6	18	4.14842414855957
6-19	6	19	3.1552987098693848
6-20	6	20	4.164140224456787
6-21	6	21	4.704161643981934
6-22	6	22	3.4506115913391113
6-23	6	23	4.535647869110107
6-24	6	24	3.5592310428619385
6-25	6	25	2.936556339263916
6-26	6	26	4.266471862792969
6-27	6	27	4.165245056152344
6-28	6	28	3.265467643737793
6-29	6	29	3.007830858230591
6-30	6	30	3.9780678749084473
7-0	7	0	3.250974416732788
7-1	7	1	4.310110569000244
7-2	7	2	4.122806072235107
7-3	7	3	3.2143681049346924
7-4	7	4	2.689202308654785
7-5	7	5	3.7764482498168945
7-6	7	6	3.7514920234680176
7-7	7	7	3.29111647605896
7-8	7	8	3.8802151679992676
7-9	7	9	3.7693614959716797
7-10	7	10	4.100316047668457
7-11	7	11	5.174394130706787
7-12	7	12	3.5821542739868164
7-13	7	13	3.5624241828918457
7-14	7	14	3.584644317626953
7-15	7	15	3.649782657623291
7-16	7	16	3.4973676204681396
7-17	7	17	3.5711629390716553
7-18	7	18	3.791180372238159
7-19	7	19	3.25287127494812
7-20	7	20	4.401561260223389
7-21	7	21	4.3340020179748535
7-22	7	22	3.611114263534546
7-23	7	23	2.972097635269165
7-24	7	24	3.1770827770233154
7-25	7	25	3.4179582595825195
7-26	7	26	3.8535757064819336
7-27	7	27	3.394680976867676
7-28	7	28	4.092318058013916
7-29	7	29	3.470808267593384
7-30	7	30	4.89150857925415
8-0	8	0	3.6901469230651855
8-1	8	1	3.5624489784240723
8-2	8	2	2.8279800415039062
8-3	8	3	3.7630350589752197
8-4	8	4	3.7906928062438965
8-5	8	5	4.019909381866455
8-6	8	6	2.8305273056030273
8-7	8	7	4.188903331756592
8-8	8	8	3.6525492668151855
8-9	8	9	3.848505973815918
8-10	8	10	3.706892490386963
8-11	8	11	3.284290075302124
8-12	8	12	2.6720221042633057
8-13	8	13	4.355059623718262
8-14	8	14	3.6639225482940674
8-15	8	15	3.3388538360595703
8-16	8	16	3.813342332839966
8-17	8	17	2.5327749252319336
8-18	8	18	3.8925957679748535
8-19	8	19	3.3629517555236816
8-20	8	20	3.785435914993286
8-21	8	21	3.740950107574463
8-22	8	22	3.0536282062530518
8-23	8	23	4.2723283767700195
8-24	8	24	3.7302873134613037
8-25	8	25	3.6332192420959473
8-26	8	26	3.818532943725586
8-27	8	27	3.9767041206359863
8-28	8	28	4.206884384155273
8-29	8	29	4.490853309631348
8-30	8	30	2.5398292541503906
9-0	9	0	2.920851945877075
9-1	9	1	2.776200294494629
9-2	9	2	3.724069595336914
9-3	9	3	3.738173484802246
9-4	9	4	4.175365924835205
9-5	9	5	3.405791759490967
9-6	9	6	3.2990293502807617
9-7	9	7	3.836587429046631
9-8	9	8	3.8547651767730713
9-9	9	9	4.164285659790039
9-10	9	10	3.1579442024230957
9-11	9	11	3.1009156703948975
9-12	9	12	4.2402448654174805
9-13	9	13	4.032608985900879
9-14	9	14	3.3501386642456055
9-15	9	15	2.770359516143799
9-16	9	16	3.2324178218841553
9-17	9	17	2.794931650161743
9-18	9	18	4.236893177032471
9-19	9	19	3.2129437923431396
9-20	9	20	4.043138027191162
9-21	9	21	3.6520957946777344
9-22	9	22	3.979198694229126
9-23	9	23	2.436861515045166
9-24	9	24	3.0383124351501465
9-25	9	25	3.763913154602051
9-26	9	26	3.310206890106201
9-27	9	27	4.13931941986084
9-28	9	28	3.666435956954956
9-29	9	29	3.7020034790039062
9-30	9	30	3.9041290283203125
10-0	10	0	3.44340443611145
10-1	10	1	4.188077449798584
10-2	10	2	2.884073257446289
10-3	10	3	3.4569132328033447
10-4	10	4	3.762515068054199
10-5	10	5	3.224867343902588
10-6	10	6	3.5054898262023926
10-7	10	7	3.4988107681274414
10-8	10	8	3.6641056537628174
10-9	10	9	2.9530980587005615
10-10	10	10	3.61860728263855
10-11	10	11	3.902397394180298
10-12	10	12	3.4051272869110107
10-13	10	13	3.354580879211426
10-14	10	14	4.367199897766113
10-15	10	15	3.4636871814727783
10-16	10	16	3.1649208068847656
10-17	10	17	3.6592001914978027
10-18	10	18	1.9349403381347656
10-19	10	19	3.4160943031311035
10-20	10	20	2.662942409515381
10-21	10	21	4.32178258895874
10-22	10	22	3.7468974590301514
10-23	10	23	3.2828853130340576
10-24	10	24	3.407130002975464
10-25	10	25	4.045159339904785
10-26	10	26	3.8919870853424072
10-27	10	27	2.674555778503418
10-28	10	28	3.934342384338379
10-29	10	29	3.095266103744507
10-30	10	30	2.9121720790863037
11-0	11	0	3.433581590652466
11-1	11	1	3.959411382675171
11-2	11	2	3.869319438934326
11-3	11	3	2.6735053062438965
11-4	11	4	4.880973815917969
11-5	11	5	2.0506019592285156
11-6	11	6	3.2220702171325684
11-7	11	7	3.6205332279205322
11-8	11	8	3.8923051357269287
11-9	11	9	3.1313962936401367
11-10	11	10	4.321693420410156
11-11	11	11	3.30831241607666
11-12	11	12	3.1058521270751953
11-13	11	13	2.845921516418457
11-14	11	14	2.7883856296539307
11-15	11	15	3.80958890914917
11-16	11	16	2.6394786834716797
11-17	11	17	2.9568192958831787
11-18	11	18	3.159205913543701
11-19	11	19	2.872588634490967
11-20	11	20	3.218764305114746
11-21	11	21	3.091649055480957
11-22	11	22	3.5111711025238037
11-23	11	23	3.532395839691162
11-24	11	24	3.20568585395813
11-25	11	25	4.708068370819092
11-26	11	26	3.8488309383392334
11-27	11	27	3.010017156600952
11-28	11	28	3.306950807571411
11-29	11	29	3.545198917388916
11-30	11	30	3.1186554431915283
12-0	12	0	3.8668155670166016
12-1	12	1	2.865053176879883
12-2	12	2	3.5987210273742676
12-3	12	3	3.0907344818115234
12-4	12	4	3.8630330562591553
12-5	12	5	3.2736144065856934
12-6	12	6	2.927105188369751
12-7	12	7	3.4883124828338623
12-8	12	8	3.233665943145752
12-9	12	9	4.981381416320801
12-10	12	10	2.7541022300720215
12-11	12	11	3.3912320137023926
12-12	12	12	2.992565155029297
12-13	12	13	3.089975357055664
12-14	12	14	3.1156234741210938
12-15	12	15	4.087770462036133
12-16	12	16	2.0851900577545166
12-17	12	17	2.9059290885925293
12-18	12	18	3.5333986282348633
12-19	12	19	3.069276809692383
12-20	12	20	4.436978816986084
