index	epoch	batch	loss
0-0	0	0	168.87741088867188
0-1	0	1	110.05770111083984
0-2	0	2	64.77296447753906
0-3	0	3	64.82608032226562
0-4	0	4	80.80950164794922
0-5	0	5	71.5521011352539
0-6	0	6	67.9537353515625
0-7	0	7	52.12781524658203
0-8	0	8	45.72554016113281
0-9	0	9	27.754480361938477
0-10	0	10	36.695960998535156
0-11	0	11	63.80420684814453
0-12	0	12	37.55522155761719
0-13	0	13	30.339141845703125
0-14	0	14	18.151613235473633
0-15	0	15	21.439687728881836
0-16	0	16	36.73488235473633
0-17	0	17	28.777713775634766
0-18	0	18	36.75482940673828
0-19	0	19	36.302974700927734
0-20	0	20	19.25005531311035
0-21	0	21	20.524354934692383
0-22	0	22	21.31163787841797
0-23	0	23	25.010086059570312
0-24	0	24	8.622289657592773
0-25	0	25	22.841691970825195
0-26	0	26	7.736896514892578
0-27	0	27	12.534156799316406
0-28	0	28	13.405084609985352
0-29	0	29	6.8989763259887695
0-30	0	30	13.525219917297363
0-31	0	31	9.751638412475586
0-32	0	32	10.704368591308594
0-33	0	33	11.651369094848633
0-34	0	34	9.034814834594727
0-35	0	35	13.655147552490234
0-36	0	36	13.755548477172852
0-37	0	37	7.596128940582275
0-38	0	38	15.083806037902832
0-39	0	39	17.868139266967773
0-40	0	40	10.637395858764648
0-41	0	41	11.148107528686523
0-42	0	42	9.457097053527832
0-43	0	43	10.725942611694336
0-44	0	44	10.782297134399414
0-45	0	45	7.051598072052002
0-46	0	46	9.719096183776855
0-47	0	47	5.523281097412109
0-48	0	48	8.248297691345215
0-49	0	49	8.751514434814453
0-50	0	50	5.720351219177246
0-51	0	51	10.918864250183105
0-52	0	52	7.877403259277344
0-53	0	53	9.11774730682373
0-54	0	54	13.543150901794434
0-55	0	55	11.77460765838623
0-56	0	56	2.6090614795684814
0-57	0	57	7.278837203979492
0-58	0	58	5.334356784820557
0-59	0	59	8.479869842529297
0-60	0	60	7.206731796264648
0-61	0	61	7.6411261558532715
1-0	1	0	11.175153732299805
1-1	1	1	4.585456371307373
1-2	1	2	11.184274673461914
1-3	1	3	5.942488193511963
1-4	1	4	11.751708030700684
1-5	1	5	5.238046169281006
1-6	1	6	10.511346817016602
1-7	1	7	5.328993797302246
1-8	1	8	8.56959342956543
1-9	1	9	5.407224178314209
1-10	1	10	5.045669078826904
1-11	1	11	6.663102149963379
1-12	1	12	6.483153820037842
1-13	1	13	6.695481300354004
1-14	1	14	6.753307819366455
1-15	1	15	4.90241003036499
1-16	1	16	4.293694972991943
1-17	1	17	4.923736095428467
1-18	1	18	8.000288009643555
1-19	1	19	4.218626022338867
1-20	1	20	3.262834072113037
1-21	1	21	6.732560634613037
1-22	1	22	5.232667922973633
1-23	1	23	7.674471855163574
1-24	1	24	5.926064968109131
1-25	1	25	3.822225332260132
1-26	1	26	7.0024638175964355
1-27	1	27	3.6345901489257812
1-28	1	28	7.939956188201904
1-29	1	29	3.3528311252593994
1-30	1	30	4.615358829498291
1-31	1	31	6.477123737335205
1-32	1	32	7.814866542816162
1-33	1	33	4.740211486816406
1-34	1	34	4.51945161819458
1-35	1	35	6.977407932281494
1-36	1	36	3.049081325531006
1-37	1	37	4.047723293304443
1-38	1	38	3.967625617980957
1-39	1	39	6.425703525543213
1-40	1	40	2.8339810371398926
1-41	1	41	4.450770854949951
1-42	1	42	5.599135875701904
1-43	1	43	7.206897735595703
1-44	1	44	7.271468162536621
1-45	1	45	4.2361531257629395
1-46	1	46	5.0424113273620605
1-47	1	47	5.029132843017578
