index	epoch	batch	loss
0-0	0	0	0.1268477588891983
0-1	0	1	0.16164134442806244
0-2	0	2	0.09945352375507355
0-3	0	3	0.2575204372406006
0-4	0	4	0.07630994915962219
0-5	0	5	0.12836802005767822
0-6	0	6	0.2159898579120636
0-7	0	7	0.421331524848938
0-8	0	8	0.4346187710762024
0-9	0	9	0.24785266816616058
0-10	0	10	0.1293310672044754
0-11	0	11	0.20904508233070374
0-12	0	12	0.186609148979187
0-13	0	13	0.4006667137145996
0-14	0	14	0.07070428878068924
0-15	0	15	0.13900725543498993
0-16	0	16	0.2306731790304184
0-17	0	17	0.3583189845085144
0-18	0	18	0.5961567163467407
0-19	0	19	0.392413854598999
0-20	0	20	0.07593389600515366
0-21	0	21	0.11240050196647644
0-22	0	22	0.19443170726299286
0-23	0	23	0.15712034702301025
0-24	0	24	0.38430777192115784
0-25	0	25	0.35864314436912537
0-26	0	26	0.3869435489177704
0-27	0	27	0.19288915395736694
0-28	0	28	0.13772128522396088
0-29	0	29	0.3263872265815735
0-30	0	30	0.3332011103630066
1-0	1	0	0.2999267578125
1-1	1	1	0.3319425880908966
1-2	1	2	0.1920243203639984
1-3	1	3	0.12168438732624054
1-4	1	4	0.04810106381773949
1-5	1	5	0.22125472128391266
1-6	1	6	0.2679288685321808
1-7	1	7	0.40026694536209106
1-8	1	8	0.2821139991283417
1-9	1	9	0.12902221083641052
1-10	1	10	0.30730298161506653
1-11	1	11	0.1475561112165451
1-12	1	12	0.08662708103656769
1-13	1	13	0.14143982529640198
1-14	1	14	0.4257596433162689
1-15	1	15	0.39591825008392334
1-16	1	16	0.07049282640218735
1-17	1	17	0.273908793926239
1-18	1	18	0.1370403915643692
1-19	1	19	0.38048630952835083
1-20	1	20	0.39574700593948364
1-21	1	21	0.20412640273571014
1-22	1	22	0.26411566138267517
1-23	1	23	0.23993082344532013
1-24	1	24	0.07732228189706802
1-25	1	25	0.34131237864494324
1-26	1	26	0.2515413761138916
1-27	1	27	0.20021943747997284
1-28	1	28	0.12245263904333115
1-29	1	29	0.5183358192443848
1-30	1	30	0.0990372896194458
2-0	2	0	0.15353558957576752
2-1	2	1	0.48314404487609863
2-2	2	2	0.1782371997833252
2-3	2	3	0.20786498486995697
2-4	2	4	0.0749727264046669
2-5	2	5	0.17622010409832
2-6	2	6	0.27575287222862244
2-7	2	7	0.0681239441037178
2-8	2	8	0.2678813636302948
2-9	2	9	0.3795574903488159
2-10	2	10	0.5760793089866638
2-11	2	11	0.060063183307647705
2-12	2	12	0.11849228292703629
2-13	2	13	0.3425600826740265
2-14	2	14	0.2374163568019867
2-15	2	15	0.25168049335479736
2-16	2	16	0.1155836433172226
2-17	2	17	0.24607999622821808
2-18	2	18	0.38154661655426025
2-19	2	19	0.1878008097410202
2-20	2	20	0.284417986869812
2-21	2	21	0.4221431016921997
2-22	2	22	0.2547740340232849
2-23	2	23	0.259408175945282
2-24	2	24	0.20371755957603455
2-25	2	25	0.21924632787704468
2-26	2	26	0.31589236855506897
2-27	2	27	0.013463655486702919
2-28	2	28	0.15151314437389374
2-29	2	29	0.2709634006023407
2-30	2	30	0.09700069576501846
3-0	3	0	0.3031831383705139
3-1	3	1	0.31842151284217834
3-2	3	2	0.4613194167613983
3-3	3	3	0.1326206922531128
3-4	3	4	0.15336380898952484
3-5	3	5	0.4013344943523407
3-6	3	6	0.3517937660217285
3-7	3	7	0.36687326431274414
3-8	3	8	0.1774248331785202
3-9	3	9	0.2598443925380707
3-10	3	10	0.1478475034236908
3-11	3	11	0.17872963845729828
3-12	3	12	0.254488468170166
3-13	3	13	0.08117979764938354
3-14	3	14	0.20889943838119507
3-15	3	15	0.29320383071899414
3-16	3	16	0.2596137821674347
3-17	3	17	0.07359139621257782
3-18	3	18	0.22192053496837616
