index	epoch	batch	loss
0-0	0	0	0.48833006620407104
0-1	0	1	0.6915575265884399
0-2	0	2	0.21185554563999176
0-3	0	3	0.2926509380340576
0-4	0	4	0.6208526492118835
0-5	0	5	0.7101874947547913
0-6	0	6	0.46949344873428345
0-7	0	7	0.572134256362915
0-8	0	8	0.5095120072364807
0-9	0	9	0.32196348905563354
0-10	0	10	0.49111664295196533
0-11	0	11	0.2193484604358673
0-12	0	12	0.46961939334869385
0-13	0	13	0.4728669822216034
0-14	0	14	0.18218185007572174
0-15	0	15	0.7334266304969788
0-16	0	16	0.39476490020751953
0-17	0	17	0.7355285882949829
0-18	0	18	0.28249675035476685
0-19	0	19	0.2577771544456482
0-20	0	20	0.49561607837677
0-21	0	21	0.5845091938972473
0-22	0	22	0.26283594965934753
0-23	0	23	0.6498238444328308
0-24	0	24	0.5257561206817627
0-25	0	25	0.32895970344543457
0-26	0	26	0.29424288868904114
0-27	0	27	0.7373666763305664
0-28	0	28	0.30401766300201416
0-29	0	29	0.487455278635025
0-30	0	30	0.20266692340373993
0-31	0	31	0.4001115560531616
0-32	0	32	0.33847445249557495
0-33	0	33	0.31717002391815186
0-34	0	34	0.3645171523094177
0-35	0	35	0.2621341347694397
0-36	0	36	0.5160857439041138
0-37	0	37	0.34936386346817017
0-38	0	38	0.42911297082901
0-39	0	39	0.8491735458374023
0-40	0	40	0.23495769500732422
0-41	0	41	0.30913472175598145
0-42	0	42	0.39835771918296814
0-43	0	43	0.4212639331817627
0-44	0	44	0.3335225582122803
0-45	0	45	0.5665971040725708
0-46	0	46	0.5029998421669006
0-47	0	47	0.24580378830432892
0-48	0	48	0.3846181631088257
0-49	0	49	0.21357795596122742
0-50	0	50	0.4535103142261505
0-51	0	51	0.43761923909187317
0-52	0	52	0.33577197790145874
0-53	0	53	0.48193228244781494
0-54	0	54	0.43984341621398926
0-55	0	55	0.464434415102005
0-56	0	56	0.23772764205932617
0-57	0	57	0.43239253759384155
0-58	0	58	0.20880275964736938
0-59	0	59	0.5069669485092163
0-60	0	60	0.3477911949157715
0-61	0	61	0.16490724682807922
1-0	1	0	0.5778114199638367
1-1	1	1	0.4322720766067505
1-2	1	2	0.4003516733646393
1-3	1	3	0.5091471672058105
1-4	1	4	0.20529131591320038
1-5	1	5	0.7073642611503601
1-6	1	6	0.3064268231391907
1-7	1	7	0.4387015998363495
1-8	1	8	0.1379244029521942
1-9	1	9	0.2927457094192505
1-10	1	10	0.5321551561355591
1-11	1	11	0.3127138614654541
1-12	1	12	0.48005619645118713
1-13	1	13	0.3831506371498108
1-14	1	14	0.5694600343704224
1-15	1	15	0.4077891707420349
1-16	1	16	0.3504616916179657
1-17	1	17	0.5478895306587219
1-18	1	18	0.28114065527915955
1-19	1	19	0.443987637758255
1-20	1	20	0.2708982229232788
1-21	1	21	0.6296095848083496
1-22	1	22	0.3875575661659241
1-23	1	23	0.08218514919281006
1-24	1	24	0.36394187808036804
1-25	1	25	0.6917259693145752
1-26	1	26	0.46142417192459106
1-27	1	27	0.5167377591133118
1-28	1	28	0.4370352625846863
1-29	1	29	0.3049324154853821
1-30	1	30	0.2569296658039093
1-31	1	31	0.37074583768844604
1-32	1	32	0.19036372005939484
1-33	1	33	0.6057295203208923
1-34	1	34	0.39492613077163696
1-35	1	35	0.21820953488349915
1-36	1	36	0.26070958375930786
1-37	1	37	0.33634912967681885
1-38	1	38	0.34844616055488586
1-39	1	39	0.635159969329834
1-40	1	40	0.45219746232032776
1-41	1	41	0.4385437071323395
1-42	1	42	0.40236014127731323
1-43	1	43	0.17683935165405273
1-44	1	44	0.4948299527168274
1-45	1	45	0.21899566054344177
1-46	1	46	0.32764020562171936
1-47	1	47	0.39795950055122375
1-48	1	48	0.5686257481575012
1-49	1	49	0.23789042234420776
1-50	1	50	0.07841125875711441
1-51	1	51	0.3385176658630371
1-52	1	52	0.3406660854816437
1-53	1	53	0.3144594728946686
1-54	1	54	0.36670923233032227
1-55	1	55	0.20607061684131622
1-56	1	56	0.25177180767059326
1-57	1	57	0.3808611035346985
1-58	1	58	0.31055551767349243
1-59	1	59	0.2875633239746094
1-60	1	60	0.2070092260837555
1-61	1	61	0.17992673814296722
2-0	2	0	0.3770403265953064
2-1	2	1	0.298330157995224
2-2	2	2	0.5426662564277649
2-3	2	3	0.5141754746437073
2-4	2	4	0.1013433039188385
2-5	2	5	0.2925252616405487
2-6	2	6	0.5784961581230164
2-7	2	7	0.3497956395149231
2-8	2	8	0.2696215808391571
2-9	2	9	0.24922224879264832
2-10	2	10	0.18598899245262146
2-11	2	11	0.5263116955757141
2-12	2	12	0.36602136492729187
2-13	2	13	0.31233635544776917
2-14	2	14	0.33227840065956116
2-15	2	15	0.31358593702316284
2-16	2	16	0.3275735378265381
2-17	2	17	0.07746351510286331
2-18	2	18	0.2710791826248169
2-19	2	19	0.6989020109176636
2-20	2	20	0.2397565394639969
2-21	2	21	0.23921078443527222
2-22	2	22	0.2538619041442871
2-23	2	23	0.24100962281227112
2-24	2	24	0.34863224625587463
2-25	2	25	0.318101704120636
2-26	2	26	0.42287471890449524
