index	epoch	batch	loss
0-0	0	0	4.0696587562561035
0-1	0	1	3.5082390308380127
0-2	0	2	4.1995062828063965
0-3	0	3	4.694956302642822
0-4	0	4	3.7840986251831055
0-5	0	5	3.774972677230835
0-6	0	6	3.6135921478271484
0-7	0	7	4.4981513023376465
0-8	0	8	4.297718524932861
0-9	0	9	3.5870847702026367
0-10	0	10	4.321347236633301
0-11	0	11	3.8284356594085693
0-12	0	12	3.3802330493927
0-13	0	13	3.7651126384735107
0-14	0	14	4.054725646972656
0-15	0	15	4.312103271484375
0-16	0	16	4.359350681304932
0-17	0	17	3.8306028842926025
0-18	0	18	3.7333295345306396
0-19	0	19	4.285323143005371
0-20	0	20	3.9909703731536865
0-21	0	21	4.180300235748291
0-22	0	22	3.9721128940582275
0-23	0	23	3.5792651176452637
0-24	0	24	4.587809085845947
0-25	0	25	4.032108783721924
0-26	0	26	4.069418430328369
0-27	0	27	3.47782564163208
0-28	0	28	4.1246232986450195
0-29	0	29	4.372919082641602
0-30	0	30	3.501141309738159
0-31	0	31	4.228253364562988
0-32	0	32	4.789647579193115
0-33	0	33	3.9988839626312256
0-34	0	34	3.7213263511657715
0-35	0	35	3.9259817600250244
0-36	0	36	3.7825469970703125
0-37	0	37	3.7482426166534424
0-38	0	38	3.868557929992676
0-39	0	39	3.661592960357666
0-40	0	40	4.418720722198486
0-41	0	41	3.465012550354004
0-42	0	42	4.470090866088867
0-43	0	43	3.649125576019287
0-44	0	44	3.8228299617767334
0-45	0	45	3.9610183238983154
0-46	0	46	3.977867364883423
0-47	0	47	4.421900749206543
0-48	0	48	3.2457468509674072
0-49	0	49	3.5716400146484375
0-50	0	50	3.4250857830047607
0-51	0	51	4.678172588348389
0-52	0	52	3.718473434448242
0-53	0	53	4.224225997924805
0-54	0	54	3.650221824645996
0-55	0	55	3.822979211807251
0-56	0	56	3.622828483581543
0-57	0	57	3.5775742530822754
0-58	0	58	3.740617275238037
0-59	0	59	4.1004767417907715
0-60	0	60	3.1845147609710693
0-61	0	61	3.8403239250183105
0-62	0	62	3.8393783569335938
0-63	0	63	3.5378799438476562
0-64	0	64	3.4506499767303467
0-65	0	65	3.941296339035034
0-66	0	66	3.304382801055908
0-67	0	67	3.6784443855285645
0-68	0	68	3.701143264770508
0-69	0	69	3.6363778114318848
0-70	0	70	3.4054198265075684
0-71	0	71	3.3534064292907715
0-72	0	72	4.086410999298096
0-73	0	73	4.328721046447754
0-74	0	74	2.7164974212646484
0-75	0	75	3.969947576522827
0-76	0	76	3.3141298294067383
0-77	0	77	3.95943284034729
0-78	0	78	3.243551015853882
0-79	0	79	3.6678004264831543
0-80	0	80	3.2975385189056396
0-81	0	81	3.706515312194824
0-82	0	82	3.8863794803619385
0-83	0	83	3.6408708095550537
0-84	0	84	3.852276086807251
0-85	0	85	4.0249409675598145
0-86	0	86	3.9960596561431885
0-87	0	87	3.5938870906829834
0-88	0	88	3.683828830718994
0-89	0	89	3.665043592453003
0-90	0	90	3.8874623775482178
0-91	0	91	3.1002731323242188
0-92	0	92	3.900358200073242
0-93	0	93	3.81089448928833
0-94	0	94	3.923192262649536
0-95	0	95	3.6969809532165527
0-96	0	96	3.9836349487304688
0-97	0	97	3.430138349533081
0-98	0	98	3.837602376937866
0-99	0	99	3.3757522106170654
0-100	0	100	2.877464771270752
0-101	0	101	3.3945820331573486
