index	epoch	batch	loss
0-0	0	0	6.3496575355529785
0-1	0	1	7.72381067276001
0-2	0	2	4.7297163009643555
0-3	0	3	5.466884613037109
0-4	0	4	2.975560426712036
0-5	0	5	5.70947790145874
0-6	0	6	3.920807123184204
0-7	0	7	5.530633926391602
0-8	0	8	3.45259952545166
0-9	0	9	5.173696041107178
0-10	0	10	4.782969951629639
0-11	0	11	3.2417478561401367
0-12	0	12	3.7412917613983154
0-13	0	13	5.044335842132568
0-14	0	14	4.796910762786865
0-15	0	15	5.0374250411987305
0-16	0	16	4.1038103103637695
0-17	0	17	4.1349639892578125
0-18	0	18	4.035868167877197
0-19	0	19	5.425465106964111
0-20	0	20	4.510929584503174
0-21	0	21	6.223142623901367
0-22	0	22	3.7889723777770996
0-23	0	23	3.7606124877929688
0-24	0	24	5.204822063446045
0-25	0	25	4.083564758300781
0-26	0	26	4.87197208404541
0-27	0	27	3.3562161922454834
0-28	0	28	5.016696929931641
0-29	0	29	4.19813871383667
0-30	0	30	2.5849361419677734
1-0	1	0	5.211510181427002
1-1	1	1	4.206039905548096
1-2	1	2	4.485964775085449
1-3	1	3	3.4416768550872803
1-4	1	4	4.777568817138672
1-5	1	5	4.041496276855469
1-6	1	6	3.5618739128112793
1-7	1	7	4.769125938415527
1-8	1	8	4.26865291595459
1-9	1	9	4.440630912780762
1-10	1	10	4.27866268157959
1-11	1	11	4.206147193908691
1-12	1	12	3.538879156112671
1-13	1	13	3.0842769145965576
1-14	1	14	4.505302429199219
1-15	1	15	4.017107009887695
1-16	1	16	4.090073585510254
1-17	1	17	3.220841884613037
1-18	1	18	4.0400543212890625
1-19	1	19	3.262434959411621
1-20	1	20	3.880988121032715
1-21	1	21	3.911292314529419
1-22	1	22	3.4252877235412598
1-23	1	23	3.9434077739715576
1-24	1	24	3.927645683288574
1-25	1	25	4.494098663330078
1-26	1	26	3.9656784534454346
1-27	1	27	4.200835227966309
1-28	1	28	4.148326396942139
1-29	1	29	4.034260272979736
1-30	1	30	4.5643415451049805
2-0	2	0	4.018416881561279
2-1	2	1	2.99639630317688
2-2	2	2	2.8498692512512207
2-3	2	3	3.0919182300567627
2-4	2	4	4.386371612548828
2-5	2	5	4.063558101654053
2-6	2	6	3.347334384918213
2-7	2	7	4.337001800537109
2-8	2	8	5.439123153686523
2-9	2	9	3.9545788764953613
2-10	2	10	4.724625587463379
2-11	2	11	3.8278303146362305
2-12	2	12	3.273139476776123
2-13	2	13	3.565155506134033
2-14	2	14	3.0868706703186035
2-15	2	15	3.671252727508545
2-16	2	16	3.9296905994415283
2-17	2	17	4.61353063583374
2-18	2	18	3.57749080657959
2-19	2	19	4.83986234664917
2-20	2	20	4.5253448486328125
2-21	2	21	3.2302613258361816
2-22	2	22	3.5689585208892822
2-23	2	23	3.759457588195801
