index	epoch	batch	loss
0-0	0	0	3.908839702606201
0-1	0	1	4.655412197113037
0-2	0	2	6.265864849090576
0-3	0	3	6.263584136962891
0-4	0	4	6.296219825744629
0-5	0	5	4.23402738571167
0-6	0	6	5.177505016326904
0-7	0	7	3.8254518508911133
0-8	0	8	5.011819362640381
0-9	0	9	4.543739318847656
0-10	0	10	3.9104669094085693
0-11	0	11	6.1108880043029785
0-12	0	12	4.292421817779541
0-13	0	13	4.458388805389404
0-14	0	14	4.962413787841797
0-15	0	15	4.54252290725708
0-16	0	16	4.457085609436035
0-17	0	17	3.38289737701416
0-18	0	18	3.8664093017578125
0-19	0	19	3.9998960494995117
0-20	0	20	4.2001953125
0-21	0	21	4.135733127593994
0-22	0	22	4.574861526489258
0-23	0	23	4.476691722869873
0-24	0	24	4.342086315155029
0-25	0	25	4.000707149505615
0-26	0	26	4.065478324890137
0-27	0	27	4.47066593170166
0-28	0	28	4.6555633544921875
0-29	0	29	3.7280502319335938
0-30	0	30	4.2718329429626465
0-31	0	31	4.543274879455566
0-32	0	32	3.488860845565796
0-33	0	33	5.259816646575928
0-34	0	34	3.864941358566284
0-35	0	35	4.8374762535095215
0-36	0	36	3.547112464904785
0-37	0	37	3.069176197052002
0-38	0	38	3.8572280406951904
0-39	0	39	3.9126312732696533
0-40	0	40	5.397909641265869
0-41	0	41	4.2283782958984375
0-42	0	42	4.844198226928711
0-43	0	43	3.786715030670166
0-44	0	44	3.311152458190918
0-45	0	45	3.9442200660705566
0-46	0	46	3.4370908737182617
0-47	0	47	3.669222116470337
0-48	0	48	3.1185288429260254
0-49	0	49	4.085122585296631
0-50	0	50	3.331380844116211
0-51	0	51	4.238516330718994
0-52	0	52	5.06892728805542
0-53	0	53	3.3460543155670166
0-54	0	54	4.068758964538574
0-55	0	55	2.929805040359497
0-56	0	56	4.357961654663086
0-57	0	57	4.261923789978027
0-58	0	58	2.7650680541992188
0-59	0	59	2.7924344539642334
0-60	0	60	3.904069662094116
0-61	0	61	4.353568077087402
1-0	1	0	3.685112714767456
1-1	1	1	4.328658103942871
1-2	1	2	3.1076409816741943
1-3	1	3	4.333950996398926
1-4	1	4	3.8795247077941895
1-5	1	5	4.559256076812744
1-6	1	6	3.199305534362793
1-7	1	7	3.7457895278930664
1-8	1	8	3.4743802547454834
1-9	1	9	4.137228012084961
1-10	1	10	3.916240692138672
1-11	1	11	3.188450574874878
1-12	1	12	3.2486419677734375
1-13	1	13	3.232470989227295
1-14	1	14	4.2877116203308105
1-15	1	15	3.2878293991088867
1-16	1	16	3.7914931774139404
1-17	1	17	4.559001922607422
1-18	1	18	2.8792638778686523
1-19	1	19	4.041408538818359
1-20	1	20	5.205629348754883
1-21	1	21	3.5199313163757324
1-22	1	22	3.686488151550293
1-23	1	23	3.825946807861328
1-24	1	24	3.4793219566345215
1-25	1	25	3.950761079788208
1-26	1	26	4.088776588439941
1-27	1	27	4.313926696777344
1-28	1	28	3.803879737854004
1-29	1	29	3.1490931510925293
1-30	1	30	4.288854598999023
1-31	1	31	3.5991718769073486
1-32	1	32	4.52500581741333
1-33	1	33	3.3176627159118652
1-34	1	34	3.7023563385009766
