index	epoch	batch	loss
0-0	0	0	3.9041805267333984
0-1	0	1	4.707839488983154
0-2	0	2	4.9425153732299805
0-3	0	3	5.049358367919922
0-4	0	4	5.070256233215332
0-5	0	5	5.188408374786377
0-6	0	6	5.319949150085449
0-7	0	7	4.756765842437744
0-8	0	8	5.07746696472168
0-9	0	9	4.454520225524902
0-10	0	10	6.18556547164917
0-11	0	11	3.5202338695526123
0-12	0	12	7.296626091003418
0-13	0	13	4.923863887786865
0-14	0	14	5.019460678100586
0-15	0	15	2.8910045623779297
0-16	0	16	4.422333717346191
0-17	0	17	3.487455129623413
0-18	0	18	4.06351375579834
0-19	0	19	5.0373382568359375
0-20	0	20	4.5803117752075195
0-21	0	21	5.710633277893066
0-22	0	22	3.685945510864258
0-23	0	23	3.2124104499816895
0-24	0	24	3.945650100708008
0-25	0	25	3.928210735321045
0-26	0	26	2.966379404067993
0-27	0	27	4.2377400398254395
0-28	0	28	4.615649223327637
0-29	0	29	4.510900497436523
0-30	0	30	4.612719535827637
1-0	1	0	3.987569808959961
1-1	1	1	3.34875750541687
1-2	1	2	3.6450579166412354
1-3	1	3	4.578734874725342
1-4	1	4	4.223596096038818
1-5	1	5	2.7184295654296875
1-6	1	6	3.6442174911499023
1-7	1	7	4.552825450897217
1-8	1	8	4.940356254577637
1-9	1	9	4.45930290222168
1-10	1	10	4.540363311767578
1-11	1	11	4.342044830322266
1-12	1	12	3.6295430660247803
1-13	1	13	3.4310078620910645
1-14	1	14	4.873195171356201
1-15	1	15	4.055028915405273
1-16	1	16	4.454420566558838
1-17	1	17	3.8534719944000244
1-18	1	18	3.6800131797790527
1-19	1	19	3.692361354827881
1-20	1	20	4.269440174102783
1-21	1	21	3.1432487964630127
1-22	1	22	4.070806980133057
1-23	1	23	3.267504930496216
1-24	1	24	4.371067523956299
1-25	1	25	4.5318684577941895
1-26	1	26	3.5328354835510254
1-27	1	27	4.232673645019531
1-28	1	28	3.767434597015381
1-29	1	29	3.5790576934814453
1-30	1	30	3.90566349029541
2-0	2	0	4.188215732574463
2-1	2	1	3.1844534873962402
2-2	2	2	4.362484455108643
2-3	2	3	3.3818743228912354
2-4	2	4	3.9450905323028564
2-5	2	5	3.679413318634033
2-6	2	6	4.370576858520508
2-7	2	7	4.831508159637451
2-8	2	8	4.097738742828369
2-9	2	9	5.099390983581543
2-10	2	10	5.289024353027344
2-11	2	11	4.351777076721191
2-12	2	12	3.5481908321380615
2-13	2	13	3.927250862121582
2-14	2	14	3.7011282444000244
2-15	2	15	4.043936729431152
2-16	2	16	4.617552757263184
2-17	2	17	3.458080530166626
2-18	2	18	3.5386955738067627
2-19	2	19	4.3498711585998535
2-20	2	20	3.8445358276367188
2-21	2	21	3.4407529830932617
2-22	2	22	4.339645862579346
2-23	2	23	3.4523439407348633
2-24	2	24	4.403575897216797
2-25	2	25	3.826417922973633
2-26	2	26	2.882093667984009
2-27	2	27	2.8071231842041016
2-28	2	28	3.8049254417419434
2-29	2	29	3.016108989715576
2-30	2	30	4.563973903656006
3-0	3	0	4.163018226623535
3-1	3	1	4.198441505432129
3-2	3	2	2.909306526184082
3-3	3	3	3.951846122741699
3-4	3	4	3.2513821125030518
3-5	3	5	3.6978657245635986
3-6	3	6	3.889503002166748
3-7	3	7	3.764106273651123
3-8	3	8	4.23597526550293
3-9	3	9	2.6532247066497803
3-10	3	10	3.8498647212982178
3-11	3	11	4.629571914672852
3-12	3	12	3.4760794639587402
3-13	3	13	3.5150232315063477
3-14	3	14	4.490842819213867
3-15	3	15	2.5865533351898193
3-16	3	16	3.857234001159668
3-17	3	17	4.2593560218811035
3-18	3	18	4.306772708892822
3-19	3	19	3.9714317321777344
3-20	3	20	3.9335858821868896
3-21	3	21	4.104970932006836
3-22	3	22	3.2049193382263184
3-23	3	23	4.173820495605469
3-24	3	24	4.577639102935791
3-25	3	25	3.9946553707122803
3-26	3	26	4.056023120880127
3-27	3	27	2.661346435546875
3-28	3	28	3.3396921157836914
3-29	3	29	4.43673849105835
3-30	3	30	5.071549892425537
4-0	4	0	3.5603888034820557
4-1	4	1	3.1738202571868896
4-2	4	2	3.771500587463379
4-3	4	3	3.7893898487091064
4-4	4	4	3.6331701278686523
4-5	4	5	4.901564598083496
4-6	4	6	3.6601288318634033
4-7	4	7	3.529832601547241
4-8	4	8	4.499814510345459
4-9	4	9	4.425745487213135
4-10	4	10	3.5964834690093994
4-11	4	11	3.4246644973754883
4-12	4	12	2.367793560028076
4-13	4	13	2.921140193939209
4-14	4	14	3.417959690093994
4-15	4	15	3.473619222640991
4-16	4	16	4.1378607749938965
4-17	4	17	4.159966468811035
4-18	4	18	3.3796191215515137
4-19	4	19	3.224240779876709
4-20	4	20	2.370110273361206
4-21	4	21	2.9328160285949707
4-22	4	22	2.83141827583313
4-23	4	23	4.667875289916992
4-24	4	24	3.2593750953674316
4-25	4	25	4.181785583496094
4-26	4	26	3.212937116622925
4-27	4	27	2.5589754581451416
4-28	4	28	3.5263218879699707
4-29	4	29	2.8986597061157227
4-30	4	30	3.567941904067993
5-0	5	0	4.1547088623046875
5-1	5	1	4.155864715576172
5-2	5	2	3.8581957817077637
5-3	5	3	3.0143473148345947
5-4	5	4	3.6101810932159424
5-5	5	5	3.811725616455078
5-6	5	6	3.137389659881592
5-7	5	7	3.2801918983459473
5-8	5	8	2.316541910171509
5-9	5	9	2.2033586502075195
5-10	5	10	3.2220852375030518
5-11	5	11	3.1764543056488037
5-12	5	12	3.5687875747680664
5-13	5	13	3.628571033477783
5-14	5	14	4.412064075469971
5-15	5	15	3.8647899627685547
5-16	5	16	3.2992022037506104
5-17	5	17	3.9919400215148926
5-18	5	18	3.9520459175109863
5-19	5	19	3.3669371604919434
5-20	5	20	2.708458423614502
5-21	5	21	3.500753402709961
5-22	5	22	3.169792652130127
5-23	5	23	3.4941399097442627
5-24	5	24	3.8820157051086426
5-25	5	25	3.5272631645202637
5-26	5	26	4.103859901428223
5-27	5	27	3.265429973602295
5-28	5	28	3.8940954208374023
5-29	5	29	3.2690207958221436
5-30	5	30	4.627474308013916
6-0	6	0	3.9173502922058105
6-1	6	1	3.0586600303649902
6-2	6	2	2.693821907043457
6-3	6	3	3.4154441356658936
6-4	6	4	2.912968397140503
6-5	6	5	3.0575037002563477
6-6	6	6	3.2663052082061768
6-7	6	7	3.5450987815856934
6-8	6	8	3.5156478881835938
6-9	6	9	4.002514362335205
6-10	6	10	2.723320484161377
6-11	6	11	3.9917948246002197
6-12	6	12	2.413278579711914
6-13	6	13	3.63496994972229
6-14	6	14	4.4167680740356445
6-15	6	15	3.263571262359619
6-16	6	16	2.48898983001709
6-17	6	17	3.156317949295044
6-18	6	18	3.219954252243042
6-19	6	19	3.109529495239258
6-20	6	20	3.2120351791381836
6-21	6	21	3.103915214538574
6-22	6	22	3.1442222595214844
6-23	6	23	2.4915196895599365
6-24	6	24	3.5515503883361816
6-25	6	25	4.930752277374268
6-26	6	26	3.4895858764648438
6-27	6	27	3.1260485649108887
6-28	6	28	3.9833004474639893
6-29	6	29	2.748455762863159
6-30	6	30	2.6064577102661133
7-0	7	0	2.9172518253326416
7-1	7	1	3.3311338424682617
7-2	7	2	3.49143385887146
7-3	7	3	2.2165939807891846
7-4	7	4	2.195793628692627
7-5	7	5	2.3908934593200684
7-6	7	6	2.1618359088897705
7-7	7	7	2.355642795562744
7-8	7	8	3.0229811668395996
7-9	7	9	2.2337450981140137
7-10	7	10	3.513836145401001
7-11	7	11	3.991729736328125
7-12	7	12	2.1855223178863525
7-13	7	13	2.2534894943237305
7-14	7	14	3.439150333404541
7-15	7	15	2.694730043411255
7-16	7	16	2.5573039054870605
7-17	7	17	3.0282411575317383
7-18	7	18	2.499401569366455
7-19	7	19	2.57308292388916
7-20	7	20	2.882380247116089
7-21	7	21	3.3642091751098633
7-22	7	22	2.656277656555176
7-23	7	23	3.0925967693328857
7-24	7	24	2.698704719543457
7-25	7	25	3.6358933448791504
7-26	7	26	2.5935237407684326
7-27	7	27	2.8219006061553955
7-28	7	28	3.3860549926757812
7-29	7	29	3.019615411758423
7-30	7	30	2.6643869876861572
8-0	8	0	3.097733736038208
8-1	8	1	2.4182982444763184
8-2	8	2	2.1165637969970703
8-3	8	3	1.768721103668213
8-4	8	4	3.2014312744140625
8-5	8	5	2.015761613845825
8-6	8	6	2.214759588241577
8-7	8	7	2.7965657711029053
8-8	8	8	2.45908260345459
8-9	8	9	2.302334785461426
8-10	8	10	2.4658188819885254
8-11	8	11	2.7030186653137207
8-12	8	12	2.611057758331299
8-13	8	13	2.4378738403320312
8-14	8	14	2.2299273014068604
8-15	8	15	2.921748161315918
8-16	8	16	3.344815969467163
8-17	8	17	3.1578407287597656
8-18	8	18	2.6001031398773193
8-19	8	19	2.589444398880005
8-20	8	20	2.7590417861938477
8-21	8	21	3.1486120223999023
8-22	8	22	4.040056228637695
8-23	8	23	3.992453098297119
8-24	8	24	2.4613451957702637
8-25	8	25	2.9909119606018066
8-26	8	26	2.808548927307129
8-27	8	27	3.587554454803467
8-28	8	28	2.825546979904175
8-29	8	29	2.251185655593872
8-30	8	30	2.914886713027954
9-0	9	0	2.7958638668060303
9-1	9	1	1.5772597789764404
9-2	9	2	2.464172124862671
9-3	9	3	3.2387406826019287
9-4	9	4	2.2941091060638428
9-5	9	5	2.498981237411499
9-6	9	6	2.645720958709717
9-7	9	7	2.0479679107666016
9-8	9	8	2.1157565116882324
9-9	9	9	2.5662646293640137
