index	epoch	batch	loss
0-0	0	0	6.53087043762207
0-1	0	1	7.240415096282959
0-2	0	2	6.216278076171875
0-3	0	3	5.380979537963867
0-4	0	4	6.392955780029297
0-5	0	5	5.235050678253174
0-6	0	6	5.50367546081543
0-7	0	7	5.645314693450928
0-8	0	8	3.7283451557159424
0-9	0	9	4.488331317901611
0-10	0	10	4.425312519073486
0-11	0	11	4.859971523284912
0-12	0	12	3.763950824737549
0-13	0	13	3.6736457347869873
0-14	0	14	5.100334644317627
0-15	0	15	4.324125289916992
0-16	0	16	4.182332515716553
0-17	0	17	3.964702606201172
0-18	0	18	3.6054868698120117
0-19	0	19	4.254728317260742
0-20	0	20	4.913334369659424
0-21	0	21	4.993646621704102
0-22	0	22	4.028314113616943
0-23	0	23	4.024344444274902
0-24	0	24	4.832016944885254
0-25	0	25	5.284834861755371
0-26	0	26	3.8012304306030273
0-27	0	27	4.036525726318359
0-28	0	28	2.876026153564453
0-29	0	29	4.603013515472412
0-30	0	30	3.9881105422973633
0-31	0	31	3.865241765975952
0-32	0	32	4.082315921783447
0-33	0	33	5.226792812347412
0-34	0	34	3.2808454036712646
0-35	0	35	3.9837002754211426
0-36	0	36	4.369250297546387
0-37	0	37	4.097002029418945
0-38	0	38	5.105948448181152
0-39	0	39	2.9362525939941406
0-40	0	40	4.208137035369873
0-41	0	41	3.9203035831451416
0-42	0	42	4.522136211395264
0-43	0	43	4.731814384460449
0-44	0	44	3.791196584701538
0-45	0	45	3.9186644554138184
0-46	0	46	4.328549861907959
0-47	0	47	4.650808334350586
0-48	0	48	4.401894569396973
0-49	0	49	3.6362085342407227
0-50	0	50	2.752967357635498
0-51	0	51	4.525547027587891
0-52	0	52	4.261464595794678
0-53	0	53	3.5395305156707764
0-54	0	54	3.633441925048828
0-55	0	55	4.57716178894043
0-56	0	56	4.160539627075195
0-57	0	57	5.142603874206543
0-58	0	58	3.772536277770996
0-59	0	59	3.9120588302612305
0-60	0	60	4.946245193481445
0-61	0	61	5.495043754577637
1-0	1	0	3.6091392040252686
1-1	1	1	3.4785802364349365
1-2	1	2	4.920289993286133
1-3	1	3	3.5442826747894287
1-4	1	4	6.257447242736816
1-5	1	5	4.199460983276367
1-6	1	6	3.876058578491211
1-7	1	7	3.371854305267334
1-8	1	8	3.7740776538848877
1-9	1	9	4.242640018463135
1-10	1	10	3.8524398803710938
1-11	1	11	3.464524507522583
1-12	1	12	4.39028787612915
1-13	1	13	3.883258581161499
1-14	1	14	3.544741153717041
1-15	1	15	4.068904876708984
1-16	1	16	3.008240222930908
1-17	1	17	4.062373161315918
1-18	1	18	3.775386095046997
1-19	1	19	4.409503936767578
1-20	1	20	3.719508409500122
1-21	1	21	4.70613431930542
1-22	1	22	4.4169921875
1-23	1	23	3.9974300861358643
1-24	1	24	4.514714241027832
1-25	1	25	3.1157302856445312
1-26	1	26	4.719740390777588
1-27	1	27	3.7019622325897217
1-28	1	28	3.8171706199645996
1-29	1	29	4.168190956115723
1-30	1	30	4.089476585388184
1-31	1	31	3.81636118888855
1-32	1	32	3.429884433746338
1-33	1	33	2.906437397003174
1-34	1	34	3.2683253288269043
1-35	1	35	4.29212760925293
1-36	1	36	3.2681140899658203
1-37	1	37	4.229788303375244
1-38	1	38	2.882603883743286
1-39	1	39	4.141731262207031
1-40	1	40	3.247110605239868
1-41	1	41	3.974104881286621
1-42	1	42	4.365009784698486
1-43	1	43	4.4415178298950195
1-44	1	44	2.8045878410339355
1-45	1	45	3.6933798789978027
1-46	1	46	2.8536038398742676
1-47	1	47	4.062865257263184
1-48	1	48	3.44222354888916
1-49	1	49	3.507840871810913
1-50	1	50	4.5572919845581055
1-51	1	51	3.629692554473877
1-52	1	52	3.4193387031555176
1-53	1	53	3.978323221206665
1-54	1	54	3.0272016525268555
1-55	1	55	3.753361940383911
1-56	1	56	3.1641762256622314
1-57	1	57	3.2360315322875977
1-58	1	58	3.9988956451416016
1-59	1	59	2.791020154953003
1-60	1	60	3.318953514099121
1-61	1	61	3.656346321105957
2-0	2	0	3.206897020339966
2-1	2	1	5.178706645965576
2-2	2	2	4.837930202484131
2-3	2	3	4.670286178588867
2-4	2	4	4.132640838623047
2-5	2	5	4.045277118682861
2-6	2	6	4.391687393188477
2-7	2	7	4.095435619354248
2-8	2	8	3.707508087158203
2-9	2	9	3.125291109085083
2-10	2	10	4.192523002624512
2-11	2	11	3.527747392654419
2-12	2	12	4.054315090179443
2-13	2	13	4.256721019744873
2-14	2	14	4.094045639038086
2-15	2	15	4.247706413269043
2-16	2	16	3.445892095565796
2-17	2	17	3.8353066444396973
2-18	2	18	3.1697754859924316
2-19	2	19	3.5924973487854004
2-20	2	20	3.7056784629821777
2-21	2	21	2.8176767826080322
2-22	2	22	3.015643835067749
2-23	2	23	3.922114133834839
2-24	2	24	2.8014023303985596
2-25	2	25	4.1438679695129395
2-26	2	26	3.786874532699585
2-27	2	27	3.198397397994995
2-28	2	28	3.8310272693634033
2-29	2	29	3.6970884799957275
2-30	2	30	3.824537754058838
2-31	2	31	3.2969188690185547
2-32	2	32	4.368635654449463
2-33	2	33	4.485840797424316
2-34	2	34	4.463171005249023
2-35	2	35	3.7698974609375
2-36	2	36	4.370945930480957
2-37	2	37	3.6850569248199463
2-38	2	38	3.0759787559509277
2-39	2	39	3.91032075881958
2-40	2	40	4.180820465087891
2-41	2	41	4.1671857833862305
2-42	2	42	4.27592134475708
2-43	2	43	3.709402561187744
2-44	2	44	4.3081769943237305
2-45	2	45	3.3291015625
2-46	2	46	4.3610639572143555
2-47	2	47	3.687725305557251
2-48	2	48	4.212401390075684
2-49	2	49	3.996851682662964
2-50	2	50	3.6852123737335205
2-51	2	51	4.3126020431518555
2-52	2	52	2.8961150646209717
2-53	2	53	3.3831496238708496
2-54	2	54	3.1062660217285156
