index	epoch	batch	loss
0-0	0	0	8.129850387573242
0-1	0	1	7.261369705200195
0-2	0	2	4.462022304534912
0-3	0	3	6.544678211212158
0-4	0	4	2.9706966876983643
0-5	0	5	5.845804214477539
0-6	0	6	6.743227481842041
0-7	0	7	4.47681999206543
0-8	0	8	5.102535724639893
0-9	0	9	5.602180004119873
0-10	0	10	4.916473388671875
0-11	0	11	4.5597333908081055
0-12	0	12	2.5882370471954346
0-13	0	13	4.193999290466309
0-14	0	14	4.175692081451416
0-15	0	15	4.90982723236084
0-16	0	16	3.253603935241699
0-17	0	17	5.307269096374512
0-18	0	18	4.070420742034912
0-19	0	19	2.939173460006714
0-20	0	20	3.7635340690612793
0-21	0	21	3.811784267425537
0-22	0	22	4.673585891723633
0-23	0	23	4.010297775268555
0-24	0	24	3.9428303241729736
0-25	0	25	4.724783897399902
0-26	0	26	4.177667617797852
0-27	0	27	4.191887378692627
0-28	0	28	3.071784734725952
0-29	0	29	4.033230781555176
0-30	0	30	5.109115123748779
1-0	1	0	3.875781536102295
1-1	1	1	3.5571036338806152
1-2	1	2	3.7629332542419434
1-3	1	3	3.4870879650115967
1-4	1	4	3.7877464294433594
1-5	1	5	3.8513126373291016
1-6	1	6	4.954712390899658
1-7	1	7	3.805767774581909
1-8	1	8	2.5186729431152344
1-9	1	9	4.224088668823242
1-10	1	10	4.49951171875
1-11	1	11	4.892248153686523
1-12	1	12	4.177764892578125
1-13	1	13	2.781019687652588
1-14	1	14	4.0439372062683105
1-15	1	15	4.7224507331848145
1-16	1	16	3.676072597503662
1-17	1	17	4.273093223571777
1-18	1	18	3.142038106918335
1-19	1	19	2.3066978454589844
1-20	1	20	4.222003936767578
1-21	1	21	2.820002555847168
1-22	1	22	2.6512129306793213
1-23	1	23	3.27913761138916
1-24	1	24	3.5890278816223145
1-25	1	25	4.2616801261901855
1-26	1	26	3.187779188156128
1-27	1	27	3.7737226486206055
1-28	1	28	4.374655723571777
1-29	1	29	2.9725821018218994
1-30	1	30	2.346506357192993
2-0	2	0	3.4273431301116943
2-1	2	1	4.307303428649902
2-2	2	2	3.2856085300445557
2-3	2	3	3.494274139404297
2-4	2	4	3.4100327491760254
2-5	2	5	3.932950973510742
2-6	2	6	3.5572938919067383
2-7	2	7	3.845071792602539
2-8	2	8	3.532782554626465
2-9	2	9	4.4654974937438965
2-10	2	10	3.7620718479156494
2-11	2	11	4.393493175506592
2-12	2	12	4.6168413162231445
2-13	2	13	4.6144914627075195
2-14	2	14	4.0817694664001465
2-15	2	15	3.5803072452545166
2-16	2	16	4.218402862548828
2-17	2	17	4.162592887878418
2-18	2	18	4.550823211669922
2-19	2	19	3.650475025177002
2-20	2	20	3.88679838180542
2-21	2	21	3.1012425422668457
2-22	2	22	3.4798214435577393
2-23	2	23	3.0577495098114014
2-24	2	24	3.9889116287231445
2-25	2	25	4.02145528793335
2-26	2	26	3.4411721229553223
2-27	2	27	4.116713523864746
2-28	2	28	3.2532050609588623
2-29	2	29	3.282588481903076
2-30	2	30	2.6331756114959717
3-0	3	0	5.325216293334961
3-1	3	1	3.6602067947387695
3-2	3	2	4.375861167907715
3-3	3	3	3.220181465148926
3-4	3	4	4.5530900955200195
3-5	3	5	4.747687816619873
3-6	3	6	3.4969639778137207
3-7	3	7	3.630798101425171
3-8	3	8	4.1456146240234375
3-9	3	9	2.9109444618225098
3-10	3	10	4.276555061340332
3-11	3	11	3.756892681121826
3-12	3	12	3.524303913116455
3-13	3	13	2.6988167762756348
3-14	3	14	2.8849706649780273
3-15	3	15	2.8921546936035156
3-16	3	16	2.9182605743408203
3-17	3	17	3.996065139770508
3-18	3	18	3.9547433853149414
3-19	3	19	3.1923484802246094
3-20	3	20	4.454141139984131
3-21	3	21	4.366048812866211
3-22	3	22	3.277888774871826
3-23	3	23	3.7117245197296143
3-24	3	24	2.7797346115112305
3-25	3	25	3.401771068572998
