index	epoch	batch	loss
0-0	0	0	7.353754043579102
0-1	0	1	4.433183670043945
0-2	0	2	4.77714729309082
0-3	0	3	6.392942905426025
0-4	0	4	5.156857490539551
0-5	0	5	5.419480323791504
0-6	0	6	4.793357849121094
0-7	0	7	5.281030178070068
0-8	0	8	3.485170602798462
0-9	0	9	4.641740322113037
0-10	0	10	5.674286365509033
0-11	0	11	3.2107343673706055
0-12	0	12	2.4702155590057373
0-13	0	13	4.508269786834717
0-14	0	14	3.5438339710235596
0-15	0	15	4.2001214027404785
0-16	0	16	4.559788227081299
0-17	0	17	6.130458831787109
0-18	0	18	4.352021217346191
0-19	0	19	3.927464723587036
0-20	0	20	3.3505680561065674
0-21	0	21	4.183575630187988
0-22	0	22	4.864563465118408
0-23	0	23	3.49365496635437
0-24	0	24	3.767693281173706
0-25	0	25	4.130461692810059
0-26	0	26	4.398154258728027
0-27	0	27	3.482203245162964
0-28	0	28	3.31201434135437
0-29	0	29	4.019191741943359
0-30	0	30	4.419177532196045
0-31	0	31	3.8076462745666504
0-32	0	32	4.151150226593018
0-33	0	33	3.8413619995117188
0-34	0	34	5.218651294708252
0-35	0	35	3.3792686462402344
0-36	0	36	5.027002334594727
0-37	0	37	3.5390186309814453
0-38	0	38	4.1871256828308105
0-39	0	39	3.6125597953796387
0-40	0	40	4.702842712402344
0-41	0	41	3.669631004333496
0-42	0	42	3.9604005813598633
0-43	0	43	3.4429094791412354
0-44	0	44	3.99240779876709
0-45	0	45	3.0791797637939453
0-46	0	46	5.582433700561523
0-47	0	47	4.448365688323975
0-48	0	48	4.026147365570068
0-49	0	49	3.9570672512054443
0-50	0	50	3.7776174545288086
0-51	0	51	4.227212429046631
0-52	0	52	4.620269775390625
0-53	0	53	3.900787115097046
0-54	0	54	5.068446159362793
0-55	0	55	4.00685977935791
0-56	0	56	4.416489601135254
0-57	0	57	3.3145012855529785
0-58	0	58	3.3151566982269287
0-59	0	59	4.112860679626465
0-60	0	60	2.772204637527466
0-61	0	61	4.043301582336426
1-0	1	0	3.6098968982696533
1-1	1	1	4.332086563110352
