index	epoch	batch	loss
0-0	0	0	4.789094924926758
0-1	0	1	5.383668422698975
0-2	0	2	4.814943313598633
0-3	0	3	4.234110355377197
0-4	0	4	4.2768235206604
0-5	0	5	4.5324225425720215
0-6	0	6	3.2083380222320557
0-7	0	7	3.581834077835083
0-8	0	8	3.3689680099487305
0-9	0	9	3.955531120300293
0-10	0	10	2.8624701499938965
0-11	0	11	4.11509370803833
0-12	0	12	3.482170581817627
0-13	0	13	3.2777645587921143
0-14	0	14	3.153442144393921
0-15	0	15	3.838350772857666
0-16	0	16	3.7793989181518555
0-17	0	17	3.403963088989258
0-18	0	18	3.4251298904418945
0-19	0	19	3.458059549331665
0-20	0	20	3.8329033851623535
0-21	0	21	3.345663070678711
0-22	0	22	2.8607521057128906
0-23	0	23	3.7995216846466064
0-24	0	24	3.23329758644104
0-25	0	25	3.081393003463745
0-26	0	26	3.2285099029541016
0-27	0	27	3.0608274936676025
0-28	0	28	2.9091737270355225
0-29	0	29	3.7950186729431152
0-30	0	30	2.6751136779785156
0-31	0	31	3.030510187149048
0-32	0	32	3.1390833854675293
0-33	0	33	3.558563232421875
0-34	0	34	3.1879003047943115
0-35	0	35	3.0432920455932617
0-36	0	36	3.0993306636810303
0-37	0	37	3.0618479251861572
0-38	0	38	3.3311190605163574
0-39	0	39	3.89054274559021
0-40	0	40	3.5939619541168213
0-41	0	41	3.1217024326324463
0-42	0	42	2.713956356048584
0-43	0	43	2.8331551551818848
0-44	0	44	2.8800430297851562
0-45	0	45	3.2597930431365967
0-46	0	46	3.1900341510772705
0-47	0	47	2.9057905673980713
0-48	0	48	2.7722182273864746
0-49	0	49	2.379243850708008
0-50	0	50	2.7500014305114746
0-51	0	51	3.3326563835144043
0-52	0	52	2.68278431892395
0-53	0	53	2.914578676223755
0-54	0	54	2.787438154220581
0-55	0	55	2.9869258403778076
0-56	0	56	3.0980448722839355
0-57	0	57	2.8590564727783203
0-58	0	58	2.7318854331970215
0-59	0	59	2.9143834114074707
0-60	0	60	2.7043027877807617
0-61	0	61	2.995725393295288
0-62	0	62	2.665205478668213
0-63	0	63	2.6613922119140625
0-64	0	64	2.7745587825775146
0-65	0	65	2.7085630893707275
0-66	0	66	2.856579542160034
0-67	0	67	2.6365413665771484
0-68	0	68	3.100236177444458
0-69	0	69	2.7127699851989746
0-70	0	70	2.6597750186920166
1-0	1	0	2.516906261444092
1-1	1	1	2.811526298522949
1-2	1	2	3.0887131690979004
1-3	1	3	2.679215431213379
1-4	1	4	2.760770082473755
1-5	1	5	2.7566349506378174
1-6	1	6	2.87546443939209
