index	epoch	batch	loss
0-0	0	0	3.948058605194092
0-1	0	1	4.142544269561768
0-2	0	2	2.984816074371338
0-3	0	3	3.8262951374053955
0-4	0	4	4.415900230407715
0-5	0	5	3.8093957901000977
0-6	0	6	3.255492687225342
0-7	0	7	3.378268003463745
0-8	0	8	3.8536479473114014
0-9	0	9	2.6983869075775146
0-10	0	10	3.816126585006714
0-11	0	11	3.0888195037841797
0-12	0	12	3.5612964630126953
0-13	0	13	3.664867401123047
0-14	0	14	3.546842098236084
0-15	0	15	3.254772663116455
0-16	0	16	3.1355700492858887
0-17	0	17	3.5320587158203125
0-18	0	18	3.3617026805877686
0-19	0	19	3.5932674407958984
0-20	0	20	3.0558440685272217
0-21	0	21	3.756284475326538
0-22	0	22	3.2402541637420654
0-23	0	23	3.948176622390747
0-24	0	24	2.760688066482544
0-25	0	25	3.4195973873138428
0-26	0	26	3.6025352478027344
0-27	0	27	3.962676763534546
0-28	0	28	2.821460008621216
0-29	0	29	2.7438900470733643
0-30	0	30	3.472447633743286
0-31	0	31	3.0576553344726562
0-32	0	32	3.560781717300415
0-33	0	33	3.2911176681518555
0-34	0	34	3.1685879230499268
0-35	0	35	3.031276226043701
0-36	0	36	3.4310832023620605
0-37	0	37	2.957132339477539
0-38	0	38	3.623910427093506
0-39	0	39	3.773355007171631
0-40	0	40	2.7210726737976074
0-41	0	41	2.826709270477295
0-42	0	42	3.246936082839966
0-43	0	43	3.3616182804107666
0-44	0	44	3.038464307785034
0-45	0	45	3.5607247352600098
0-46	0	46	2.7863430976867676
0-47	0	47	2.598940849304199
0-48	0	48	2.7440378665924072
0-49	0	49	3.6874608993530273
0-50	0	50	3.348172664642334
0-51	0	51	3.102790355682373
0-52	0	52	3.0871434211730957
0-53	0	53	3.474008560180664
0-54	0	54	3.0777056217193604
0-55	0	55	3.1144518852233887
0-56	0	56	2.618544578552246
0-57	0	57	2.975844383239746
0-58	0	58	3.4381608963012695
0-59	0	59	2.692249298095703
0-60	0	60	3.478482723236084
0-61	0	61	3.408284902572632
0-62	0	62	2.987027168273926
0-63	0	63	2.5002312660217285
0-64	0	64	3.304161787033081
0-65	0	65	3.2236716747283936
0-66	0	66	3.380469799041748
0-67	0	67	2.7192087173461914
0-68	0	68	3.1453373432159424
0-69	0	69	2.81023907661438
0-70	0	70	3.125114917755127
1-0	1	0	3.550215244293213
1-1	1	1	3.045949697494507
1-2	1	2	2.7559196949005127
1-3	1	3	2.846564292907715
1-4	1	4	2.8806095123291016
1-5	1	5	2.7967450618743896
1-6	1	6	2.9550766944885254
1-7	1	7	2.9824256896972656
1-8	1	8	2.9154131412506104
1-9	1	9	2.6613211631774902
1-10	1	10	2.7926266193389893
1-11	1	11	2.7754814624786377
1-12	1	12	2.7743844985961914
1-13	1	13	2.5487353801727295
1-14	1	14	2.479499101638794
1-15	1	15	2.7796759605407715
1-16	1	16	2.9659016132354736
1-17	1	17	2.6726884841918945
1-18	1	18	3.2983431816101074
1-19	1	19	2.893571138381958
1-20	1	20	2.876877784729004
1-21	1	21	3.311276912689209
1-22	1	22	2.837646245956421
1-23	1	23	2.747979164123535
1-24	1	24	3.0797269344329834
1-25	1	25	2.528613328933716
1-26	1	26	2.558988571166992
1-27	1	27	3.234602212905884
1-28	1	28	2.6056272983551025
1-29	1	29	2.8380720615386963
1-30	1	30	2.698185920715332
1-31	1	31	3.1327219009399414
1-32	1	32	2.66025972366333
1-33	1	33	2.4849305152893066
1-34	1	34	2.562784433364868
1-35	1	35	2.261151075363159
1-36	1	36	2.5586748123168945
1-37	1	37	3.1100571155548096
1-38	1	38	2.6549291610717773
1-39	1	39	2.813394784927368
1-40	1	40	2.7259867191314697
1-41	1	41	2.9396235942840576
1-42	1	42	2.5238192081451416
1-43	1	43	2.583014488220215
1-44	1	44	2.7631239891052246
1-45	1	45	2.4272847175598145
1-46	1	46	2.9288618564605713
1-47	1	47	2.2979369163513184
1-48	1	48	2.9838926792144775
1-49	1	49	2.4161782264709473
1-50	1	50	3.124539613723755
