index	epoch	batch	loss
0-0	0	0	4.311388969421387
0-1	0	1	3.7062089443206787
0-2	0	2	4.6320037841796875
0-3	0	3	3.4165077209472656
0-4	0	4	4.289245128631592
0-5	0	5	3.379343032836914
0-6	0	6	3.3345448970794678
0-7	0	7	3.5049376487731934
0-8	0	8	3.5894765853881836
0-9	0	9	3.0246407985687256
0-10	0	10	4.049810886383057
0-11	0	11	3.2721683979034424
0-12	0	12	3.9775919914245605
0-13	0	13	3.6187446117401123
0-14	0	14	3.3069446086883545
0-15	0	15	3.3352303504943848
0-16	0	16	3.537874460220337
0-17	0	17	3.813091278076172
0-18	0	18	3.5102784633636475
0-19	0	19	3.8964993953704834
0-20	0	20	3.9905307292938232
0-21	0	21	3.5392704010009766
0-22	0	22	3.278010129928589
0-23	0	23	3.3198256492614746
0-24	0	24	3.7860107421875
0-25	0	25	3.6309852600097656
0-26	0	26	3.65983247756958
0-27	0	27	3.72023868560791
0-28	0	28	3.285966396331787
0-29	0	29	3.247004747390747
0-30	0	30	2.8130300045013428
0-31	0	31	3.652822732925415
0-32	0	32	3.0978963375091553
0-33	0	33	3.29660701751709
0-34	0	34	3.250014543533325
0-35	0	35	3.2441093921661377
0-36	0	36	3.2116570472717285
0-37	0	37	3.1533234119415283
0-38	0	38	3.6232199668884277
0-39	0	39	2.901879072189331
0-40	0	40	3.5495858192443848
0-41	0	41	2.8745031356811523
0-42	0	42	3.1498758792877197
0-43	0	43	2.9867630004882812
0-44	0	44	3.211226224899292
0-45	0	45	2.9927303791046143
0-46	0	46	3.1610660552978516
0-47	0	47	3.1810858249664307
0-48	0	48	3.4945974349975586
0-49	0	49	3.3564651012420654
0-50	0	50	3.187291383743286
0-51	0	51	3.3637497425079346
0-52	0	52	2.950577974319458
0-53	0	53	2.857614517211914
0-54	0	54	2.9903383255004883
0-55	0	55	3.1440250873565674
0-56	0	56	2.884535074234009
0-57	0	57	3.3819329738616943
0-58	0	58	3.035127639770508
0-59	0	59	2.593501329421997
0-60	0	60	3.1073226928710938
0-61	0	61	2.745565414428711
0-62	0	62	3.2486166954040527
0-63	0	63	2.926889419555664
0-64	0	64	2.8995347023010254
0-65	0	65	3.376596689224243
0-66	0	66	3.1031441688537598
0-67	0	67	3.0276434421539307
0-68	0	68	2.826204538345337
0-69	0	69	2.3669590950012207
0-70	0	70	3.1508350372314453
1-0	1	0	2.8973331451416016
1-1	1	1	2.7778687477111816
1-2	1	2	3.413255453109741
1-3	1	3	2.7874245643615723
1-4	1	4	2.880223274230957
1-5	1	5	3.0834572315216064
1-6	1	6	3.3759117126464844
1-7	1	7	2.890781879425049
1-8	1	8	2.7794599533081055
1-9	1	9	2.8507778644561768
1-10	1	10	3.0382516384124756
1-11	1	11	2.7507505416870117
1-12	1	12	2.672699213027954
1-13	1	13	3.016897439956665
1-14	1	14	2.8175206184387207
1-15	1	15	2.852635383605957
1-16	1	16	2.9936888217926025
1-17	1	17	2.949777126312256
1-18	1	18	3.288973808288574
1-19	1	19	2.81765079498291
1-20	1	20	2.950430154800415
1-21	1	21	2.897233247756958
1-22	1	22	2.9401819705963135
1-23	1	23	3.2647457122802734
1-24	1	24	3.1113922595977783
1-25	1	25	2.792854070663452
