index	epoch	batch	loss
0-0	0	0	4.183157920837402
0-1	0	1	4.450684070587158
0-2	0	2	3.891324043273926
0-3	0	3	4.802346229553223
0-4	0	4	4.25275993347168
0-5	0	5	3.89705228805542
0-6	0	6	4.100744724273682
0-7	0	7	3.5341267585754395
0-8	0	8	4.240666389465332
0-9	0	9	3.3880717754364014
0-10	0	10	3.2631702423095703
0-11	0	11	3.6051673889160156
0-12	0	12	3.9948391914367676
0-13	0	13	3.8264405727386475
0-14	0	14	3.294062376022339
0-15	0	15	3.4906270503997803
0-16	0	16	3.7000341415405273
0-17	0	17	4.308708667755127
0-18	0	18	3.0587992668151855
0-19	0	19	2.801225185394287
0-20	0	20	3.6673879623413086
0-21	0	21	3.0311834812164307
0-22	0	22	3.686918020248413
0-23	0	23	3.256732940673828
0-24	0	24	2.867316961288452
0-25	0	25	3.3359267711639404
0-26	0	26	3.581188440322876
0-27	0	27	3.34454345703125
0-28	0	28	3.5101404190063477
0-29	0	29	2.986802339553833
0-30	0	30	3.6140964031219482
0-31	0	31	3.2694032192230225
0-32	0	32	3.3567419052124023
0-33	0	33	3.714590311050415
0-34	0	34	3.2635343074798584
0-35	0	35	3.0610880851745605
0-36	0	36	3.676487922668457
0-37	0	37	3.175370454788208
0-38	0	38	3.524135112762451
0-39	0	39	3.0695180892944336
0-40	0	40	3.1417133808135986
0-41	0	41	3.349435329437256
0-42	0	42	2.6506762504577637
0-43	0	43	3.7946534156799316
0-44	0	44	2.822680711746216
0-45	0	45	3.4706127643585205
0-46	0	46	2.86509108543396
0-47	0	47	3.120033025741577
0-48	0	48	3.3859481811523438
0-49	0	49	2.7730298042297363
0-50	0	50	3.1855628490448
0-51	0	51	3.069855213165283
0-52	0	52	3.116971254348755
0-53	0	53	3.308572769165039
0-54	0	54	3.2794549465179443
0-55	0	55	3.0718281269073486
0-56	0	56	2.850033760070801
0-57	0	57	2.826093912124634
0-58	0	58	3.1934800148010254
0-59	0	59	2.6461801528930664
0-60	0	60	2.9293622970581055
0-61	0	61	2.9660768508911133
0-62	0	62	2.6808230876922607
0-63	0	63	3.007139205932617
0-64	0	64	2.586543560028076
0-65	0	65	3.0494437217712402
0-66	0	66	2.7993321418762207
0-67	0	67	3.3116700649261475
0-68	0	68	3.081535816192627
0-69	0	69	2.6089892387390137
0-70	0	70	2.570129871368408
1-0	1	0	2.666491985321045
1-1	1	1	3.168647289276123
1-2	1	2	2.745013475418091
1-3	1	3	2.7024667263031006
1-4	1	4	2.83807635307312
1-5	1	5	2.472691297531128
1-6	1	6	3.071284532546997
1-7	1	7	2.3961308002471924
1-8	1	8	3.091362714767456
1-9	1	9	2.9195098876953125
1-10	1	10	2.7964882850646973
1-11	1	11	3.1280465126037598
1-12	1	12	2.8031163215637207
1-13	1	13	2.8750083446502686
1-14	1	14	2.816779851913452
1-15	1	15	2.7564127445220947
1-16	1	16	2.891573905944824
1-17	1	17	3.0535614490509033
1-18	1	18	2.4622225761413574
1-19	1	19	2.8632094860076904
1-20	1	20	2.880423069000244
1-21	1	21	2.7313973903656006
1-22	1	22	2.7682390213012695
1-23	1	23	2.5929713249206543
1-24	1	24	3.099463701248169
1-25	1	25	3.2000279426574707
1-26	1	26	2.776538848876953
1-27	1	27	2.6730093955993652
1-28	1	28	2.791267156600952
1-29	1	29	2.6952593326568604
1-30	1	30	2.859954833984375
1-31	1	31	2.7920138835906982
1-32	1	32	2.700617790222168
1-33	1	33	2.550374984741211
1-34	1	34	2.7971725463867188
1-35	1	35	2.7355802059173584
1-36	1	36	3.145766019821167
1-37	1	37	2.8053581714630127
1-38	1	38	2.922137498855591
1-39	1	39	3.0184102058410645
1-40	1	40	2.681891441345215
1-41	1	41	2.6180267333984375
1-42	1	42	3.043201208114624
1-43	1	43	2.5247271060943604
1-44	1	44	2.433730363845825
1-45	1	45	2.820794105529785
1-46	1	46	3.0403892993927
1-47	1	47	2.517549514770508
1-48	1	48	2.4044651985168457
1-49	1	49	2.1568763256073
1-50	1	50	2.650233268737793
1-51	1	51	2.837526559829712
1-52	1	52	2.431293249130249
1-53	1	53	2.8049471378326416
1-54	1	54	2.857722282409668
1-55	1	55	2.5045244693756104
1-56	1	56	2.8765830993652344
1-57	1	57	2.4626388549804688
1-58	1	58	3.020000696182251
1-59	1	59	2.104600191116333
1-60	1	60	3.271658420562744
1-61	1	61	2.685941457748413
1-62	1	62	3.0483644008636475
1-63	1	63	2.7265353202819824
1-64	1	64	2.496891975402832
1-65	1	65	2.5462400913238525
1-66	1	66	2.450366973876953
1-67	1	67	2.5770599842071533
1-68	1	68	2.729945421218872
1-69	1	69	2.916778087615967
1-70	1	70	2.54670786857605
2-0	2	0	2.6089401245117188
2-1	2	1	2.487750768661499
2-2	2	2	2.423720598220825
2-3	2	3	2.6746230125427246
2-4	2	4	2.7780277729034424
2-5	2	5	2.9657094478607178
2-6	2	6	2.776257276535034
2-7	2	7	2.6112489700317383
2-8	2	8	2.6534841060638428
2-9	2	9	2.902517557144165
2-10	2	10	2.449958324432373
2-11	2	11	2.2771239280700684
2-12	2	12	2.6230556964874268
2-13	2	13	2.527667760848999
2-14	2	14	2.9220752716064453
2-15	2	15	2.4953408241271973
2-16	2	16	2.5091779232025146
2-17	2	17	2.5120415687561035
2-18	2	18	2.776827812194824
2-19	2	19	2.9024288654327393
2-20	2	20	2.162207841873169
2-21	2	21	2.8824596405029297
2-22	2	22	2.943927049636841
2-23	2	23	2.284903049468994
2-24	2	24	2.532853364944458
2-25	2	25	2.063523769378662
2-26	2	26	2.146605968475342
2-27	2	27	2.533017158508301
2-28	2	28	2.184417247772217
2-29	2	29	2.403247117996216
2-30	2	30	2.748649835586548
2-31	2	31	2.569324254989624
2-32	2	32	2.7222630977630615
2-33	2	33	2.7516844272613525
2-34	2	34	2.487823009490967
2-35	2	35	2.4970169067382812
2-36	2	36	2.787815570831299
2-37	2	37	2.3618946075439453
2-38	2	38	2.337890148162842
2-39	2	39	2.146559715270996
2-40	2	40	2.7231380939483643
2-41	2	41	2.5267019271850586
2-42	2	42	2.179753065109253
2-43	2	43	2.17684268951416
2-44	2	44	2.3856592178344727
2-45	2	45	2.009918451309204
2-46	2	46	2.5172035694122314
2-47	2	47	1.9468902349472046
2-48	2	48	2.4622771739959717
2-49	2	49	2.5745012760162354
2-50	2	50	2.5760602951049805
2-51	2	51	2.2133705615997314
2-52	2	52	2.533809185028076
2-53	2	53	2.31282377243042
2-54	2	54	2.6268105506896973
2-55	2	55	2.5864107608795166
2-56	2	56	2.2783803939819336
2-57	2	57	2.457141876220703
2-58	2	58	2.282505512237549
2-59	2	59	2.3063721656799316
2-60	2	60	2.3572192192077637
2-61	2	61	2.2399239540100098
2-62	2	62	2.8154683113098145
2-63	2	63	2.635500192642212
2-64	2	64	2.1024365425109863
2-65	2	65	2.688055992126465
2-66	2	66	2.9643187522888184
2-67	2	67	2.2110259532928467
2-68	2	68	2.5175623893737793
2-69	2	69	2.752512216567993
2-70	2	70	3.3459255695343018
3-0	3	0	2.7478063106536865
