index	epoch	batch	loss
0-0	0	0	6.488329887390137
0-1	0	1	4.415663719177246
0-2	0	2	4.688547134399414
0-3	0	3	4.633739948272705
0-4	0	4	4.335711479187012
0-5	0	5	4.280532360076904
0-6	0	6	4.712830066680908
0-7	0	7	4.397858142852783
0-8	0	8	3.681184768676758
0-9	0	9	4.288407802581787
0-10	0	10	3.8137974739074707
0-11	0	11	3.910661458969116
0-12	0	12	4.073500633239746
0-13	0	13	4.052069187164307
0-14	0	14	3.9051475524902344
0-15	0	15	3.111433267593384
0-16	0	16	3.962106704711914
0-17	0	17	3.431135416030884
0-18	0	18	4.111715316772461
0-19	0	19	3.396695852279663
0-20	0	20	3.383435010910034
0-21	0	21	3.9100124835968018
0-22	0	22	3.3891148567199707
0-23	0	23	3.285221815109253
0-24	0	24	3.294914484024048
0-25	0	25	3.472666025161743
0-26	0	26	3.598428249359131
0-27	0	27	2.8505659103393555
0-28	0	28	3.1464037895202637
0-29	0	29	3.130563974380493
0-30	0	30	3.691728353500366
0-31	0	31	3.7543859481811523
0-32	0	32	3.188547134399414
0-33	0	33	3.572036027908325
0-34	0	34	3.5305118560791016
0-35	0	35	4.206931114196777
0-36	0	36	3.1401612758636475
0-37	0	37	3.2086195945739746
0-38	0	38	3.3166258335113525
0-39	0	39	3.004213809967041
0-40	0	40	3.835658550262451
0-41	0	41	3.0193960666656494
0-42	0	42	2.6817286014556885
0-43	0	43	3.638914108276367
0-44	0	44	3.117602825164795
0-45	0	45	2.767728090286255
0-46	0	46	2.9016036987304688
0-47	0	47	3.160461664199829
0-48	0	48	3.271923780441284
0-49	0	49	3.612313747406006
0-50	0	50	3.2629284858703613
0-51	0	51	3.15297269821167
0-52	0	52	3.3241002559661865
0-53	0	53	3.549778461456299
0-54	0	54	2.8571183681488037
0-55	0	55	2.949864149093628
0-56	0	56	2.9969594478607178
0-57	0	57	3.2597579956054688
0-58	0	58	3.101431131362915
0-59	0	59	2.9180147647857666
0-60	0	60	3.1207118034362793
0-61	0	61	3.150465726852417
0-62	0	62	3.2215495109558105
0-63	0	63	3.182328701019287
0-64	0	64	2.7273600101470947
0-65	0	65	3.3882408142089844
0-66	0	66	2.9695751667022705
0-67	0	67	2.9501349925994873
0-68	0	68	2.6479086875915527
0-69	0	69	3.1377241611480713
0-70	0	70	3.4707717895507812
1-0	1	0	2.8061628341674805
1-1	1	1	2.9844272136688232
1-2	1	2	2.587425947189331
1-3	1	3	3.226245403289795
1-4	1	4	2.6100363731384277
1-5	1	5	2.9830703735351562
1-6	1	6	2.5388355255126953
1-7	1	7	2.7212207317352295
1-8	1	8	2.506979465484619
1-9	1	9	2.8830530643463135
1-10	1	10	2.590554714202881
1-11	1	11	3.0397372245788574
1-12	1	12	2.6938748359680176
1-13	1	13	2.7340340614318848
1-14	1	14	3.2411086559295654
1-15	1	15	2.900601387023926
1-16	1	16	2.3785057067871094
1-17	1	17	2.616769790649414
1-18	1	18	2.688530683517456
1-19	1	19	2.4331536293029785
1-20	1	20	2.317667245864868
1-21	1	21	2.6046998500823975
1-22	1	22	3.1998512744903564
1-23	1	23	2.8390114307403564
1-24	1	24	2.0286381244659424
1-25	1	25	2.5899040699005127
1-26	1	26	2.5795388221740723
1-27	1	27	2.7658143043518066
1-28	1	28	2.5072453022003174
1-29	1	29	2.8284456729888916
1-30	1	30	2.295283079147339
1-31	1	31	2.4332547187805176
1-32	1	32	2.9312472343444824
1-33	1	33	2.5123016834259033
1-34	1	34	3.2633798122406006
1-35	1	35	2.570265769958496
1-36	1	36	2.795626640319824
1-37	1	37	2.4707696437835693
1-38	1	38	2.4874980449676514
1-39	1	39	3.219212293624878
1-40	1	40	3.009582996368408
1-41	1	41	2.928159236907959
1-42	1	42	2.460886001586914
1-43	1	43	2.4373347759246826
1-44	1	44	2.7831201553344727
1-45	1	45	2.7592036724090576
1-46	1	46	2.6051735877990723
1-47	1	47	2.57352352142334
1-48	1	48	2.432995319366455
1-49	1	49	3.0805962085723877
1-50	1	50	2.848341464996338
1-51	1	51	2.6864993572235107
1-52	1	52	2.485297203063965
1-53	1	53	2.585935115814209
1-54	1	54	2.4118878841400146
1-55	1	55	2.3800981044769287
1-56	1	56	2.294236660003662
1-57	1	57	2.461085081100464
1-58	1	58	2.6297054290771484
1-59	1	59	2.744263172149658
1-60	1	60	2.7796454429626465
1-61	1	61	3.020556926727295
1-62	1	62	2.883821964263916
1-63	1	63	2.380108118057251
1-64	1	64	2.5184409618377686
1-65	1	65	2.4189345836639404
1-66	1	66	2.6456260681152344
1-67	1	67	2.838151216506958
1-68	1	68	2.003053665161133
1-69	1	69	2.827336549758911
1-70	1	70	2.4695191383361816
2-0	2	0	2.7478315830230713
2-1	2	1	2.6572365760803223
2-2	2	2	2.6792163848876953
2-3	2	3	2.1926212310791016
2-4	2	4	2.9900879859924316
2-5	2	5	2.7897918224334717
2-6	2	6	2.478926420211792
2-7	2	7	2.5611886978149414
2-8	2	8	2.863995313644409
2-9	2	9	2.7013845443725586
2-10	2	10	2.366152763366699
2-11	2	11	2.460097074508667
2-12	2	12	2.7766640186309814
2-13	2	13	2.5819153785705566
2-14	2	14	2.260854721069336
2-15	2	15	2.494659900665283
2-16	2	16	2.252852439880371
2-17	2	17	2.3317086696624756
2-18	2	18	2.0294125080108643
2-19	2	19	2.734053134918213
2-20	2	20	2.3538711071014404
2-21	2	21	2.8500444889068604
2-22	2	22	2.5406036376953125
2-23	2	23	2.525348663330078
2-24	2	24	2.2366645336151123
2-25	2	25	2.495734691619873
2-26	2	26	2.5356178283691406
2-27	2	27	2.5240933895111084
2-28	2	28	2.211822032928467
2-29	2	29	2.665316343307495
2-30	2	30	2.4603168964385986
2-31	2	31	2.6940784454345703
2-32	2	32	2.2460215091705322
2-33	2	33	2.7632546424865723
2-34	2	34	2.4047017097473145
2-35	2	35	2.7261080741882324
2-36	2	36	2.500584363937378
2-37	2	37	2.7095513343811035
2-38	2	38	2.4001901149749756
2-39	2	39	2.4400439262390137
2-40	2	40	2.9635307788848877
2-41	2	41	2.7032854557037354
2-42	2	42	2.496262311935425
2-43	2	43	2.699517250061035
2-44	2	44	2.713273286819458
2-45	2	45	2.60539174079895
2-46	2	46	2.399482250213623
2-47	2	47	2.4244544506073
2-48	2	48	3.0106756687164307
2-49	2	49	2.5624537467956543
2-50	2	50	2.626955270767212
2-51	2	51	2.545699119567871
2-52	2	52	2.4486026763916016
2-53	2	53	2.2805237770080566
2-54	2	54	2.4450247287750244
2-55	2	55	2.488171100616455
2-56	2	56	2.7715260982513428
2-57	2	57	2.6341564655303955
2-58	2	58	2.3312618732452393
2-59	2	59	2.6051676273345947
2-60	2	60	2.8984227180480957
2-61	2	61	2.2266976833343506
2-62	2	62	2.164447069168091
2-63	2	63	2.5822134017944336
2-64	2	64	2.467129707336426
2-65	2	65	2.0896310806274414
2-66	2	66	2.3700265884399414
2-67	2	67	2.5025110244750977
2-68	2	68	2.4805188179016113
2-69	2	69	2.4951860904693604
2-70	2	70	2.3551599979400635
3-0	3	0	2.6878104209899902
3-1	3	1	2.4708950519561768
3-2	3	2	2.358269214630127
3-3	3	3	2.029104232788086
3-4	3	4	2.3651845455169678
3-5	3	5	2.2759652137756348
3-6	3	6	2.3188157081604004
3-7	3	7	2.309852123260498
3-8	3	8	2.6632320880889893
3-9	3	9	1.9640415906906128
3-10	3	10	2.2396347522735596
3-11	3	11	2.122368812561035
3-12	3	12	2.329197645187378
3-13	3	13	2.5254366397857666
3-14	3	14	2.4463601112365723
3-15	3	15	2.3792688846588135
3-16	3	16	2.565749406814575
3-17	3	17	2.1838183403015137
3-18	3	18	2.2210776805877686
3-19	3	19	2.582284927368164
3-20	3	20	2.1226508617401123
3-21	3	21	2.382478713989258
3-22	3	22	2.4894862174987793
3-23	3	23	2.337641716003418
3-24	3	24	2.645392417907715
3-25	3	25	2.331085443496704
3-26	3	26	2.263204336166382
3-27	3	27	2.1944797039031982
