index	epoch	batch	loss
0-0	0	0	4.082148551940918
0-1	0	1	4.638118267059326
0-2	0	2	3.5427563190460205
0-3	0	3	3.173759698867798
0-4	0	4	3.544391393661499
0-5	0	5	3.50595760345459
0-6	0	6	3.8211801052093506
0-7	0	7	3.511580228805542
0-8	0	8	3.743344306945801
0-9	0	9	3.780594825744629
0-10	0	10	3.5884294509887695
0-11	0	11	3.8330750465393066
0-12	0	12	3.1458301544189453
0-13	0	13	3.897878646850586
0-14	0	14	3.3405797481536865
0-15	0	15	3.6106152534484863
0-16	0	16	4.398099422454834
0-17	0	17	2.7966465950012207
0-18	0	18	3.5720059871673584
0-19	0	19	2.9883475303649902
0-20	0	20	3.107341766357422
0-21	0	21	2.8433830738067627
0-22	0	22	3.306898832321167
0-23	0	23	3.2752811908721924
0-24	0	24	3.0497446060180664
0-25	0	25	3.158364772796631
0-26	0	26	3.0136168003082275
0-27	0	27	3.0507946014404297
0-28	0	28	2.88322377204895
0-29	0	29	2.779294013977051
0-30	0	30	2.9708240032196045
0-31	0	31	2.8291804790496826
0-32	0	32	2.9861278533935547
0-33	0	33	2.379364490509033
0-34	0	34	2.6740543842315674
0-35	0	35	2.532437562942505
0-36	0	36	3.2653467655181885
0-37	0	37	2.8096463680267334
0-38	0	38	2.4947047233581543
0-39	0	39	2.9866976737976074
0-40	0	40	2.6827425956726074
0-41	0	41	2.849675178527832
0-42	0	42	2.430647134780884
0-43	0	43	2.9520835876464844
0-44	0	44	2.90169620513916
0-45	0	45	2.648094654083252
0-46	0	46	2.3277766704559326
0-47	0	47	2.037919521331787
0-48	0	48	2.8611977100372314
0-49	0	49	2.4430460929870605
0-50	0	50	2.7566208839416504
0-51	0	51	2.538039207458496
0-52	0	52	2.582956314086914
0-53	0	53	2.2879698276519775
0-54	0	54	2.4138617515563965
0-55	0	55	2.9592413902282715
0-56	0	56	2.530963659286499
0-57	0	57	2.344831943511963
0-58	0	58	2.604099750518799
0-59	0	59	2.3906142711639404
0-60	0	60	3.146308183670044
0-61	0	61	2.6579158306121826
0-62	0	62	2.8346707820892334
0-63	0	63	2.44555401802063
0-64	0	64	2.586606979370117
0-65	0	65	2.584888458251953
0-66	0	66	1.9753252267837524
0-67	0	67	2.5017948150634766
0-68	0	68	2.1324567794799805
0-69	0	69	2.2329187393188477
0-70	0	70	2.713576555252075
0-71	0	71	2.03005313873291
0-72	0	72	1.957345724105835
0-73	0	73	2.71722412109375
0-74	0	74	2.5377357006073
0-75	0	75	2.2376835346221924
0-76	0	76	2.1411149501800537
0-77	0	77	2.514604091644287
0-78	0	78	1.8315476179122925
1-0	1	0	2.8017473220825195
1-1	1	1	2.3565075397491455
1-2	1	2	2.2139647006988525
1-3	1	3	2.2816920280456543
1-4	1	4	2.197415351867676
1-5	1	5	2.2357258796691895
1-6	1	6	2.217878818511963
1-7	1	7	2.4907987117767334
1-8	1	8	2.0705666542053223
1-9	1	9	2.181020498275757
1-10	1	10	2.364320993423462
1-11	1	11	1.8722939491271973
1-12	1	12	1.8750056028366089
1-13	1	13	2.271794557571411
1-14	1	14	2.1310040950775146
1-15	1	15	1.959808349609375
1-16	1	16	2.4824225902557373
1-17	1	17	2.4115121364593506
1-18	1	18	2.398092269897461
1-19	1	19	2.7841365337371826
1-20	1	20	2.0423574447631836
1-21	1	21	2.1531898975372314
1-22	1	22	1.7777118682861328
1-23	1	23	2.1345651149749756
1-24	1	24	2.196157455444336
1-25	1	25	1.839247226715088
1-26	1	26	2.336071729660034
1-27	1	27	2.085097551345825
1-28	1	28	1.8327481746673584
1-29	1	29	2.425400495529175
1-30	1	30	2.092094898223877
1-31	1	31	2.2173943519592285
1-32	1	32	2.0971620082855225
1-33	1	33	1.9107352495193481
1-34	1	34	1.964571475982666
1-35	1	35	1.8555728197097778
1-36	1	36	2.2973384857177734
1-37	1	37	1.9462554454803467
1-38	1	38	2.049724578857422
1-39	1	39	2.2213151454925537
1-40	1	40	2.119014263153076
1-41	1	41	2.031236410140991
1-42	1	42	1.922631025314331
1-43	1	43	1.9542988538742065
1-44	1	44	1.979567050933838
1-45	1	45	1.8943501710891724
1-46	1	46	2.0185487270355225
1-47	1	47	2.131978750228882
1-48	1	48	2.041292428970337
1-49	1	49	1.7621111869812012
1-50	1	50	1.8102000951766968
1-51	1	51	2.259554147720337
1-52	1	52	2.038360118865967
1-53	1	53	1.7537018060684204
1-54	1	54	1.724124550819397
1-55	1	55	2.2308130264282227
1-56	1	56	1.9138636589050293
1-57	1	57	2.385817289352417
1-58	1	58	1.9359848499298096
1-59	1	59	1.891646146774292
1-60	1	60	2.1312248706817627
1-61	1	61	1.921828269958496
1-62	1	62	1.9703999757766724
1-63	1	63	2.1187903881073
1-64	1	64	1.5602694749832153
1-65	1	65	1.8586249351501465
1-66	1	66	1.811716079711914
1-67	1	67	1.8637505769729614
1-68	1	68	1.67990243434906
1-69	1	69	2.0861287117004395
1-70	1	70	2.1643593311309814
1-71	1	71	2.036714792251587
1-72	1	72	1.8549708127975464
1-73	1	73	2.349757671356201
1-74	1	74	1.7673358917236328
1-75	1	75	2.011120080947876
1-76	1	76	1.9647377729415894
1-77	1	77	1.952322006225586
1-78	1	78	1.6407371759414673
2-0	2	0	2.2832279205322266
2-1	2	1	1.747903823852539
2-2	2	2	2.115623712539673
2-3	2	3	1.828332543373108
2-4	2	4	1.6443872451782227
2-5	2	5	2.2261106967926025
2-6	2	6	1.9177014827728271
2-7	2	7	2.242804765701294
2-8	2	8	1.9634599685668945
2-9	2	9	1.5492206811904907
2-10	2	10	1.771539568901062
2-11	2	11	1.5234028100967407
2-12	2	12	1.612136960029602
2-13	2	13	2.1199512481689453
2-14	2	14	1.8827778100967407
2-15	2	15	1.936435580253601
2-16	2	16	2.003286123275757
2-17	2	17	1.4491456747055054
2-18	2	18	1.9572504758834839
2-19	2	19	1.557806372642517
2-20	2	20	1.5766435861587524
2-21	2	21	1.7996994256973267
2-22	2	22	2.014371871948242
2-23	2	23	1.6948696374893188
2-24	2	24	1.8451555967330933
2-25	2	25	1.6231300830841064
2-26	2	26	2.0945582389831543
2-27	2	27	1.4044033288955688
2-28	2	28	1.5059260129928589
2-29	2	29	1.8167433738708496
2-30	2	30	1.7915083169937134
2-31	2	31	1.830170750617981
2-32	2	32	1.8573344945907593
2-33	2	33	1.6788833141326904
2-34	2	34	2.3020527362823486
2-35	2	35	1.731606125831604
2-36	2	36	1.62326979637146
2-37	2	37	1.5912708044052124
2-38	2	38	1.4784942865371704
2-39	2	39	1.363125205039978
2-40	2	40	1.724878191947937
2-41	2	41	1.3746308088302612
2-42	2	42	1.6059181690216064
2-43	2	43	1.7042441368103027
2-44	2	44	1.6808323860168457
2-45	2	45	1.5228993892669678
2-46	2	46	1.8707321882247925
2-47	2	47	1.7130885124206543
2-48	2	48	1.527649998664856
2-49	2	49	1.677802324295044
2-50	2	50	1.5095378160476685
2-51	2	51	2.1064329147338867
2-52	2	52	1.3970346450805664
2-53	2	53	1.60259211063385
2-54	2	54	1.7191212177276611
2-55	2	55	1.7001373767852783
2-56	2	56	1.3343214988708496
2-57	2	57	1.4228779077529907
2-58	2	58	1.5882391929626465
2-59	2	59	1.2817535400390625
2-60	2	60	1.6212350130081177
2-61	2	61	1.3207018375396729
2-62	2	62	1.55989408493042
2-63	2	63	2.1606175899505615
2-64	2	64	1.9250634908676147
2-65	2	65	1.3259646892547607
2-66	2	66	1.6752269268035889
2-67	2	67	1.400258183479309
2-68	2	68	1.5736490488052368
2-69	2	69	1.7607017755508423
2-70	2	70	1.453721284866333
2-71	2	71	1.576996088027954
2-72	2	72	1.2024048566818237
2-73	2	73	2.116170883178711
2-74	2	74	1.801390290260315
2-75	2	75	1.5976251363754272
2-76	2	76	1.7251547574996948
2-77	2	77	1.6744929552078247
2-78	2	78	1.6096800565719604
3-0	3	0	2.1506142616271973
3-1	3	1	1.7637001276016235
3-2	3	2	2.0526905059814453
3-3	3	3	1.3770275115966797
3-4	3	4	1.6123855113983154
3-5	3	5	2.0762767791748047
3-6	3	6	1.4868297576904297
3-7	3	7	1.9488567113876343
3-8	3	8	1.7081936597824097
3-9	3	9	2.1539201736450195
3-10	3	10	1.3460077047348022
3-11	3	11	1.6664708852767944
3-12	3	12	1.4829484224319458
3-13	3	13	1.7407561540603638
3-14	3	14	1.8221960067749023
3-15	3	15	1.7732875347137451
3-16	3	16	2.0043463706970215
3-17	3	17	1.6942007541656494
3-18	3	18	1.789371371269226
3-19	3	19	1.9175779819488525
3-20	3	20	1.4287230968475342
3-21	3	21	1.8090863227844238
3-22	3	22	1.5306752920150757
3-23	3	23	1.5819555521011353
3-24	3	24	1.667685627937317
3-25	3	25	1.60386061668396
3-26	3	26	1.5328700542449951
3-27	3	27	1.425539255142212
3-28	3	28	1.6554255485534668
3-29	3	29	1.630612850189209
3-30	3	30	1.5992015600204468
3-31	3	31	1.5893714427947998
3-32	3	32	1.6159535646438599
3-33	3	33	1.8675569295883179
3-34	3	34	1.8453090190887451
3-35	3	35	1.5078269243240356
3-36	3	36	1.3973639011383057
3-37	3	37	1.7890442609786987
3-38	3	38	1.6038870811462402
3-39	3	39	1.6769176721572876
3-40	3	40	1.4927916526794434
3-41	3	41	1.6125966310501099
3-42	3	42	1.8139241933822632
3-43	3	43	1.5589885711669922
3-44	3	44	1.8080952167510986
3-45	3	45	1.5096845626831055
3-46	3	46	1.767129898071289
3-47	3	47	1.16680109500885
3-48	3	48	1.4403252601623535
3-49	3	49	1.3122766017913818
3-50	3	50	1.4697456359863281
3-51	3	51	1.7932385206222534
3-52	3	52	1.7697571516036987
3-53	3	53	1.7995281219482422
3-54	3	54	1.463598608970642
3-55	3	55	1.7393240928649902
3-56	3	56	1.4466438293457031
3-57	3	57	1.4930170774459839
3-58	3	58	1.6031633615493774
3-59	3	59	1.3496776819229126
3-60	3	60	1.587408185005188
3-61	3	61	1.0868159532546997
3-62	3	62	1.8445347547531128
3-63	3	63	1.7451220750808716
3-64	3	64	1.4947654008865356
3-65	3	65	1.3530757427215576
3-66	3	66	1.589911937713623
3-67	3	67	1.725846767425537
3-68	3	68	1.3201674222946167
3-69	3	69	1.3254637718200684
3-70	3	70	1.5756491422653198
3-71	3	71	1.4778629541397095
3-72	3	72	1.5376079082489014
3-73	3	73	1.4551360607147217
3-74	3	74	1.3746353387832642
3-75	3	75	1.3278948068618774
3-76	3	76	1.336801528930664
3-77	3	77	1.709840178489685
3-78	3	78	1.8273431062698364
4-0	4	0	2.1120903491973877
4-1	4	1	1.4042168855667114
4-2	4	2	1.7431917190551758
4-3	4	3	1.4520881175994873
4-4	4	4	2.0026891231536865
4-5	4	5	1.5700184106826782
4-6	4	6	1.76454758644104
4-7	4	7	1.9445263147354126
4-8	4	8	1.7969475984573364
4-9	4	9	1.9073576927185059
4-10	4	10	1.6593072414398193
4-11	4	11	1.5467455387115479
4-12	4	12	1.567253828048706
4-13	4	13	1.5904308557510376
4-14	4	14	1.6251740455627441
4-15	4	15	1.9294582605361938
4-16	4	16	2.042832851409912
4-17	4	17	1.544825792312622
4-18	4	18	2.073700428009033
4-19	4	19	1.8013286590576172
4-20	4	20	1.801516056060791
4-21	4	21	1.4810187816619873
4-22	4	22	1.44263756275177
4-23	4	23	1.7078726291656494
4-24	4	24	1.4168697595596313
4-25	4	25	1.2578154802322388
4-26	4	26	1.4001030921936035
4-27	4	27	1.2874598503112793
4-28	4	28	1.7706031799316406
4-29	4	29	1.5658543109893799
4-30	4	30	1.6479899883270264
4-31	4	31	1.6352626085281372
4-32	4	32	1.3640912771224976
4-33	4	33	1.3766359090805054
4-34	4	34	1.4432672262191772
4-35	4	35	1.5754166841506958
4-36	4	36	1.6415398120880127
4-37	4	37	1.7154903411865234
4-38	4	38	1.5538194179534912
4-39	4	39	1.5084805488586426
4-40	4	40	1.391988754272461
4-41	4	41	1.3734705448150635
4-42	4	42	1.6014710664749146
4-43	4	43	1.6320571899414062
4-44	4	44	1.5490552186965942
4-45	4	45	1.7367063760757446
4-46	4	46	1.6281013488769531
4-47	4	47	1.3630797863006592
4-48	4	48	1.4766731262207031
4-49	4	49	1.8146069049835205
4-50	4	50	1.1141732931137085
4-51	4	51	1.9041500091552734
4-52	4	52	1.3214219808578491
4-53	4	53	1.5136009454727173
4-54	4	54	1.6763228178024292
4-55	4	55	1.3956587314605713
4-56	4	56	1.5382931232452393
4-57	4	57	1.6559100151062012
4-58	4	58	1.5670346021652222
4-59	4	59	1.2669403553009033
4-60	4	60	1.6674882173538208
4-61	4	61	1.1733900308609009
4-62	4	62	1.78798508644104
4-63	4	63	1.838212490081787
4-64	4	64	1.5892130136489868
4-65	4	65	1.2300280332565308
4-66	4	66	1.4510517120361328
4-67	4	67	1.385430932044983
4-68	4	68	1.380323052406311
4-69	4	69	1.450008511543274
4-70	4	70	1.609507441520691
4-71	4	71	1.5556411743164062
4-72	4	72	1.254549264907837
4-73	4	73	1.5336554050445557
4-74	4	74	1.3537098169326782
4-75	4	75	1.5369820594787598
4-76	4	76	1.744136095046997
4-77	4	77	1.0568528175354004
4-78	4	78	0.47053202986717224
5-0	5	0	1.903249740600586
5-1	5	1	1.866943597793579
5-2	5	2	2.3036201000213623
5-3	5	3	1.550189733505249
5-4	5	4	1.6410020589828491
5-5	5	5	1.8800345659255981
5-6	5	6	1.7773162126541138
5-7	5	7	1.5108085870742798
5-8	5	8	1.682141900062561
5-9	5	9	1.7517147064208984
5-10	5	10	1.722992181777954
5-11	5	11	1.6887612342834473
5-12	5	12	1.4337449073791504
5-13	5	13	1.5316588878631592
5-14	5	14	1.696799874305725
5-15	5	15	1.5981581211090088
5-16	5	16	1.7993724346160889
5-17	5	17	1.404281497001648
5-18	5	18	1.7412829399108887
5-19	5	19	1.6951051950454712
5-20	5	20	1.6662747859954834
5-21	5	21	1.310831069946289
5-22	5	22	1.7094273567199707
5-23	5	23	1.4158809185028076
5-24	5	24	1.3535116910934448
5-25	5	25	1.5163651704788208
5-26	5	26	1.5711650848388672
5-27	5	27	1.4351564645767212
5-28	5	28	1.6166143417358398
5-29	5	29	1.4333441257476807
5-30	5	30	1.4944179058074951
5-31	5	31	1.5749391317367554
5-32	5	32	1.444814682006836
5-33	5	33	1.424972653388977
5-34	5	34	2.0824735164642334
5-35	5	35	1.5752264261245728
5-36	5	36	1.502366542816162
5-37	5	37	1.4809056520462036
5-38	5	38	1.4758349657058716
5-39	5	39	1.6706435680389404
5-40	5	40	1.3774280548095703
5-41	5	41	1.4563626050949097
5-42	5	42	1.7478405237197876
5-43	5	43	1.333371877670288
5-44	5	44	1.409346103668213
5-45	5	45	1.320595145225525
5-46	5	46	1.8831677436828613
5-47	5	47	1.1109821796417236
5-48	5	48	1.3265719413757324
5-49	5	49	1.4936009645462036
5-50	5	50	1.4748469591140747
5-51	5	51	1.6429136991500854
5-52	5	52	1.2195422649383545
5-53	5	53	1.2360138893127441
5-54	5	54	1.3066296577453613
5-55	5	55	1.3928042650222778
5-56	5	56	1.4227609634399414
5-57	5	57	1.5858474969863892
5-58	5	58	1.3496267795562744
5-59	5	59	1.157556414604187
5-60	5	60	1.5981217622756958
5-61	5	61	1.1124842166900635
5-62	5	62	1.6734651327133179
5-63	5	63	1.5871508121490479
5-64	5	64	1.40908944606781
5-65	5	65	1.416837453842163
5-66	5	66	1.7638461589813232
5-67	5	67	1.2108533382415771
5-68	5	68	1.3119900226593018
5-69	5	69	1.2488676309585571
5-70	5	70	1.621340274810791
5-71	5	71	1.5120480060577393
5-72	5	72	1.1859190464019775
5-73	5	73	1.5810253620147705
5-74	5	74	1.5999419689178467
5-75	5	75	1.5759409666061401
5-76	5	76	1.3565447330474854
5-77	5	77	1.369032621383667
5-78	5	78	0.426133930683136
6-0	6	0	1.5161486864089966
6-1	6	1	1.724164366722107
6-2	6	2	1.6224058866500854
6-3	6	3	1.1636607646942139
6-4	6	4	1.523524522781372
6-5	6	5	1.662184238433838
6-6	6	6	1.0765999555587769
6-7	6	7	1.4296784400939941
6-8	6	8	1.3050929307937622
6-9	6	9	1.458258867263794
6-10	6	10	1.5392132997512817
6-11	6	11	1.604326605796814
6-12	6	12	1.314896583557129
6-13	6	13	1.1395635604858398
6-14	6	14	1.493899941444397
6-15	6	15	1.8210428953170776
6-16	6	16	1.5772324800491333
6-17	6	17	1.3076465129852295
6-18	6	18	1.3594226837158203
6-19	6	19	1.405796766281128
6-20	6	20	1.0926181077957153
6-21	6	21	1.208206057548523
6-22	6	22	1.2050433158874512
6-23	6	23	1.614423394203186
6-24	6	24	1.354833960533142
6-25	6	25	1.350172519683838
6-26	6	26	1.2976493835449219
6-27	6	27	1.043286681175232
6-28	6	28	1.378626823425293
6-29	6	29	1.4247835874557495
6-30	6	30	1.395890712738037
6-31	6	31	1.2649364471435547
6-32	6	32	1.159200668334961
6-33	6	33	1.2851226329803467
6-34	6	34	1.6636652946472168
6-35	6	35	1.3329929113388062
6-36	6	36	1.6232959032058716
6-37	6	37	1.2848238945007324
6-38	6	38	1.25942862033844
6-39	6	39	1.3623437881469727
6-40	6	40	1.3050646781921387
6-41	6	41	1.1886698007583618
6-42	6	42	1.605302095413208
6-43	6	43	0.9957388639450073
6-44	6	44	1.2968575954437256
6-45	6	45	1.3212412595748901
6-46	6	46	1.6286368370056152
6-47	6	47	1.0438792705535889
6-48	6	48	1.076893925666809
6-49	6	49	1.2428468465805054
6-50	6	50	1.2505955696105957
6-51	6	51	1.2220431566238403
6-52	6	52	1.0078959465026855
6-53	6	53	1.1911423206329346
6-54	6	54	1.179866075515747
6-55	6	55	1.235355019569397
6-56	6	56	1.170345664024353
6-57	6	57	1.1953177452087402
6-58	6	58	1.296378493309021
