index	epoch	batch	loss
0-0	0	0	5.228655815124512
0-1	0	1	5.078474521636963
0-2	0	2	4.810142993927002
0-3	0	3	3.8934357166290283
0-4	0	4	3.437485933303833
0-5	0	5	4.311248302459717
0-6	0	6	4.040770053863525
0-7	0	7	3.476372003555298
0-8	0	8	3.854708671569824
0-9	0	9	3.545239210128784
0-10	0	10	3.6337645053863525
0-11	0	11	3.6875123977661133
0-12	0	12	3.504040479660034
0-13	0	13	3.2130398750305176
0-14	0	14	3.5442593097686768
0-15	0	15	3.7764906883239746
0-16	0	16	2.802788496017456
0-17	0	17	3.0591697692871094
0-18	0	18	3.2910850048065186
0-19	0	19	2.377131223678589
0-20	0	20	2.861837387084961
0-21	0	21	3.140044689178467
0-22	0	22	3.4315342903137207
0-23	0	23	3.6948726177215576
0-24	0	24	3.3564438819885254
0-25	0	25	3.207613706588745
0-26	0	26	3.0323526859283447
0-27	0	27	3.411602735519409
0-28	0	28	3.2424023151397705
0-29	0	29	2.7503912448883057
0-30	0	30	2.542064666748047
0-31	0	31	2.7177672386169434
0-32	0	32	3.03503155708313
0-33	0	33	3.3411598205566406
0-34	0	34	3.4221935272216797
0-35	0	35	2.76554274559021
0-36	0	36	2.6269707679748535
0-37	0	37	2.6607258319854736
0-38	0	38	3.0457956790924072
0-39	0	39	2.67738676071167
0-40	0	40	2.9266421794891357
0-41	0	41	2.654141902923584
0-42	0	42	2.6400845050811768
0-43	0	43	3.083435297012329
0-44	0	44	3.2559823989868164
0-45	0	45	2.964923620223999
0-46	0	46	2.814157247543335
0-47	0	47	2.590357542037964
0-48	0	48	3.1452865600585938
0-49	0	49	2.7095727920532227
0-50	0	50	2.986332416534424
0-51	0	51	2.5080394744873047
0-52	0	52	2.716256618499756
0-53	0	53	2.7302918434143066
0-54	0	54	3.1805267333984375
0-55	0	55	2.744952917098999
0-56	0	56	2.5811054706573486
0-57	0	57	2.432490348815918
0-58	0	58	2.3324170112609863
0-59	0	59	2.713210344314575
0-60	0	60	2.933619976043701
0-61	0	61	2.5173912048339844
0-62	0	62	2.2444372177124023
0-63	0	63	2.332061290740967
0-64	0	64	2.4194204807281494
0-65	0	65	2.4706902503967285
0-66	0	66	2.3867969512939453
0-67	0	67	2.309025764465332
0-68	0	68	1.8402941226959229
0-69	0	69	2.516793966293335
0-70	0	70	2.7308292388916016
0-71	0	71	2.3078808784484863
0-72	0	72	2.719024181365967
0-73	0	73	2.434563398361206
0-74	0	74	2.3681201934814453
0-75	0	75	2.044373035430908
0-76	0	76	2.7689006328582764
0-77	0	77	2.6693789958953857
0-78	0	78	2.446929931640625
0-79	0	79	2.4923818111419678
0-80	0	80	2.249213933944702
0-81	0	81	2.2278354167938232
0-82	0	82	2.936890125274658
0-83	0	83	2.4374465942382812
0-84	0	84	2.060333251953125
0-85	0	85	1.9081552028656006
0-86	0	86	2.7772417068481445
0-87	0	87	2.607341766357422
0-88	0	88	2.1897506713867188
0-89	0	89	2.5493111610412598
0-90	0	90	2.488036870956421
0-91	0	91	2.039093494415283
0-92	0	92	2.44427227973938
0-93	0	93	1.941617727279663
0-94	0	94	2.319720983505249
0-95	0	95	2.305190086364746
0-96	0	96	2.0235297679901123
0-97	0	97	2.5125865936279297
0-98	0	98	2.1808011531829834
0-99	0	99	2.3590617179870605
0-100	0	100	2.1610352993011475
0-101	0	101	2.3367104530334473
0-102	0	102	2.0795233249664307
0-103	0	103	2.019047498703003
0-104	0	104	2.0526413917541504
0-105	0	105	2.2892067432403564
0-106	0	106	1.9169048070907593
0-107	0	107	1.953510046005249
0-108	0	108	2.3272814750671387
0-109	0	109	2.1517865657806396
0-110	0	110	1.9994200468063354
0-111	0	111	2.0928566455841064
0-112	0	112	2.0358147621154785
0-113	0	113	1.789655089378357
0-114	0	114	1.9818364381790161
0-115	0	115	2.0608205795288086
0-116	0	116	2.1380975246429443
0-117	0	117	2.0715203285217285
0-118	0	118	1.8826546669006348
0-119	0	119	1.9519784450531006
0-120	0	120	1.7027812004089355
0-121	0	121	2.105145215988159
0-122	0	122	1.7274945974349976
0-123	0	123	1.8718587160110474
0-124	0	124	2.0114943981170654
0-125	0	125	2.5200083255767822
0-126	0	126	1.9676495790481567
0-127	0	127	2.3840880393981934
0-128	0	128	2.1317248344421387
0-129	0	129	1.901033878326416
0-130	0	130	2.4225215911865234
0-131	0	131	2.13340425491333
0-132	0	132	2.2519397735595703
0-133	0	133	1.9891420602798462
0-134	0	134	2.111860990524292
0-135	0	135	2.038403272628784
0-136	0	136	2.0636489391326904
0-137	0	137	1.943772315979004
0-138	0	138	1.6114495992660522
0-139	0	139	2.1633706092834473
0-140	0	140	2.1794075965881348
0-141	0	141	1.7911159992218018
0-142	0	142	2.360241651535034
0-143	0	143	2.276017427444458
0-144	0	144	1.9154727458953857
0-145	0	145	2.205031394958496
0-146	0	146	1.9454785585403442
0-147	0	147	2.27239990234375
0-148	0	148	1.646185278892517
0-149	0	149	1.8851786851882935
0-150	0	150	1.7157399654388428
0-151	0	151	1.8358068466186523
0-152	0	152	2.1114070415496826
0-153	0	153	2.188957452774048
0-154	0	154	1.9711995124816895
0-155	0	155	2.167389392852783
0-156	0	156	2.2878193855285645
1-0	1	0	1.9615103006362915
1-1	1	1	1.8326902389526367
1-2	1	2	2.309811592102051
1-3	1	3	1.7929661273956299
1-4	1	4	1.9121699333190918
1-5	1	5	2.239485502243042
1-6	1	6	1.7484564781188965
1-7	1	7	1.7278497219085693
1-8	1	8	1.7005149126052856
1-9	1	9	1.4275132417678833
1-10	1	10	2.0524704456329346
1-11	1	11	2.0121898651123047
1-12	1	12	2.1047708988189697
1-13	1	13	1.9173659086227417
1-14	1	14	1.8312630653381348
1-15	1	15	1.546916127204895
1-16	1	16	2.0438072681427
1-17	1	17	1.7708159685134888
1-18	1	18	2.173581123352051
1-19	1	19	2.0915801525115967
1-20	1	20	1.980355143547058
1-21	1	21	2.0108160972595215
1-22	1	22	1.6360822916030884
1-23	1	23	2.0714948177337646
1-24	1	24	2.089984893798828
1-25	1	25	2.0407214164733887
1-26	1	26	1.9455623626708984
1-27	1	27	1.8402618169784546
1-28	1	28	1.9856055974960327
1-29	1	29	1.928086757659912
1-30	1	30	1.6993205547332764
1-31	1	31	2.2903668880462646
1-32	1	32	1.5542422533035278
1-33	1	33	1.7465565204620361
1-34	1	34	2.0602781772613525
1-35	1	35	2.1888225078582764
1-36	1	36	1.7294878959655762
1-37	1	37	1.8074276447296143
1-38	1	38	2.036660671234131
1-39	1	39	1.6778173446655273
1-40	1	40	1.8194636106491089
1-41	1	41	1.7422257661819458
1-42	1	42	1.6540809869766235
1-43	1	43	1.954653024673462
1-44	1	44	1.86886727809906
1-45	1	45	2.1762092113494873
1-46	1	46	1.5570385456085205
1-47	1	47	1.9095416069030762
1-48	1	48	1.8237882852554321
1-49	1	49	1.6621241569519043
1-50	1	50	1.6618070602416992
1-51	1	51	1.4152079820632935
1-52	1	52	1.711307168006897
1-53	1	53	1.507486343383789
1-54	1	54	1.6379510164260864
1-55	1	55	1.68143630027771
1-56	1	56	2.0330538749694824
1-57	1	57	1.903511881828308
1-58	1	58	1.3535901308059692
1-59	1	59	2.0780327320098877
1-60	1	60	1.7608745098114014
1-61	1	61	1.7104322910308838
1-62	1	62	1.5595074892044067
1-63	1	63	1.608827829360962
1-64	1	64	1.520054817199707
1-65	1	65	1.9549156427383423
1-66	1	66	1.9827598333358765
1-67	1	67	2.0250449180603027
1-68	1	68	1.3005367517471313
1-69	1	69	2.2746684551239014
1-70	1	70	1.9401640892028809
1-71	1	71	1.8822466135025024
1-72	1	72	2.0584638118743896
1-73	1	73	2.0172181129455566
1-74	1	74	2.019848346710205
1-75	1	75	1.5670530796051025
1-76	1	76	1.4690312147140503
1-77	1	77	1.967731237411499
1-78	1	78	1.8136351108551025
1-79	1	79	1.4421392679214478
1-80	1	80	1.6092876195907593
1-81	1	81	1.173111081123352
1-82	1	82	1.344752311706543
1-83	1	83	1.8744001388549805
1-84	1	84	1.388755202293396
1-85	1	85	1.3541505336761475
1-86	1	86	2.1114747524261475
1-87	1	87	1.7325658798217773
1-88	1	88	1.9671176671981812
1-89	1	89	1.8257479667663574
1-90	1	90	1.6746084690093994
1-91	1	91	1.7478978633880615
1-92	1	92	1.6824183464050293
1-93	1	93	1.5651613473892212
1-94	1	94	1.6935157775878906
1-95	1	95	1.5505071878433228
1-96	1	96	1.5782480239868164
1-97	1	97	1.8102608919143677
1-98	1	98	1.6626745462417603
1-99	1	99	1.615883708000183
1-100	1	100	1.8406877517700195
1-101	1	101	1.5297526121139526
1-102	1	102	1.1600146293640137
1-103	1	103	1.3479902744293213
1-104	1	104	1.5208990573883057
1-105	1	105	1.634806513786316
1-106	1	106	1.5778799057006836
1-107	1	107	1.691839337348938
1-108	1	108	1.7638174295425415
1-109	1	109	1.3989092111587524
1-110	1	110	1.5331952571868896
1-111	1	111	1.748710036277771
1-112	1	112	1.6047418117523193
1-113	1	113	1.5636330842971802
1-114	1	114	1.4302221536636353
1-115	1	115	1.6960856914520264
1-116	1	116	1.3823410272598267
1-117	1	117	1.7362453937530518
1-118	1	118	1.2384556531906128
1-119	1	119	1.7508738040924072
1-120	1	120	1.4745326042175293
1-121	1	121	1.6777682304382324
1-122	1	122	1.162402868270874
1-123	1	123	1.1969259977340698
1-124	1	124	1.458299160003662
1-125	1	125	1.5986768007278442
1-126	1	126	1.5434551239013672
1-127	1	127	1.6456174850463867
1-128	1	128	1.5254831314086914
1-129	1	129	1.4051815271377563
1-130	1	130	1.7650446891784668
1-131	1	131	1.8920727968215942
1-132	1	132	1.4239792823791504
1-133	1	133	1.4382688999176025
1-134	1	134	1.6583532094955444
1-135	1	135	1.704513430595398
1-136	1	136	1.6737635135650635
1-137	1	137	2.0084292888641357
1-138	1	138	1.625704288482666
1-139	1	139	1.6710931062698364
1-140	1	140	1.7336361408233643
1-141	1	141	2.171862840652466
1-142	1	142	1.600355625152588
1-143	1	143	1.890426516532898
1-144	1	144	1.8396810293197632
1-145	1	145	1.209693431854248
1-146	1	146	1.6577258110046387
1-147	1	147	1.3823612928390503
1-148	1	148	1.6500935554504395
1-149	1	149	1.5142396688461304
1-150	1	150	1.5524675846099854
1-151	1	151	1.2313966751098633
1-152	1	152	1.172209620475769
1-153	1	153	1.9254549741744995
1-154	1	154	1.297285556793213
1-155	1	155	1.7562851905822754
1-156	1	156	1.8749624490737915
2-0	2	0	1.7098077535629272
2-1	2	1	1.4121769666671753
2-2	2	2	1.5766124725341797
2-3	2	3	1.4005166292190552
2-4	2	4	1.1889793872833252
2-5	2	5	1.5835778713226318
2-6	2	6	1.2860114574432373
2-7	2	7	1.282199501991272
2-8	2	8	1.5399563312530518
2-9	2	9	1.2812786102294922
2-10	2	10	1.555600643157959
2-11	2	11	1.6000704765319824
2-12	2	12	1.4192346334457397
2-13	2	13	1.6166090965270996
2-14	2	14	1.3333663940429688
2-15	2	15	1.4899768829345703
2-16	2	16	2.1098883152008057
2-17	2	17	1.4042314291000366
2-18	2	18	1.2329522371292114
2-19	2	19	1.2567369937896729
2-20	2	20	1.5178440809249878
2-21	2	21	1.381606936454773
2-22	2	22	1.4857441186904907
2-23	2	23	1.2324156761169434
2-24	2	24	1.7366286516189575
2-25	2	25	1.3032835721969604
2-26	2	26	1.4242428541183472
2-27	2	27	1.7489184141159058
2-28	2	28	1.7494512796401978
2-29	2	29	1.247390866279602
2-30	2	30	1.1898972988128662
2-31	2	31	1.6484280824661255
2-32	2	32	1.3336687088012695
2-33	2	33	1.676168441772461
2-34	2	34	1.428682565689087
2-35	2	35	1.0816036462783813
2-36	2	36	1.2870405912399292
2-37	2	37	1.4994304180145264
2-38	2	38	1.3342405557632446
2-39	2	39	1.0893754959106445
2-40	2	40	1.5111643075942993
2-41	2	41	1.366981863975525
2-42	2	42	1.364263892173767
2-43	2	43	1.1061232089996338
2-44	2	44	1.5083520412445068
2-45	2	45	1.4148461818695068
2-46	2	46	1.5064334869384766
2-47	2	47	1.4361963272094727
2-48	2	48	1.5426162481307983
2-49	2	49	1.3627363443374634
2-50	2	50	1.371178150177002
2-51	2	51	1.2490679025650024
2-52	2	52	1.1921803951263428
2-53	2	53	0.9949161410331726
2-54	2	54	1.6321443319320679
2-55	2	55	1.601262092590332
2-56	2	56	1.2816983461380005
2-57	2	57	1.4678218364715576
2-58	2	58	1.0688977241516113
2-59	2	59	1.2273366451263428
2-60	2	60	1.7058051824569702
2-61	2	61	1.4438990354537964
2-62	2	62	1.199478030204773
2-63	2	63	1.3249154090881348
2-64	2	64	0.9350355863571167
2-65	2	65	1.3091001510620117
2-66	2	66	1.2740767002105713
2-67	2	67	1.5008128881454468
2-68	2	68	1.305640459060669
2-69	2	69	1.507069706916809
2-70	2	70	1.1986485719680786
2-71	2	71	1.58684504032135
2-72	2	72	1.1168785095214844
2-73	2	73	1.3558704853057861
2-74	2	74	1.744822382926941
2-75	2	75	1.2780033349990845
2-76	2	76	1.3932251930236816
2-77	2	77	1.4427211284637451
2-78	2	78	1.369572401046753
2-79	2	79	1.5753573179244995
2-80	2	80	1.70136296749115
2-81	2	81	1.2882936000823975
2-82	2	82	1.0570228099822998
2-83	2	83	1.6628504991531372
2-84	2	84	1.2392759323120117
2-85	2	85	1.171381950378418
2-86	2	86	1.4032751321792603
2-87	2	87	1.5488003492355347
2-88	2	88	1.3977158069610596
2-89	2	89	1.3190251588821411
2-90	2	90	1.4457381963729858
2-91	2	91	1.3206102848052979
2-92	2	92	1.506730318069458
2-93	2	93	1.4656012058258057
2-94	2	94	1.2410099506378174
2-95	2	95	1.0779064893722534
2-96	2	96	1.3349072933197021
2-97	2	97	1.244140386581421
2-98	2	98	0.9895570874214172
2-99	2	99	1.6542919874191284
2-100	2	100	1.5927481651306152
2-101	2	101	1.200365662574768
2-102	2	102	1.172851800918579
2-103	2	103	1.1854978799819946
2-104	2	104	1.4273751974105835
2-105	2	105	1.0379807949066162
2-106	2	106	1.0610473155975342
2-107	2	107	1.1728880405426025
2-108	2	108	1.6408109664916992
2-109	2	109	1.0848571062088013
2-110	2	110	1.0405746698379517
2-111	2	111	1.1343107223510742
2-112	2	112	1.4826375246047974
2-113	2	113	1.3850046396255493
2-114	2	114	1.3698608875274658
2-115	2	115	1.532729148864746
2-116	2	116	0.992565929889679
2-117	2	117	1.1259582042694092
2-118	2	118	1.1522778272628784
2-119	2	119	1.2117235660552979
2-120	2	120	1.0792993307113647
2-121	2	121	1.571566104888916
2-122	2	122	1.2560325860977173
2-123	2	123	1.1406561136245728
2-124	2	124	1.115039587020874
2-125	2	125	1.288142204284668
2-126	2	126	1.5886285305023193
2-127	2	127	1.1155767440795898
2-128	2	128	1.272525668144226
2-129	2	129	1.4568369388580322
2-130	2	130	1.1801834106445312
2-131	2	131	1.2749141454696655
2-132	2	132	1.2956719398498535
2-133	2	133	1.2952821254730225
2-134	2	134	1.7103263139724731
2-135	2	135	1.366943120956421
2-136	2	136	1.3347316980361938
2-137	2	137	1.1335270404815674
2-138	2	138	1.1749894618988037
2-139	2	139	1.3268481492996216
2-140	2	140	1.1658459901809692
2-141	2	141	1.589680790901184
2-142	2	142	1.524178385734558
2-143	2	143	1.3499104976654053
2-144	2	144	1.4699978828430176
2-145	2	145	0.9216972589492798
2-146	2	146	0.8367598652839661
2-147	2	147	1.2841076850891113
2-148	2	148	1.297415852546692
2-149	2	149	1.3965785503387451
2-150	2	150	1.3442074060440063
2-151	2	151	1.1065584421157837
2-152	2	152	0.9817813634872437
2-153	2	153	1.2827481031417847
2-154	2	154	1.2248072624206543
2-155	2	155	0.9517912268638611
2-156	2	156	1.532007098197937
3-0	3	0	1.4187648296356201
3-1	3	1	1.2443870306015015
3-2	3	2	1.283825397491455
3-3	3	3	1.2358319759368896
3-4	3	4	1.2442288398742676
3-5	3	5	1.3415229320526123
3-6	3	6	1.4658112525939941
3-7	3	7	1.077929139137268
3-8	3	8	1.122055172920227
3-9	3	9	0.8170256614685059
3-10	3	10	1.3435170650482178
3-11	3	11	1.4870612621307373
3-12	3	12	1.5545287132263184
3-13	3	13	1.4115225076675415
3-14	3	14	1.3460661172866821
3-15	3	15	1.3417940139770508
3-16	3	16	1.0701724290847778
3-17	3	17	1.2264877557754517
3-18	3	18	0.9849728941917419
3-19	3	19	1.3901625871658325
3-20	3	20	0.8846497535705566
3-21	3	21	1.367029070854187
3-22	3	22	1.1298692226409912
3-23	3	23	1.2629008293151855
3-24	3	24	0.9818092584609985
3-25	3	25	1.3127164840698242
3-26	3	26	0.9854048490524292
3-27	3	27	1.1496613025665283
3-28	3	28	1.423529863357544
3-29	3	29	1.4615288972854614
3-30	3	30	1.234814167022705
3-31	3	31	1.20530366897583
3-32	3	32	1.3014607429504395
3-33	3	33	1.093322992324829
3-34	3	34	1.5032905340194702
3-35	3	35	1.3115812540054321
3-36	3	36	1.1669821739196777
3-37	3	37	1.214297890663147
3-38	3	38	1.4080299139022827
3-39	3	39	0.9738588333129883
3-40	3	40	1.2214406728744507
3-41	3	41	1.1270569562911987
3-42	3	42	0.7710193395614624
3-43	3	43	1.1383365392684937
3-44	3	44	1.3246737718582153
3-45	3	45	1.1141622066497803
3-46	3	46	1.2497097253799438
3-47	3	47	1.0352131128311157
3-48	3	48	1.358582615852356
3-49	3	49	1.2289763689041138
3-50	3	50	1.583452582359314
3-51	3	51	0.8799067139625549
3-52	3	52	1.1397736072540283
3-53	3	53	0.9050979614257812
3-54	3	54	1.331099510192871
3-55	3	55	1.5229439735412598
3-56	3	56	1.2925978899002075
3-57	3	57	1.039305329322815
3-58	3	58	0.8473657369613647
3-59	3	59	1.1354238986968994
3-60	3	60	1.1419142484664917
3-61	3	61	1.5863251686096191
3-62	3	62	1.2821378707885742
3-63	3	63	1.1115068197250366
3-64	3	64	0.9325985908508301
3-65	3	65	0.8902807235717773
3-66	3	66	1.5591310262680054
3-67	3	67	1.19169282913208
3-68	3	68	0.8149319291114807
3-69	3	69	1.0403988361358643
3-70	3	70	1.4079208374023438
3-71	3	71	1.0832712650299072
3-72	3	72	0.9120420813560486
3-73	3	73	0.8783173561096191
3-74	3	74	1.2737762928009033
3-75	3	75	0.9423704147338867
3-76	3	76	1.1131510734558105
3-77	3	77	1.492851972579956
3-78	3	78	1.0688620805740356
3-79	3	79	0.9643422961235046
3-80	3	80	1.1534998416900635
3-81	3	81	1.2210729122161865
3-82	3	82	1.2948170900344849
3-83	3	83	0.9679360389709473
3-84	3	84	0.5842402577400208
3-85	3	85	1.091333031654358
3-86	3	86	1.303603172302246
3-87	3	87	1.0052472352981567
3-88	3	88	1.1402913331985474
3-89	3	89	1.110422968864441
3-90	3	90	1.0696251392364502
3-91	3	91	0.7381818890571594
3-92	3	92	1.2118394374847412
3-93	3	93	1.1333144903182983
3-94	3	94	1.0277446508407593
3-95	3	95	1.3529590368270874
3-96	3	96	1.2485871315002441
3-97	3	97	1.290039300918579
3-98	3	98	1.225112795829773
3-99	3	99	0.9771237373352051
3-100	3	100	1.7753121852874756
3-101	3	101	1.1276935338974
3-102	3	102	0.7308928370475769
3-103	3	103	0.9430348873138428
3-104	3	104	1.1511762142181396
3-105	3	105	1.1153017282485962
3-106	3	106	0.42895931005477905
3-107	3	107	0.9376810193061829
3-108	3	108	1.0510869026184082
3-109	3	109	0.8014976978302002
3-110	3	110	1.1398427486419678
3-111	3	111	1.1983155012130737
3-112	3	112	1.1154403686523438
3-113	3	113	0.8551523685455322
3-114	3	114	1.0618400573730469
3-115	3	115	1.095252275466919
3-116	3	116	0.7185600399971008
3-117	3	117	0.7353923916816711
3-118	3	118	1.0792903900146484
3-119	3	119	1.3078274726867676
3-120	3	120	0.8475591540336609
3-121	3	121	0.9303904175758362
3-122	3	122	0.8547508716583252
3-123	3	123	0.8792600631713867
3-124	3	124	1.084558367729187
3-125	3	125	0.9591131210327148
3-126	3	126	1.4323111772537231
3-127	3	127	1.072196125984192
3-128	3	128	1.4490342140197754
3-129	3	129	1.092602014541626
