index	epoch	batch	loss
0-0	0	0	4.08214807510376
0-1	0	1	4.63811731338501
0-2	0	2	3.5427560806274414
0-3	0	3	3.173759698867798
0-4	0	4	3.5443904399871826
0-5	0	5	3.50595760345459
0-6	0	6	3.8211798667907715
0-7	0	7	3.5115795135498047
0-8	0	8	3.74334454536438
0-9	0	9	3.7805943489074707
0-10	0	10	3.5884294509887695
0-11	0	11	3.833075761795044
0-12	0	12	3.1458303928375244
0-13	0	13	3.897878646850586
0-14	0	14	3.340580701828003
0-15	0	15	3.610614776611328
0-16	0	16	4.398098945617676
0-17	0	17	2.7966465950012207
0-18	0	18	3.572006940841675
0-19	0	19	2.9883475303649902
0-20	0	20	3.107341766357422
0-21	0	21	2.8433828353881836
0-22	0	22	3.3068981170654297
0-23	0	23	3.2752809524536133
0-24	0	24	3.0497446060180664
0-25	0	25	3.158365249633789
0-26	0	26	3.0136165618896484
0-27	0	27	3.0507946014404297
0-28	0	28	2.8832244873046875
0-29	0	29	2.7792937755584717
0-30	0	30	2.9708237648010254
0-31	0	31	2.829179286956787
0-32	0	32	2.9861273765563965
0-33	0	33	2.3793647289276123
0-34	0	34	2.6740546226501465
0-35	0	35	2.532438039779663
0-36	0	36	3.2653465270996094
0-37	0	37	2.8096463680267334
0-38	0	38	2.4947047233581543
0-39	0	39	2.9866981506347656
0-40	0	40	2.6827409267425537
0-41	0	41	2.8496744632720947
0-42	0	42	2.430647611618042
0-43	0	43	2.9520840644836426
0-44	0	44	2.9016969203948975
0-45	0	45	2.64809513092041
0-46	0	46	2.3277766704559326
0-47	0	47	2.037919282913208
0-48	0	48	2.8611977100372314
0-49	0	49	2.4430415630340576
0-50	0	50	2.756601572036743
0-51	0	51	2.5381383895874023
0-52	0	52	2.582510471343994
0-53	0	53	2.2888498306274414
0-54	0	54	2.4134395122528076
0-55	0	55	2.960773468017578
0-56	0	56	2.5332367420196533
0-57	0	57	2.350273370742798
0-58	0	58	2.606661081314087
0-59	0	59	2.385104179382324
0-60	0	60	3.13952374458313
0-61	0	61	2.6523454189300537
0-62	0	62	2.824660301208496
0-63	0	63	2.438847780227661
0-64	0	64	2.5832881927490234
0-65	0	65	2.5866620540618896
0-66	0	66	1.9709577560424805
0-67	0	67	2.5107131004333496
0-68	0	68	2.130507469177246
0-69	0	69	2.2312936782836914
0-70	0	70	2.7015397548675537
0-71	0	71	2.0244216918945312
0-72	0	72	1.958584189414978
0-73	0	73	2.7101502418518066
0-74	0	74	2.5434353351593018
0-75	0	75	2.239546775817871
0-76	0	76	2.1460790634155273
0-77	0	77	2.524961233139038
0-78	0	78	1.8300750255584717
1-0	1	0	2.7999935150146484
1-1	1	1	2.352987766265869
1-2	1	2	2.207834482192993
1-3	1	3	2.2736122608184814
1-4	1	4	2.189216136932373
1-5	1	5	2.223227024078369
1-6	1	6	2.2233150005340576
1-7	1	7	2.47499942779541
1-8	1	8	2.082582473754883
1-9	1	9	2.1674649715423584
1-10	1	10	2.342470407485962
1-11	1	11	1.8615386486053467
1-12	1	12	1.8811196088790894
1-13	1	13	2.2831902503967285
1-14	1	14	2.118967056274414
1-15	1	15	1.9934028387069702
1-16	1	16	2.4741597175598145
1-17	1	17	2.4266743659973145
1-18	1	18	2.376202344894409
1-19	1	19	2.769275188446045
1-20	1	20	2.037865161895752
1-21	1	21	2.1675827503204346
1-22	1	22	1.775712013244629
1-23	1	23	2.0973353385925293
1-24	1	24	2.196242332458496
1-25	1	25	1.8102641105651855
1-26	1	26	2.317892074584961
1-27	1	27	2.1004130840301514
1-28	1	28	1.8629734516143799
1-29	1	29	2.378523349761963
1-30	1	30	2.1130471229553223
1-31	1	31	2.225268602371216
1-32	1	32	2.0753774642944336
1-33	1	33	1.9058010578155518
1-34	1	34	1.9564954042434692
1-35	1	35	1.830877423286438
1-36	1	36	2.2992773056030273
1-37	1	37	1.9225739240646362
1-38	1	38	2.089691400527954
1-39	1	39	2.2141127586364746
1-40	1	40	2.1272292137145996
1-41	1	41	2.045974016189575
1-42	1	42	1.9503823518753052
1-43	1	43	1.929738998413086
1-44	1	44	1.990986943244934
1-45	1	45	1.8560835123062134
1-46	1	46	2.034391403198242
1-47	1	47	2.1513121128082275
1-48	1	48	2.0583436489105225
1-49	1	49	1.783312439918518
1-50	1	50	1.7981178760528564
1-51	1	51	2.2525858879089355
1-52	1	52	2.0265374183654785
1-53	1	53	1.7666157484054565
1-54	1	54	1.738817572593689
1-55	1	55	2.2536115646362305
1-56	1	56	1.9239414930343628
1-57	1	57	2.383859634399414
1-58	1	58	1.9196991920471191
1-59	1	59	1.8852667808532715
1-60	1	60	2.1484925746917725
1-61	1	61	1.8940904140472412
1-62	1	62	2.0104620456695557
1-63	1	63	2.1187050342559814
1-64	1	64	1.5769919157028198
1-65	1	65	1.8686963319778442
1-66	1	66	1.8115019798278809
1-67	1	67	1.8521651029586792
1-68	1	68	1.7079346179962158
1-69	1	69	2.11535906791687
1-70	1	70	2.1588568687438965
1-71	1	71	2.008892059326172
1-72	1	72	1.8545653820037842
1-73	1	73	2.3665273189544678
1-74	1	74	1.7584272623062134
1-75	1	75	2.031853675842285
1-76	1	76	1.9721012115478516
1-77	1	77	1.9813470840454102
