index	epoch	batch	loss
0-0	0	0	3.2572414875030518
0-1	0	1	4.64486837387085
0-2	0	2	4.249356746673584
0-3	0	3	3.435138702392578
0-4	0	4	4.494610786437988
0-5	0	5	3.5293116569519043
0-6	0	6	3.9621732234954834
0-7	0	7	4.45057487487793
0-8	0	8	3.2798047065734863
0-9	0	9	2.8970582485198975
0-10	0	10	3.3219239711761475
0-11	0	11	3.0890114307403564
0-12	0	12	2.9444448947906494
0-13	0	13	3.4802000522613525
0-14	0	14	3.408341884613037
0-15	0	15	3.6436517238616943
0-16	0	16	3.2562015056610107
0-17	0	17	3.7038331031799316
0-18	0	18	3.308152198791504
0-19	0	19	2.780243158340454
0-20	0	20	3.1755833625793457
0-21	0	21	3.0431058406829834
0-22	0	22	2.8034281730651855
0-23	0	23	3.045581102371216
0-24	0	24	2.7951509952545166
0-25	0	25	3.3735299110412598
0-26	0	26	3.1236493587493896
0-27	0	27	3.061338424682617
0-28	0	28	2.529071092605591
0-29	0	29	2.8081297874450684
0-30	0	30	2.601029396057129
0-31	0	31	2.937307119369507
0-32	0	32	2.975238084793091
0-33	0	33	3.0718741416931152
0-34	0	34	3.1813876628875732
0-35	0	35	2.7992403507232666
0-36	0	36	3.157632350921631
0-37	0	37	3.1255524158477783
0-38	0	38	2.6684000492095947
0-39	0	39	2.7443597316741943
0-40	0	40	3.328998565673828
0-41	0	41	2.77364182472229
0-42	0	42	3.029086112976074
0-43	0	43	2.8219034671783447
0-44	0	44	2.7892229557037354
0-45	0	45	3.2290866374969482
0-46	0	46	2.9318838119506836
0-47	0	47	2.244626760482788
0-48	0	48	2.136763334274292
0-49	0	49	2.399522304534912
0-50	0	50	2.583024501800537
0-51	0	51	2.5943119525909424
0-52	0	52	2.5121071338653564
0-53	0	53	2.474674940109253
0-54	0	54	2.6650209426879883
0-55	0	55	2.6010384559631348
0-56	0	56	2.2462825775146484
0-57	0	57	2.696559190750122
0-58	0	58	2.633908271789551
0-59	0	59	2.062992811203003
0-60	0	60	2.960693836212158
0-61	0	61	1.8836032152175903
0-62	0	62	2.152331829071045
0-63	0	63	2.4805214405059814
0-64	0	64	2.551910161972046
0-65	0	65	2.0436699390411377
0-66	0	66	2.594557523727417
0-67	0	67	2.1353816986083984
0-68	0	68	2.528810501098633
0-69	0	69	2.305375814437866
0-70	0	70	2.724327802658081
0-71	0	71	2.624526023864746
0-72	0	72	2.2650718688964844
0-73	0	73	2.9809162616729736
0-74	0	74	2.897735595703125
0-75	0	75	2.7116286754608154
0-76	0	76	2.082784414291382
0-77	0	77	2.477426767349243
0-78	0	78	1.7145745754241943
1-0	1	0	2.3922855854034424
1-1	1	1	2.3261754512786865
1-2	1	2	2.644634962081909
1-3	1	3	2.390496253967285
1-4	1	4	2.1656343936920166
1-5	1	5	2.477506399154663
1-6	1	6	1.9549736976623535
1-7	1	7	2.531250476837158
1-8	1	8	2.2725443840026855
1-9	1	9	2.223259687423706
1-10	1	10	2.4006588459014893
1-11	1	11	2.449117660522461
1-12	1	12	2.1283798217773438
1-13	1	13	2.493800640106201
1-14	1	14	2.1914865970611572
1-15	1	15	2.351865530014038
1-16	1	16	2.3984053134918213
1-17	1	17	1.8839282989501953
1-18	1	18	2.102850914001465
1-19	1	19	1.8915135860443115
1-20	1	20	2.141432046890259
1-21	1	21	2.1473209857940674
1-22	1	22	1.9551588296890259
1-23	1	23	2.2469799518585205
1-24	1	24	2.0395803451538086
1-25	1	25	2.260781764984131
1-26	1	26	2.2000691890716553
1-27	1	27	1.7758883237838745
1-28	1	28	2.1749277114868164
1-29	1	29	1.9382838010787964
1-30	1	30	2.0695273876190186
1-31	1	31	1.9951101541519165
1-32	1	32	2.243783950805664
1-33	1	33	2.040767192840576
1-34	1	34	2.083627700805664
1-35	1	35	2.1311657428741455
1-36	1	36	2.2671420574188232
1-37	1	37	2.047640323638916
1-38	1	38	1.952717661857605
1-39	1	39	2.1606521606445312
1-40	1	40	2.1523146629333496
1-41	1	41	1.783541202545166
1-42	1	42	2.5310988426208496
1-43	1	43	1.7594608068466187
1-44	1	44	1.6129083633422852
1-45	1	45	1.7772990465164185
1-46	1	46	2.304999828338623
1-47	1	47	1.9437350034713745
1-48	1	48	1.6335166692733765
1-49	1	49	1.967192530632019
1-50	1	50	2.0299510955810547
1-51	1	51	2.0873498916625977
1-52	1	52	2.2422051429748535
1-53	1	53	1.9276187419891357
1-54	1	54	1.6404670476913452
1-55	1	55	1.9640119075775146
1-56	1	56	2.195239543914795
1-57	1	57	2.1258556842803955
1-58	1	58	1.9992581605911255
1-59	1	59	1.5885921716690063
1-60	1	60	2.131957530975342
1-61	1	61	1.875436544418335
1-62	1	62	1.8984302282333374
1-63	1	63	1.6970107555389404
1-64	1	64	2.2574734687805176
1-65	1	65	1.9024842977523804
1-66	1	66	1.8889942169189453
1-67	1	67	1.6664496660232544
1-68	1	68	1.8436025381088257
1-69	1	69	1.9106155633926392
1-70	1	70	2.0198566913604736
1-71	1	71	1.8506906032562256
1-72	1	72	1.5830272436141968
1-73	1	73	2.254035711288452
1-74	1	74	1.6196908950805664
1-75	1	75	2.0519983768463135
1-76	1	76	1.7333881855010986
1-77	1	77	1.9299148321151733
1-78	1	78	2.2866549491882324
2-0	2	0	1.933270812034607
2-1	2	1	1.8343257904052734
2-2	2	2	1.9532662630081177
2-3	2	3	1.830597162246704
2-4	2	4	1.7340593338012695
2-5	2	5	2.0422050952911377
2-6	2	6	1.4535255432128906
2-7	2	7	1.8744045495986938
2-8	2	8	1.6248890161514282
2-9	2	9	1.8109432458877563
2-10	2	10	2.0641982555389404
2-11	2	11	2.1346662044525146
2-12	2	12	1.7665469646453857
2-13	2	13	2.1845815181732178
2-14	2	14	1.6985790729522705
2-15	2	15	2.130124092102051
2-16	2	16	1.9776263236999512
2-17	2	17	1.8594828844070435
2-18	2	18	1.739086389541626
2-19	2	19	2.014601945877075
2-20	2	20	1.7145196199417114
2-21	2	21	1.758381724357605
2-22	2	22	1.9699969291687012
2-23	2	23	1.8126567602157593
2-24	2	24	1.7119801044464111
2-25	2	25	1.6198703050613403
2-26	2	26	2.070746898651123
2-27	2	27	1.571868896484375
2-28	2	28	1.9377906322479248
2-29	2	29	1.8358032703399658
2-30	2	30	1.6535439491271973
2-31	2	31	1.8103983402252197
2-32	2	32	1.828117847442627
2-33	2	33	1.927372694015503
2-34	2	34	2.07053542137146
2-35	2	35	1.4481858015060425
2-36	2	36	1.7392240762710571
2-37	2	37	1.9623578786849976
2-38	2	38	1.683118462562561
2-39	2	39	1.2278741598129272
2-40	2	40	1.7730759382247925
2-41	2	41	1.6576062440872192
2-42	2	42	1.8165643215179443
2-43	2	43	1.767457127571106
2-44	2	44	1.9628359079360962
2-45	2	45	1.6453431844711304
2-46	2	46	1.541951298713684
2-47	2	47	1.5801937580108643
2-48	2	48	1.3916293382644653
2-49	2	49	1.5008624792099
2-50	2	50	1.9535385370254517
2-51	2	51	2.2514774799346924
2-52	2	52	1.6152068376541138
2-53	2	53	1.2876321077346802
2-54	2	54	1.5293108224868774
2-55	2	55	1.8070218563079834
2-56	2	56	1.9844121932983398
2-57	2	57	1.7821303606033325
2-58	2	58	2.0295376777648926
2-59	2	59	1.1178091764450073
2-60	2	60	1.9940062761306763
2-61	2	61	1.3343755006790161
2-62	2	62	1.9761041402816772
2-63	2	63	2.09220814704895
2-64	2	64	1.8636486530303955
2-65	2	65	1.5581480264663696
2-66	2	66	1.6373704671859741
2-67	2	67	1.4843233823776245
2-68	2	68	1.2408009767532349
2-69	2	69	1.576994776725769
2-70	2	70	1.8777135610580444
2-71	2	71	1.606084942817688
2-72	2	72	1.7617560625076294
2-73	2	73	1.878915548324585
2-74	2	74	1.8250675201416016
2-75	2	75	1.533933162689209
2-76	2	76	1.5664077997207642
2-77	2	77	1.4924074411392212
2-78	2	78	1.4437193870544434
3-0	3	0	2.15362811088562
3-1	3	1	1.7765530347824097
3-2	3	2	1.8904143571853638
3-3	3	3	1.7625858783721924
3-4	3	4	1.5153374671936035
3-5	3	5	2.12786865234375
3-6	3	6	2.1174771785736084
3-7	3	7	1.5732799768447876
3-8	3	8	1.6874151229858398
3-9	3	9	1.9389399290084839
3-10	3	10	1.7788015604019165
3-11	3	11	2.025061845779419
3-12	3	12	1.6282405853271484
3-13	3	13	1.4260449409484863
3-14	3	14	2.1171092987060547
3-15	3	15	1.5989230871200562
3-16	3	16	2.0724737644195557
3-17	3	17	1.776757001876831
3-18	3	18	1.6216180324554443
3-19	3	19	1.5299272537231445
3-20	3	20	1.724446177482605
3-21	3	21	1.4005340337753296
3-22	3	22	1.5511696338653564
3-23	3	23	1.6595642566680908
3-24	3	24	1.667038917541504
3-25	3	25	2.008373975753784
3-26	3	26	2.036177158355713
3-27	3	27	1.4598947763442993
3-28	3	28	1.6392567157745361
3-29	3	29	1.7902777194976807
3-30	3	30	1.8631752729415894
3-31	3	31	2.183631420135498
3-32	3	32	1.4877994060516357
3-33	3	33	1.970488429069519
3-34	3	34	1.7527786493301392
3-35	3	35	2.189138650894165
3-36	3	36	1.737728476524353
3-37	3	37	1.9215377569198608
3-38	3	38	1.4859580993652344
3-39	3	39	1.6909130811691284
3-40	3	40	1.4080768823623657
3-41	3	41	1.5286822319030762
3-42	3	42	1.693697214126587
3-43	3	43	1.6456190347671509
3-44	3	44	1.4069163799285889
3-45	3	45	1.4556032419204712
3-46	3	46	2.0766215324401855
3-47	3	47	1.3894164562225342
3-48	3	48	1.1586123704910278
3-49	3	49	1.5363471508026123
3-50	3	50	1.4052883386611938
3-51	3	51	1.928148627281189
3-52	3	52	1.6880059242248535
3-53	3	53	1.8199753761291504
3-54	3	54	1.5529903173446655
3-55	3	55	2.039313793182373
3-56	3	56	1.3807709217071533
3-57	3	57	1.7677958011627197
3-58	3	58	1.614377498626709
3-59	3	59	1.3548206090927124
3-60	3	60	1.477675199508667
3-61	3	61	1.40403413772583
3-62	3	62	1.3555917739868164
3-63	3	63	1.7418034076690674
3-64	3	64	1.7471143007278442
3-65	3	65	1.4446749687194824
3-66	3	66	1.957247257232666
3-67	3	67	1.4479448795318604
3-68	3	68	1.3094977140426636
3-69	3	69	1.440889596939087
3-70	3	70	1.6731493473052979
3-71	3	71	1.7589893341064453
3-72	3	72	1.6112767457962036
3-73	3	73	1.7402915954589844
3-74	3	74	1.4981034994125366
3-75	3	75	1.7383416891098022
3-76	3	76	1.399244785308838
3-77	3	77	2.047417640686035
3-78	3	78	0.9014661312103271
4-0	4	0	1.485074520111084
4-1	4	1	1.6614258289337158
4-2	4	2	1.5356234312057495
4-3	4	3	1.4147006273269653
4-4	4	4	1.714107632637024
4-5	4	5	1.4987435340881348
4-6	4	6	1.2750818729400635
4-7	4	7	1.4539287090301514
4-8	4	8	1.4046076536178589
4-9	4	9	1.7287366390228271
4-10	4	10	1.7900469303131104
4-11	4	11	1.3216283321380615
4-12	4	12	1.6381324529647827
4-13	4	13	1.5663487911224365
4-14	4	14	1.4766161441802979
4-15	4	15	0.9656901955604553
4-16	4	16	1.5492870807647705
4-17	4	17	1.3483209609985352
4-18	4	18	1.6184122562408447
4-19	4	19	1.2816932201385498
4-20	4	20	1.2471411228179932
4-21	4	21	1.7277086973190308
4-22	4	22	1.475862979888916
4-23	4	23	1.325965166091919
4-24	4	24	1.435166597366333
4-25	4	25	1.309252381324768
4-26	4	26	1.6640323400497437
4-27	4	27	1.0208861827850342
4-28	4	28	1.5911482572555542
4-29	4	29	1.441662311553955
4-30	4	30	1.592740535736084
4-31	4	31	1.4136061668395996
4-32	4	32	1.3316757678985596
4-33	4	33	1.5680205821990967
4-34	4	34	1.2119779586791992
4-35	4	35	1.4313660860061646
4-36	4	36	1.6734466552734375
4-37	4	37	1.2537528276443481
4-38	4	38	1.250054955482483
4-39	4	39	1.250646948814392
4-40	4	40	1.4061667919158936
4-41	4	41	1.5633454322814941
4-42	4	42	1.2248525619506836
4-43	4	43	1.377668857574463
4-44	4	44	1.3644887208938599
4-45	4	45	1.2471708059310913
4-46	4	46	1.6104459762573242
4-47	4	47	1.1821177005767822
4-48	4	48	0.9120832085609436
4-49	4	49	1.2327439785003662
4-50	4	50	1.4443986415863037
4-51	4	51	1.7709810733795166
4-52	4	52	1.474382758140564
4-53	4	53	1.373770833015442
4-54	4	54	1.6374833583831787
4-55	4	55	1.9300974607467651
4-56	4	56	1.2813397645950317
4-57	4	57	1.4951353073120117
4-58	4	58	1.3775910139083862
4-59	4	59	1.212386131286621
4-60	4	60	1.1661438941955566
4-61	4	61	1.2562317848205566
4-62	4	62	1.6910895109176636
4-63	4	63	1.6840049028396606
4-64	4	64	1.1927658319473267
4-65	4	65	1.5042824745178223
4-66	4	66	1.3768912553787231
4-67	4	67	1.228117823600769
4-68	4	68	1.0794295072555542
4-69	4	69	1.431637167930603
4-70	4	70	1.3318214416503906
4-71	4	71	1.6698123216629028
4-72	4	72	1.217971920967102
4-73	4	73	1.217657446861267
4-74	4	74	1.1095019578933716
4-75	4	75	1.4191688299179077
4-76	4	76	1.4313020706176758
4-77	4	77	1.292269229888916
4-78	4	78	0.6620954275131226
5-0	5	0	1.5171836614608765
5-1	5	1	1.4512178897857666
5-2	5	2	1.26912522315979
5-3	5	3	1.1237558126449585
5-4	5	4	1.2628058195114136
5-5	5	5	1.2797859907150269
5-6	5	6	1.4183179140090942
5-7	5	7	1.3658838272094727
5-8	5	8	1.1845369338989258
5-9	5	9	1.3658267259597778
5-10	5	10	1.1475064754486084
5-11	5	11	1.385411262512207
5-12	5	12	1.2528327703475952
5-13	5	13	1.4357573986053467
5-14	5	14	1.3242322206497192
5-15	5	15	1.252190351486206
5-16	5	16	1.5561491250991821
5-17	5	17	1.2097197771072388
5-18	5	18	1.0486811399459839
5-19	5	19	1.2029435634613037
5-20	5	20	1.3401107788085938
5-21	5	21	1.3843114376068115
5-22	5	22	1.421614170074463
5-23	5	23	1.2812869548797607
5-24	5	24	1.145251750946045
5-25	5	25	0.7806428074836731
5-26	5	26	1.2798712253570557
5-27	5	27	1.1004559993743896
5-28	5	28	1.3681918382644653
5-29	5	29	0.9894466400146484
5-30	5	30	1.7342382669448853
5-31	5	31	1.0570791959762573
5-32	5	32	1.0270273685455322
5-33	5	33	1.8333916664123535
5-34	5	34	1.3929603099822998
5-35	5	35	1.784531593322754
5-36	5	36	1.6299771070480347
5-37	5	37	1.4357881546020508
5-38	5	38	1.470766305923462
5-39	5	39	1.309091329574585
5-40	5	40	1.0788377523422241
5-41	5	41	0.9461010098457336
5-42	5	42	1.3637973070144653
5-43	5	43	1.22359299659729
5-44	5	44	0.9662975668907166
5-45	5	45	1.138211727142334
5-46	5	46	1.6096436977386475
5-47	5	47	0.9706078767776489
5-48	5	48	1.1483529806137085
5-49	5	49	1.0266363620758057
5-50	5	50	0.8398880958557129
5-51	5	51	1.2285317182540894
5-52	5	52	1.3344039916992188
5-53	5	53	1.4844332933425903
5-54	5	54	1.0096704959869385
5-55	5	55	1.2200579643249512
5-56	5	56	1.0102424621582031
5-57	5	57	1.284362554550171
5-58	5	58	1.345190167427063
5-59	5	59	0.7156000733375549
5-60	5	60	1.6711257696151733
5-61	5	61	1.3954954147338867
5-62	5	62	1.0951361656188965
5-63	5	63	1.5729451179504395
5-64	5	64	1.3064826726913452
5-65	5	65	1.5590522289276123
5-66	5	66	1.3548274040222168
5-67	5	67	1.3460530042648315
5-68	5	68	1.093337059020996
5-69	5	69	1.118654489517212
5-70	5	70	1.222857117652893
5-71	5	71	1.2828969955444336
5-72	5	72	0.9958667159080505
5-73	5	73	1.5684539079666138
5-74	5	74	1.1340365409851074
5-75	5	75	1.0957436561584473
5-76	5	76	1.0391777753829956
5-77	5	77	1.3013333082199097
5-78	5	78	0.9498550891876221
6-0	6	0	1.5582897663116455
6-1	6	1	1.668378472328186
6-2	6	2	1.328537940979004
6-3	6	3	1.4325100183486938
6-4	6	4	1.5172721147537231
6-5	6	5	1.177182912826538
6-6	6	6	1.266135573387146
6-7	6	7	1.6160664558410645
6-8	6	8	1.0752843618392944
6-9	6	9	1.381130337715149
6-10	6	10	1.1246087551116943
6-11	6	11	1.246802806854248
6-12	6	12	1.0443962812423706
6-13	6	13	1.5670406818389893
6-14	6	14	1.2133712768554688
6-15	6	15	1.1032614707946777
6-16	6	16	1.6295974254608154
6-17	6	17	2.0083794593811035
6-18	6	18	1.4433602094650269
6-19	6	19	1.2396619319915771
6-20	6	20	1.2017791271209717
6-21	6	21	1.360870122909546
6-22	6	22	1.279583215713501
6-23	6	23	1.417224645614624
6-24	6	24	0.9677790999412537
6-25	6	25	0.8646126985549927
6-26	6	26	1.124951720237732
6-27	6	27	0.8545069694519043
6-28	6	28	1.420773983001709
6-29	6	29	1.3879375457763672
6-30	6	30	1.8350430727005005
6-31	6	31	1.682118535041809
6-32	6	32	1.2691045999526978
6-33	6	33	1.3715341091156006
6-34	6	34	1.702839732170105
6-35	6	35	1.371574878692627
6-36	6	36	1.6289489269256592
6-37	6	37	1.2975232601165771
6-38	6	38	1.3595999479293823
6-39	6	39	1.4636033773422241
6-40	6	40	1.5875139236450195
6-41	6	41	1.2796475887298584
6-42	6	42	1.2425645589828491
6-43	6	43	1.4021871089935303
6-44	6	44	1.2071377038955688
6-45	6	45	1.615097999572754
6-46	6	46	2.1138885021209717
6-47	6	47	1.2056742906570435
6-48	6	48	1.1684287786483765
6-49	6	49	1.183855414390564
6-50	6	50	1.0311683416366577
6-51	6	51	1.5319610834121704
6-52	6	52	1.1959797143936157
6-53	6	53	1.2619240283966064
6-54	6	54	1.109500765800476
6-55	6	55	1.2450355291366577
6-56	6	56	1.4240498542785645
6-57	6	57	1.4031360149383545
6-58	6	58	1.6827839612960815
6-59	6	59	0.8228007555007935
6-60	6	60	1.6087298393249512
6-61	6	61	1.0897562503814697
6-62	6	62	1.4856152534484863
6-63	6	63	1.4128468036651611
6-64	6	64	1.2471412420272827
6-65	6	65	1.1885545253753662
6-66	6	66	1.0606539249420166
6-67	6	67	1.2473877668380737
6-68	6	68	0.9971633553504944
6-69	6	69	1.20421302318573
6-70	6	70	1.3895782232284546
6-71	6	71	1.51362144947052
6-72	6	72	0.8836607336997986
6-73	6	73	1.6208593845367432
6-74	6	74	1.1620219945907593
6-75	6	75	0.9196826815605164
6-76	6	76	1.2246452569961548
6-77	6	77	1.207556962966919
6-78	6	78	1.274458408355713
7-0	7	0	1.6933847665786743
7-1	7	1	1.3475483655929565
7-2	7	2	1.627903938293457
7-3	7	3	1.4503233432769775
7-4	7	4	1.5482230186462402
7-5	7	5	1.7910445928573608
7-6	7	6	0.8399753570556641
7-7	7	7	1.3560669422149658
7-8	7	8	1.3087542057037354
7-9	7	9	1.4954640865325928
7-10	7	10	1.37838613986969
7-11	7	11	1.459122896194458
7-12	7	12	1.4837348461151123
7-13	7	13	1.4288049936294556
7-14	7	14	1.13895845413208
7-15	7	15	1.2645061016082764
7-16	7	16	1.3353524208068848
7-17	7	17	1.3742862939834595
7-18	7	18	1.603752851486206
7-19	7	19	1.6427967548370361
7-20	7	20	1.4042648077011108
7-21	7	21	1.2765421867370605
7-22	7	22	1.6811280250549316
7-23	7	23	1.110351324081421
7-24	7	24	1.2543339729309082
7-25	7	25	1.2060467004776
7-26	7	26	1.349011778831482
7-27	7	27	0.9829221367835999
7-28	7	28	1.3091152906417847
7-29	7	29	1.4051182270050049
7-30	7	30	1.047402262687683
7-31	7	31	1.3419198989868164
7-32	7	32	1.3073993921279907
7-33	7	33	1.4126968383789062
7-34	7	34	1.7402300834655762
7-35	7	35	1.1526237726211548
7-36	7	36	1.3383885622024536
7-37	7	37	1.2775099277496338
7-38	7	38	1.1653691530227661
7-39	7	39	1.30324125289917
7-40	7	40	1.2088011503219604
7-41	7	41	1.070386528968811
7-42	7	42	1.420966386795044
7-43	7	43	1.4177048206329346
7-44	7	44	1.0213083028793335
7-45	7	45	1.278095006942749
7-46	7	46	1.239139199256897
7-47	7	47	0.8875011205673218
7-48	7	48	1.1640934944152832
7-49	7	49	1.1250978708267212
7-50	7	50	1.0448668003082275
7-51	7	51	1.4119963645935059
7-52	7	52	1.1813513040542603
7-53	7	53	1.1259057521820068
7-54	7	54	1.2122772932052612
7-55	7	55	1.2430331707000732
7-56	7	56	1.3259198665618896
7-57	7	57	1.4093782901763916
7-58	7	58	1.2531358003616333
7-59	7	59	0.9934964179992676
7-60	7	60	1.289560317993164
7-61	7	61	1.0252491235733032
7-62	7	62	1.5282377004623413
7-63	7	63	1.4332982301712036
7-64	7	64	1.1709600687026978
7-65	7	65	1.4349331855773926
7-66	7	66	1.3712283372879028
7-67	7	67	1.1983305215835571
7-68	7	68	1.4444255828857422
7-69	7	69	1.0216889381408691
7-70	7	70	1.4347164630889893
7-71	7	71	1.2980951070785522
7-72	7	72	0.8493803143501282
7-73	7	73	1.362170934677124
7-74	7	74	1.2818233966827393
7-75	7	75	1.3110706806182861
7-76	7	76	1.3485578298568726
7-77	7	77	1.5816574096679688
7-78	7	78	0.37409329414367676
8-0	8	0	1.7112928628921509
8-1	8	1	1.021382212638855
8-2	8	2	1.6961270570755005
8-3	8	3	1.445568323135376
8-4	8	4	1.231748104095459
8-5	8	5	1.3028106689453125
8-6	8	6	1.1736221313476562
8-7	8	7	1.3293324708938599
8-8	8	8	1.5160863399505615
8-9	8	9	1.269567608833313
8-10	8	10	1.506577491760254
8-11	8	11	1.558445930480957
8-12	8	12	1.268831729888916
8-13	8	13	1.3464051485061646
8-14	8	14	1.1891672611236572
8-15	8	15	1.2409952878952026
8-16	8	16	1.716704249382019
8-17	8	17	1.1263800859451294
8-18	8	18	1.2740657329559326
8-19	8	19	1.1394398212432861
8-20	8	20	1.3587573766708374
8-21	8	21	1.1856874227523804
8-22	8	22	1.0405904054641724
8-23	8	23	1.1182048320770264
8-24	8	24	1.1510710716247559
8-25	8	25	1.1761794090270996
8-26	8	26	1.2923539876937866
8-27	8	27	1.188079833984375
8-28	8	28	1.0800070762634277
8-29	8	29	1.5003033876419067
8-30	8	30	1.5512464046478271
8-31	8	31	1.1255462169647217
8-32	8	32	1.2642822265625
8-33	8	33	1.5341148376464844
8-34	8	34	1.3017687797546387
8-35	8	35	1.0846519470214844
8-36	8	36	1.2190502882003784
8-37	8	37	1.3825312852859497
8-38	8	38	1.3614394664764404
8-39	8	39	0.9929515719413757
8-40	8	40	1.2335342168807983
8-41	8	41	0.934180498123169
8-42	8	42	1.4204126596450806
8-43	8	43	1.2061874866485596
8-44	8	44	1.47581148147583
8-45	8	45	1.0888607501983643
8-46	8	46	1.2665592432022095
8-47	8	47	1.5284589529037476
8-48	8	48	0.8842363953590393
8-49	8	49	1.252762794494629
8-50	8	50	0.8713386058807373
8-51	8	51	1.5519758462905884
8-52	8	52	1.1081494092941284
8-53	8	53	1.395810842514038
8-54	8	54	1.0966564416885376
8-55	8	55	1.371595025062561
8-56	8	56	1.2351032495498657
8-57	8	57	1.571962833404541
8-58	8	58	1.1835013628005981
8-59	8	59	0.8234229683876038
8-60	8	60	1.2618176937103271
8-61	8	61	1.1393698453903198
8-62	8	62	1.258390188217163
8-63	8	63	1.2043983936309814
8-64	8	64	1.2135225534439087
8-65	8	65	1.2444387674331665
8-66	8	66	1.047240138053894
8-67	8	67	1.0737460851669312
8-68	8	68	0.94954514503479
8-69	8	69	0.9054154753684998
8-70	8	70	1.4849904775619507
